                 System #       49
     Galactic longitude l   -22.45
      Galactic latitude b     0.00
           distance (kpc)    11.42
    orbital period (days)    4.367
    arg. periastron (deg)  529.712
        inclination (deg)   74.863
             eccentricity    0.381
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0003             9.306E-15            5.105E-01
     0.0009             9.285E-15            5.093E-01
     0.0017             9.252E-15            5.075E-01
     0.0029             9.199E-15            5.046E-01
     0.0032             9.184E-15            5.038E-01
     0.0047             9.100E-15            4.992E-01
     0.0049             9.086E-15            4.984E-01
     0.0061             9.003E-15            4.939E-01
     0.0069             8.947E-15            4.908E-01
     0.0076             8.890E-15            4.877E-01
     0.0089             8.783E-15            4.818E-01
     0.0091             8.762E-15            4.806E-01
     0.0106             8.621E-15            4.729E-01
     0.0109             8.595E-15            4.715E-01
     0.0121             8.467E-15            4.645E-01
     0.0129             8.385E-15            4.599E-01
     0.0137             8.299E-15            4.552E-01
     0.0149             8.154E-15            4.473E-01
     0.0152             8.119E-15            4.454E-01
     0.0167             7.928E-15            4.349E-01
     0.0169             7.905E-15            4.336E-01
     0.0183             7.726E-15            4.238E-01
     0.0189             7.640E-15            4.191E-01
     0.0198             7.514E-15            4.122E-01
     0.0209             7.361E-15            4.038E-01
     0.0214             7.295E-15            4.001E-01
     0.0229             7.072E-15            3.879E-01
     0.0229             7.067E-15            3.877E-01
     0.0245             6.834E-15            3.749E-01
     0.0249             6.774E-15            3.716E-01
     0.0261             6.595E-15            3.618E-01
     0.0269             6.470E-15            3.549E-01
     0.0277             6.352E-15            3.485E-01
     0.0289             6.163E-15            3.381E-01
     0.0293             6.107E-15            3.350E-01
     0.0309             5.861E-15            3.215E-01
     0.0309             5.856E-15            3.212E-01
     0.0325             5.615E-15            3.080E-01
     0.0329             5.551E-15            3.045E-01
     0.0341             5.371E-15            2.946E-01
     0.0349             5.251E-15            2.880E-01
     0.0357             5.129E-15            2.813E-01
     0.0369             4.958E-15            2.720E-01
     0.0374             4.891E-15            2.683E-01
     0.0389             4.674E-15            2.564E-01
     0.0390             4.659E-15            2.555E-01
     0.0407             4.432E-15            2.431E-01
     0.0409             4.400E-15            2.414E-01
     0.0423             4.213E-15            2.311E-01
     0.0429             4.139E-15            2.271E-01
     0.0440             4.002E-15            2.195E-01
     0.0449             3.892E-15            2.135E-01
     0.0457             3.800E-15            2.084E-01
     0.0469             3.660E-15            2.008E-01
     0.0474             3.608E-15            1.979E-01
     0.0489             3.444E-15            1.889E-01
     0.0491             3.427E-15            1.880E-01
     0.0508             3.256E-15            1.786E-01
     0.0509             3.244E-15            1.779E-01
     0.0525             3.097E-15            1.699E-01
     0.0529             3.061E-15            1.679E-01
     0.0542             2.951E-15            1.618E-01
     0.0549             2.895E-15            1.588E-01
     0.0559             2.816E-15            1.545E-01
     0.0569             2.747E-15            1.507E-01
     0.0577             2.694E-15            1.478E-01
     0.0589             2.616E-15            1.435E-01
     0.0594             2.584E-15            1.417E-01
     0.0609             2.502E-15            1.372E-01
     0.0612             2.486E-15            1.364E-01
     0.0629             2.404E-15            1.319E-01
     0.0630             2.402E-15            1.317E-01
     0.0647             2.329E-15            1.278E-01
     0.0649             2.323E-15            1.274E-01
     0.0665             2.269E-15            1.245E-01
     0.0669             2.258E-15            1.239E-01
     0.0683             2.221E-15            1.218E-01
     0.0689             2.208E-15            1.211E-01
     0.0701             2.185E-15            1.199E-01
     0.0709             2.174E-15            1.192E-01
     0.0719             2.161E-15            1.186E-01
     0.0729             2.154E-15            1.181E-01
     0.0738             2.150E-15            1.179E-01
     0.0749             2.148E-15            1.178E-01
     0.0756             2.149E-15            1.179E-01
     0.0769             2.156E-15            1.183E-01
     0.0774             2.160E-15            1.185E-01
     0.0789             2.177E-15            1.194E-01
     0.0793             2.182E-15            1.197E-01
     0.0809             2.210E-15            1.213E-01
     0.0812             2.216E-15            1.215E-01
     0.0829             2.257E-15            1.238E-01
     0.0830             2.260E-15            1.240E-01
     0.0849             2.315E-15            1.270E-01
     0.0849             2.315E-15            1.270E-01
     0.0868             2.381E-15            1.306E-01
     0.0869             2.384E-15            1.308E-01
     0.0887             2.456E-15            1.347E-01
     0.0889             2.465E-15            1.352E-01
     0.0906             2.542E-15            1.394E-01
     0.0909             2.556E-15            1.402E-01
     0.0925             2.637E-15            1.447E-01
     0.0929             2.657E-15            1.457E-01
     0.0945             2.742E-15            1.504E-01
     0.0949             2.768E-15            1.518E-01
     0.0964             2.856E-15            1.567E-01
     0.0969             2.887E-15            1.584E-01
     0.0983             2.979E-15            1.634E-01
     0.0989             3.015E-15            1.654E-01
     0.1003             3.110E-15            1.706E-01
     0.1009             3.152E-15            1.729E-01
     0.1023             3.249E-15            1.782E-01
     0.1029             3.295E-15            1.808E-01
     0.1042             3.396E-15            1.863E-01
     0.1049             3.447E-15            1.891E-01
     0.1062             3.550E-15            1.947E-01
     0.1069             3.603E-15            1.977E-01
     0.1082             3.711E-15            2.036E-01
     0.1089             3.766E-15            2.066E-01
     0.1102             3.878E-15            2.127E-01
     0.1109             3.934E-15            2.158E-01
     0.1122             4.050E-15            2.222E-01
     0.1129             4.107E-15            2.253E-01
     0.1143             4.227E-15            2.319E-01
     0.1149             4.283E-15            2.350E-01
     0.1163             4.410E-15            2.419E-01
     0.1169             4.464E-15            2.449E-01
     0.1183             4.596E-15            2.521E-01
     0.1189             4.647E-15            2.549E-01
     0.1204             4.786E-15            2.625E-01
     0.1209             4.833E-15            2.651E-01
     0.1225             4.978E-15            2.731E-01
     0.1229             5.020E-15            2.754E-01
     0.1245             5.174E-15            2.838E-01
     0.1249             5.209E-15            2.857E-01
     0.1266             5.372E-15            2.947E-01
     0.1269             5.399E-15            2.962E-01
     0.1287             5.571E-15            3.056E-01
     0.1289             5.589E-15            3.066E-01
     0.1308             5.771E-15            3.165E-01
     0.1309             5.780E-15            3.171E-01
     0.1329             5.970E-15            3.275E-01
     0.1329             5.971E-15            3.275E-01
     0.1349             6.160E-15            3.379E-01
     0.1350             6.172E-15            3.386E-01
     0.1369             6.348E-15            3.482E-01
     0.1372             6.373E-15            3.496E-01
     0.1389             6.535E-15            3.585E-01
     0.1393             6.572E-15            3.605E-01
     0.1409             6.721E-15            3.687E-01
     0.1414             6.772E-15            3.715E-01
     0.1429             6.906E-15            3.788E-01
     0.1436             6.970E-15            3.823E-01
     0.1449             7.087E-15            3.888E-01
     0.1458             7.166E-15            3.931E-01
     0.1469             7.267E-15            3.986E-01
     0.1479             7.360E-15            4.037E-01
     0.1489             7.444E-15            4.083E-01
     0.1501             7.552E-15            4.143E-01
     0.1509             7.619E-15            4.179E-01
     0.1523             7.742E-15            4.247E-01
     0.1529             7.791E-15            4.274E-01
     0.1545             7.929E-15            4.349E-01
     0.1549             7.960E-15            4.366E-01
     0.1567             8.112E-15            4.450E-01
     0.1569             8.125E-15            4.457E-01
     0.1589             8.289E-15            4.547E-01
     0.1590             8.294E-15            4.550E-01
     0.1609             8.449E-15            4.635E-01
     0.1612             8.472E-15            4.647E-01
     0.1629             8.606E-15            4.721E-01
     0.1634             8.647E-15            4.743E-01
     0.1649             8.759E-15            4.805E-01
     0.1657             8.819E-15            4.838E-01
     0.1669             8.909E-15            4.887E-01
     0.1679             8.987E-15            4.930E-01
