                 System #        5
     Galactic longitude l    -7.34
      Galactic latitude b     0.00
           distance (kpc)    12.51
    orbital period (days)  331.411
    arg. periastron (deg)  378.211
        inclination (deg)   37.321
             eccentricity    0.401
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0006             6.363E-17            3.491E-03
     0.0014             6.355E-17            3.486E-03
     0.0032             6.339E-17            3.477E-03
     0.0034             6.337E-17            3.476E-03
     0.0054             6.318E-17            3.466E-03
     0.0059             6.314E-17            3.464E-03
     0.0074             6.300E-17            3.456E-03
     0.0086             6.290E-17            3.450E-03
     0.0094             6.282E-17            3.446E-03
     0.0112             6.266E-17            3.437E-03
     0.0114             6.264E-17            3.436E-03
     0.0134             6.246E-17            3.426E-03
     0.0139             6.242E-17            3.424E-03
     0.0154             6.228E-17            3.417E-03
     0.0166             6.218E-17            3.411E-03
     0.0174             6.211E-17            3.407E-03
     0.0193             6.195E-17            3.398E-03
     0.0194             6.193E-17            3.397E-03
     0.0214             6.176E-17            3.388E-03
     0.0220             6.172E-17            3.385E-03
     0.0234             6.159E-17            3.379E-03
     0.0247             6.149E-17            3.373E-03
     0.0254             6.142E-17            3.369E-03
     0.0274             6.126E-17            3.360E-03
     0.0274             6.126E-17            3.360E-03
     0.0294             6.109E-17            3.351E-03
     0.0301             6.103E-17            3.348E-03
     0.0314             6.092E-17            3.342E-03
     0.0328             6.081E-17            3.336E-03
     0.0334             6.076E-17            3.333E-03
     0.0354             6.059E-17            3.324E-03
     0.0355             6.059E-17            3.323E-03
     0.0374             6.043E-17            3.315E-03
     0.0383             6.037E-17            3.311E-03
     0.0394             6.027E-17            3.306E-03
     0.0410             6.015E-17            3.299E-03
     0.0414             6.012E-17            3.298E-03
     0.0434             5.996E-17            3.289E-03
     0.0437             5.994E-17            3.288E-03
     0.0454             5.980E-17            3.280E-03
     0.0465             5.972E-17            3.276E-03
     0.0474             5.965E-17            3.272E-03
     0.0492             5.951E-17            3.264E-03
     0.0494             5.949E-17            3.263E-03
     0.0514             5.934E-17            3.255E-03
     0.0519             5.930E-17            3.253E-03
     0.0534             5.919E-17            3.247E-03
     0.0547             5.909E-17            3.242E-03
     0.0554             5.904E-17            3.239E-03
     0.0574             5.889E-17            3.231E-03
     0.0574             5.889E-17            3.230E-03
     0.0594             5.875E-17            3.222E-03
     0.0602             5.869E-17            3.219E-03
     0.0614             5.860E-17            3.214E-03
     0.0630             5.849E-17            3.208E-03
     0.0634             5.845E-17            3.206E-03
     0.0654             5.831E-17            3.199E-03
     0.0657             5.829E-17            3.197E-03
     0.0674             5.817E-17            3.191E-03
     0.0685             5.809E-17            3.187E-03
     0.0694             5.803E-17            3.183E-03
     0.0713             5.790E-17            3.176E-03
     0.0714             5.789E-17            3.175E-03
     0.0734             5.775E-17            3.168E-03
     0.0740             5.771E-17            3.166E-03
     0.0754             5.761E-17            3.160E-03
     0.0768             5.752E-17            3.155E-03
     0.0774             5.747E-17            3.153E-03
     0.0794             5.734E-17            3.145E-03
     0.0796             5.733E-17            3.145E-03
     0.0814             5.720E-17            3.138E-03
     0.0824             5.714E-17            3.135E-03
     0.0834             5.707E-17            3.131E-03
     0.0851             5.696E-17            3.124E-03
     0.0854             5.694E-17            3.123E-03
     0.0874             5.681E-17            3.116E-03
     0.0879             5.678E-17            3.114E-03
     0.0894             5.668E-17            3.109E-03
     0.0907             5.660E-17            3.105E-03
     0.0914             5.655E-17            3.102E-03
     0.0934             5.642E-17            3.095E-03
     0.0935             5.642E-17            3.095E-03
     0.0954             5.630E-17            3.088E-03
     0.0963             5.624E-17            3.085E-03
     0.0974             5.617E-17            3.081E-03
     0.0991             5.607E-17            3.076E-03
     0.0994             5.604E-17            3.074E-03
     0.1014             5.592E-17            3.067E-03
     0.1019             5.589E-17            3.066E-03
     0.1034             5.580E-17            3.061E-03
     0.1047             5.572E-17            3.057E-03
     0.1054             5.568E-17            3.054E-03
     0.1074             5.556E-17            3.047E-03
     0.1075             5.555E-17            3.047E-03
     0.1094             5.544E-17            3.041E-03
     0.1102             5.539E-17            3.038E-03
     0.1114             5.532E-17            3.034E-03
     0.1130             5.522E-17            3.029E-03
     0.1134             5.520E-17            3.028E-03
     0.1154             5.508E-17            3.022E-03
     0.1158             5.506E-17            3.020E-03
     0.1174             5.497E-17            3.015E-03
     0.1186             5.490E-17            3.011E-03
     0.1194             5.485E-17            3.009E-03
     0.1214             5.474E-17            3.003E-03
     0.1214             5.474E-17            3.003E-03
     0.1234             5.463E-17            2.997E-03
     0.1242             5.458E-17            2.994E-03
     0.1254             5.452E-17            2.990E-03
     0.1270             5.443E-17            2.985E-03
     0.1274             5.440E-17            2.984E-03
     0.1294             5.429E-17            2.978E-03
     0.1299             5.427E-17            2.977E-03
     0.1314             5.418E-17            2.972E-03
     0.1327             5.412E-17            2.969E-03
     0.1334             5.408E-17            2.966E-03
     0.1354             5.397E-17            2.960E-03
     0.1355             5.397E-17            2.960E-03
     0.1374             5.386E-17            2.955E-03
     0.1383             5.382E-17            2.952E-03
     0.1394             5.376E-17            2.949E-03
     0.1411             5.367E-17            2.944E-03
     0.1414             5.365E-17            2.943E-03
     0.1434             5.355E-17            2.937E-03
     0.1439             5.353E-17            2.936E-03
     0.1454             5.345E-17            2.932E-03
     0.1467             5.338E-17            2.928E-03
     0.1474             5.334E-17            2.926E-03
     0.1494             5.324E-17            2.921E-03
     0.1495             5.324E-17            2.920E-03
     0.1514             5.314E-17            2.915E-03
     0.1523             5.310E-17            2.913E-03
     0.1534             5.304E-17            2.910E-03
     0.1551             5.296E-17            2.905E-03
     0.1554             5.294E-17            2.904E-03
     0.1574             5.285E-17            2.899E-03
     0.1579             5.283E-17            2.898E-03
     0.1594             5.275E-17            2.894E-03
     0.1607             5.269E-17            2.890E-03
     0.1614             5.265E-17            2.888E-03
     0.1634             5.256E-17            2.883E-03
     0.1635             5.255E-17            2.883E-03
     0.1654             5.246E-17            2.878E-03
     0.1663             5.242E-17            2.876E-03
     0.1674             5.237E-17            2.873E-03
     0.1691             5.229E-17            2.869E-03
     0.1694             5.228E-17            2.868E-03
     0.1714             5.219E-17            2.863E-03
     0.1718             5.217E-17            2.862E-03
     0.1734             5.209E-17            2.858E-03
     0.1746             5.204E-17            2.855E-03
     0.1754             5.200E-17            2.853E-03
     0.1774             5.191E-17            2.848E-03
     0.1774             5.191E-17            2.848E-03
     0.1794             5.182E-17            2.843E-03
     0.1802             5.179E-17            2.841E-03
     0.1814             5.174E-17            2.838E-03
     0.1830             5.167E-17            2.834E-03
     0.1834             5.165E-17            2.833E-03
     0.1854             5.156E-17            2.828E-03
     0.1858             5.155E-17            2.828E-03
     0.1874             5.148E-17            2.824E-03
     0.1886             5.143E-17            2.821E-03
     0.1894             5.139E-17            2.819E-03
     0.1913             5.131E-17            2.815E-03
     0.1914             5.131E-17            2.814E-03
     0.1934             5.122E-17            2.810E-03
     0.1941             5.119E-17            2.808E-03
     0.1954             5.114E-17            2.805E-03
     0.1969             5.108E-17            2.802E-03
     0.1974             5.106E-17            2.801E-03
     0.1994             5.098E-17            2.796E-03
     0.1997             5.097E-17            2.796E-03
     0.2014             5.090E-17            2.792E-03
     0.2024             5.086E-17            2.790E-03
     0.2034             5.082E-17            2.788E-03
     0.2052             5.075E-17            2.784E-03
     0.2054             5.074E-17            2.783E-03
     0.2074             5.066E-17            2.779E-03
     0.2080             5.064E-17            2.778E-03
     0.2094             5.058E-17            2.775E-03
     0.2107             5.053E-17            2.772E-03
     0.2114             5.051E-17            2.771E-03
     0.2134             5.043E-17            2.766E-03
     0.2135             5.043E-17            2.766E-03
     0.2154             5.035E-17            2.762E-03
     0.2162             5.033E-17            2.761E-03
     0.2174             5.028E-17            2.758E-03
     0.2190             5.022E-17            2.755E-03
     0.2194             5.021E-17            2.754E-03
     0.2214             5.013E-17            2.750E-03
     0.2217             5.012E-17            2.749E-03
     0.2234             5.006E-17            2.746E-03
     0.2245             5.002E-17            2.744E-03
     0.2254             4.999E-17            2.742E-03
     0.2272             4.993E-17            2.739E-03
     0.2274             4.992E-17            2.738E-03
     0.2294             4.985E-17            2.734E-03
     0.2299             4.983E-17            2.733E-03
     0.2314             4.978E-17            2.731E-03
     0.2326             4.974E-17            2.728E-03
     0.2334             4.971E-17            2.727E-03
     0.2354             4.965E-17            2.723E-03
     0.2354             4.964E-17            2.723E-03
     0.2374             4.958E-17            2.720E-03
     0.2381             4.956E-17            2.718E-03
     0.2394             4.951E-17            2.716E-03
     0.2408             4.947E-17            2.714E-03
     0.2414             4.945E-17            2.712E-03
     0.2434             4.938E-17            2.709E-03
     0.2435             4.938E-17            2.709E-03
     0.2454             4.931E-17            2.705E-03
     0.2462             4.929E-17            2.704E-03
     0.2474             4.925E-17            2.702E-03
     0.2489             4.920E-17            2.699E-03
     0.2494             4.919E-17            2.698E-03
     0.2514             4.913E-17            2.695E-03
     0.2516             4.912E-17            2.695E-03
     0.2534             4.906E-17            2.691E-03
     0.2543             4.904E-17            2.690E-03
     0.2554             4.900E-17            2.688E-03
     0.2570             4.896E-17            2.685E-03
     0.2574             4.894E-17            2.685E-03
     0.2594             4.888E-17            2.682E-03
     0.2597             4.888E-17            2.681E-03
     0.2614             4.883E-17            2.678E-03
     0.2624             4.880E-17            2.677E-03
     0.2634             4.877E-17            2.675E-03
     0.2650             4.872E-17            2.673E-03
     0.2654             4.871E-17            2.672E-03
     0.2674             4.866E-17            2.669E-03
     0.2677             4.865E-17            2.669E-03
     0.2694             4.860E-17            2.666E-03
     0.2703             4.858E-17            2.665E-03
     0.2714             4.855E-17            2.663E-03
     0.2730             4.851E-17            2.661E-03
     0.2734             4.849E-17            2.660E-03
     0.2754             4.844E-17            2.657E-03
     0.2756             4.844E-17            2.657E-03
     0.2774             4.839E-17            2.654E-03
     0.2783             4.837E-17            2.653E-03
     0.2794             4.834E-17            2.652E-03
     0.2809             4.830E-17            2.649E-03
     0.2814             4.829E-17            2.649E-03
     0.2834             4.824E-17            2.646E-03
     0.2835             4.824E-17            2.646E-03
     0.2854             4.819E-17            2.643E-03
     0.2862             4.817E-17            2.643E-03
     0.2874             4.814E-17            2.641E-03
     0.2888             4.811E-17            2.639E-03
     0.2894             4.810E-17            2.638E-03
     0.2914             4.805E-17            2.636E-03
     0.2914             4.805E-17            2.636E-03
     0.2934             4.800E-17            2.633E-03
     0.2940             4.799E-17            2.633E-03
     0.2954             4.796E-17            2.631E-03
     0.2966             4.793E-17            2.629E-03
     0.2974             4.792E-17            2.628E-03
     0.2992             4.788E-17            2.626E-03
     0.2994             4.787E-17            2.626E-03
     0.3014             4.783E-17            2.624E-03
     0.3018             4.783E-17            2.623E-03
     0.3034             4.779E-17            2.622E-03
     0.3043             4.777E-17            2.621E-03
     0.3054             4.775E-17            2.619E-03
     0.3069             4.772E-17            2.618E-03
     0.3074             4.771E-17            2.617E-03
     0.3094             4.768E-17            2.615E-03
     0.3095             4.768E-17            2.615E-03
     0.3114             4.764E-17            2.613E-03
     0.3120             4.763E-17            2.613E-03
     0.3134             4.760E-17            2.611E-03
     0.3146             4.758E-17            2.610E-03
     0.3154             4.757E-17            2.609E-03
     0.3171             4.754E-17            2.608E-03
     0.3174             4.753E-17            2.607E-03
     0.3194             4.750E-17            2.606E-03
     0.3196             4.750E-17            2.606E-03
     0.3214             4.747E-17            2.604E-03
     0.3221             4.746E-17            2.603E-03
     0.3234             4.744E-17            2.602E-03
     0.3247             4.742E-17            2.601E-03
     0.3254             4.741E-17            2.601E-03
     0.3272             4.739E-17            2.599E-03
     0.3274             4.738E-17            2.599E-03
     0.3294             4.736E-17            2.598E-03
     0.3297             4.735E-17            2.598E-03
     0.3314             4.733E-17            2.596E-03
     0.3322             4.732E-17            2.596E-03
     0.3334             4.731E-17            2.595E-03
     0.3346             4.729E-17            2.594E-03
     0.3354             4.728E-17            2.594E-03
     0.3371             4.727E-17            2.593E-03
     0.3374             4.726E-17            2.593E-03
     0.3394             4.724E-17            2.591E-03
     0.3396             4.724E-17            2.591E-03
     0.3414             4.722E-17            2.590E-03
     0.3420             4.722E-17            2.590E-03
     0.3434             4.721E-17            2.590E-03
     0.3445             4.720E-17            2.589E-03
     0.3454             4.719E-17            2.589E-03
     0.3469             4.718E-17            2.588E-03
     0.3474             4.718E-17            2.588E-03
     0.3494             4.716E-17            2.587E-03
     0.3494             4.716E-17            2.587E-03
     0.3514             4.715E-17            2.587E-03
     0.3518             4.715E-17            2.586E-03
     0.3534             4.714E-17            2.586E-03
     0.3542             4.714E-17            2.586E-03
     0.3554             4.714E-17            2.586E-03
     0.3566             4.713E-17            2.585E-03
     0.3574             4.713E-17            2.585E-03
     0.3590             4.712E-17            2.585E-03
     0.3594             4.712E-17            2.585E-03
     0.3614             4.712E-17            2.585E-03
     0.3614             4.712E-17            2.585E-03
     0.3634             4.712E-17            2.585E-03
     0.3638             4.712E-17            2.585E-03
     0.3654             4.712E-17            2.585E-03
     0.3662             4.712E-17            2.585E-03
     0.3674             4.713E-17            2.585E-03
     0.3685             4.713E-17            2.585E-03
     0.3694             4.713E-17            2.585E-03
     0.3709             4.713E-17            2.586E-03
     0.3714             4.714E-17            2.586E-03
     0.3732             4.715E-17            2.586E-03
     0.3734             4.715E-17            2.586E-03
     0.3754             4.716E-17            2.587E-03
     0.3756             4.716E-17            2.587E-03
     0.3774             4.718E-17            2.588E-03
     0.3779             4.718E-17            2.588E-03
