                 System #       52
     Galactic longitude l    35.52
      Galactic latitude b     0.00
           distance (kpc)     6.39
    orbital period (days) 1399.476
    arg. periastron (deg)  346.597
        inclination (deg)  135.493
             eccentricity    0.760
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0003             1.502E-17            8.239E-04
     0.0008             1.503E-17            8.246E-04
     0.0013             1.503E-17            8.246E-04
     0.0014             1.503E-17            8.244E-04
     0.0018             1.502E-17            8.238E-04
     0.0023             1.499E-17            8.225E-04
     0.0028             1.496E-17            8.205E-04
     0.0033             1.491E-17            8.179E-04
     0.0034             1.489E-17            8.170E-04
     0.0038             1.485E-17            8.148E-04
     0.0043             1.479E-17            8.111E-04
     0.0048             1.471E-17            8.069E-04
     0.0054             1.463E-17            8.023E-04
     0.0054             1.461E-17            8.015E-04
     0.0059             1.453E-17            7.971E-04
     0.0064             1.443E-17            7.916E-04
     0.0070             1.432E-17            7.857E-04
     0.0074             1.422E-17            7.802E-04
     0.0075             1.421E-17            7.794E-04
     0.0081             1.409E-17            7.729E-04
     0.0086             1.396E-17            7.660E-04
     0.0092             1.383E-17            7.588E-04
     0.0094             1.377E-17            7.555E-04
     0.0098             1.370E-17            7.515E-04
     0.0103             1.356E-17            7.439E-04
     0.0109             1.342E-17            7.362E-04
     0.0114             1.329E-17            7.291E-04
     0.0115             1.328E-17            7.283E-04
     0.0121             1.313E-17            7.203E-04
     0.0127             1.298E-17            7.122E-04
     0.0133             1.284E-17            7.041E-04
     0.0134             1.280E-17            7.024E-04
     0.0139             1.269E-17            6.959E-04
     0.0146             1.254E-17            6.877E-04
     0.0152             1.239E-17            6.794E-04
     0.0154             1.233E-17            6.763E-04
     0.0158             1.224E-17            6.712E-04
     0.0165             1.209E-17            6.630E-04
     0.0172             1.194E-17            6.548E-04
     0.0174             1.188E-17            6.514E-04
     0.0178             1.179E-17            6.467E-04
     0.0185             1.164E-17            6.387E-04
     0.0192             1.150E-17            6.308E-04
     0.0194             1.145E-17            6.281E-04
     0.0199             1.136E-17            6.229E-04
     0.0206             1.121E-17            6.151E-04
     0.0213             1.107E-17            6.075E-04
     0.0214             1.105E-17            6.064E-04
     0.0221             1.094E-17            5.999E-04
     0.0228             1.080E-17            5.925E-04
     0.0234             1.069E-17            5.864E-04
     0.0236             1.067E-17            5.851E-04
     0.0243             1.054E-17            5.780E-04
     0.0251             1.041E-17            5.709E-04
     0.0254             1.035E-17            5.679E-04
     0.0259             1.028E-17            5.639E-04
     0.0267             1.016E-17            5.571E-04
     0.0274             1.004E-17            5.509E-04
     0.0275             1.003E-17            5.504E-04
     0.0283             9.914E-18            5.438E-04
     0.0292             9.797E-18            5.374E-04
     0.0294             9.758E-18            5.353E-04
     0.0300             9.681E-18            5.311E-04
     0.0309             9.568E-18            5.248E-04
     0.0314             9.494E-18            5.208E-04
     0.0317             9.457E-18            5.187E-04
     0.0326             9.348E-18            5.128E-04
     0.0334             9.250E-18            5.074E-04
     0.0335             9.241E-18            5.069E-04
     0.0344             9.136E-18            5.011E-04
     0.0354             9.032E-18            4.955E-04
     0.0354             9.023E-18            4.950E-04
     0.0363             8.931E-18            4.899E-04
     0.0373             8.831E-18            4.844E-04
     0.0374             8.812E-18            4.834E-04
     0.0382             8.733E-18            4.791E-04
     0.0392             8.637E-18            4.738E-04
     0.0394             8.614E-18            4.725E-04
     0.0402             8.542E-18            4.686E-04
     0.0412             8.449E-18            4.635E-04
     0.0414             8.427E-18            4.623E-04
     0.0422             8.357E-18            4.584E-04
     0.0433             8.267E-18            4.535E-04
     0.0434             8.252E-18            4.526E-04
     0.0443             8.178E-18            4.486E-04
     0.0454             8.090E-18            4.438E-04
     0.0454             8.086E-18            4.435E-04
     0.0465             8.004E-18            4.390E-04
     0.0474             7.928E-18            4.349E-04
     0.0476             7.918E-18            4.344E-04
     0.0487             7.834E-18            4.298E-04
     0.0494             7.779E-18            4.267E-04
     0.0498             7.752E-18            4.252E-04
     0.0510             7.670E-18            4.207E-04
     0.0514             7.636E-18            4.189E-04
     0.0521             7.589E-18            4.163E-04
     0.0533             7.509E-18            4.119E-04
     0.0534             7.500E-18            4.114E-04
     0.0545             7.431E-18            4.076E-04
     0.0554             7.369E-18            4.043E-04
     0.0557             7.353E-18            4.033E-04
     0.0569             7.276E-18            3.991E-04
     0.0574             7.245E-18            3.974E-04
     0.0582             7.200E-18            3.950E-04
     0.0594             7.126E-18            3.909E-04
     0.0594             7.125E-18            3.908E-04
     0.0607             7.052E-18            3.868E-04
     0.0614             7.010E-18            3.845E-04
     0.0620             6.979E-18            3.828E-04
     0.0633             6.906E-18            3.788E-04
     0.0634             6.899E-18            3.785E-04
     0.0646             6.835E-18            3.749E-04
     0.0654             6.793E-18            3.726E-04
     0.0660             6.765E-18            3.711E-04
     0.0673             6.695E-18            3.673E-04
     0.0674             6.690E-18            3.670E-04
     0.0687             6.626E-18            3.635E-04
     0.0694             6.591E-18            3.616E-04
     0.0701             6.559E-18            3.598E-04
     0.0714             6.496E-18            3.563E-04
     0.0715             6.491E-18            3.561E-04
     0.0730             6.425E-18            3.525E-04
     0.0734             6.404E-18            3.513E-04
     0.0744             6.360E-18            3.489E-04
     0.0754             6.315E-18            3.464E-04
     0.0759             6.295E-18            3.453E-04
     0.0774             6.232E-18            3.418E-04
     0.0774             6.228E-18            3.417E-04
     0.0789             6.169E-18            3.384E-04
     0.0794             6.145E-18            3.371E-04
     0.0804             6.107E-18            3.350E-04
     0.0814             6.065E-18            3.327E-04
     0.0819             6.045E-18            3.316E-04
     0.0834             5.986E-18            3.284E-04
     0.0835             5.985E-18            3.283E-04
     0.0851             5.925E-18            3.250E-04
     0.0854             5.911E-18            3.242E-04
     0.0867             5.866E-18            3.218E-04
     0.0874             5.838E-18            3.202E-04
     0.0883             5.808E-18            3.186E-04
     0.0894             5.766E-18            3.163E-04
     0.0899             5.750E-18            3.154E-04
     0.0914             5.697E-18            3.125E-04
     0.0916             5.693E-18            3.123E-04
     0.0932             5.637E-18            3.092E-04
     0.0934             5.630E-18            3.088E-04
     0.0949             5.582E-18            3.062E-04
     0.0954             5.565E-18            3.053E-04
     0.0966             5.528E-18            3.032E-04
     0.0974             5.502E-18            3.018E-04
     0.0983             5.474E-18            3.003E-04
     0.0994             5.441E-18            2.985E-04
     0.1001             5.421E-18            2.974E-04
     0.1014             5.381E-18            2.952E-04
     0.1019             5.369E-18            2.945E-04
     0.1034             5.323E-18            2.920E-04
     0.1036             5.318E-18            2.917E-04
     0.1054             5.267E-18            2.889E-04
     0.1054             5.267E-18            2.889E-04
     0.1073             5.217E-18            2.862E-04
     0.1074             5.212E-18            2.859E-04
     0.1091             5.168E-18            2.835E-04
     0.1094             5.158E-18            2.830E-04
     0.1109             5.119E-18            2.808E-04
     0.1114             5.106E-18            2.801E-04
     0.1128             5.071E-18            2.782E-04
     0.1134             5.056E-18            2.773E-04
     0.1147             5.024E-18            2.756E-04
     0.1154             5.006E-18            2.746E-04
     0.1166             4.978E-18            2.730E-04
     0.1174             4.958E-18            2.720E-04
     0.1186             4.932E-18            2.705E-04
     0.1194             4.911E-18            2.694E-04
     0.1205             4.886E-18            2.680E-04
     0.1214             4.866E-18            2.669E-04
     0.1225             4.842E-18            2.656E-04
     0.1234             4.821E-18            2.645E-04
     0.1245             4.798E-18            2.632E-04
     0.1254             4.777E-18            2.621E-04
     0.1265             4.755E-18            2.608E-04
     0.1274             4.735E-18            2.597E-04
     0.1285             4.712E-18            2.585E-04
     0.1294             4.693E-18            2.575E-04
     0.1306             4.671E-18            2.562E-04
     0.1314             4.653E-18            2.552E-04
     0.1326             4.629E-18            2.539E-04
     0.1334             4.613E-18            2.531E-04
     0.1347             4.589E-18            2.517E-04
     0.1354             4.575E-18            2.510E-04
     0.1368             4.549E-18            2.495E-04
     0.1374             4.537E-18            2.489E-04
     0.1390             4.509E-18            2.473E-04
     0.1394             4.500E-18            2.469E-04
     0.1411             4.470E-18            2.452E-04
     0.1414             4.464E-18            2.449E-04
     0.1433             4.432E-18            2.431E-04
     0.1434             4.429E-18            2.429E-04
     0.1454             4.394E-18            2.411E-04
     0.1454             4.394E-18            2.411E-04
     0.1474             4.361E-18            2.392E-04
     0.1476             4.357E-18            2.390E-04
     0.1494             4.328E-18            2.374E-04
     0.1499             4.321E-18            2.370E-04
     0.1514             4.296E-18            2.356E-04
     0.1521             4.285E-18            2.351E-04
     0.1534             4.264E-18            2.339E-04
     0.1544             4.250E-18            2.331E-04
     0.1554             4.233E-18            2.322E-04
     0.1566             4.215E-18            2.312E-04
     0.1574             4.203E-18            2.305E-04
     0.1589             4.181E-18            2.293E-04
     0.1594             4.173E-18            2.289E-04
     0.1612             4.147E-18            2.275E-04
     0.1614             4.144E-18            2.273E-04
     0.1634             4.115E-18            2.258E-04
     0.1636             4.114E-18            2.257E-04
     0.1654             4.088E-18            2.242E-04
     0.1659             4.081E-18            2.239E-04
     0.1674             4.060E-18            2.227E-04
     0.1683             4.049E-18            2.221E-04
     0.1694             4.033E-18            2.213E-04
     0.1707             4.017E-18            2.204E-04
     0.1714             4.007E-18            2.198E-04
     0.1731             3.986E-18            2.186E-04
     0.1734             3.981E-18            2.184E-04
     0.1754             3.956E-18            2.170E-04
     0.1755             3.955E-18            2.170E-04
     0.1774             3.931E-18            2.157E-04
     0.1780             3.925E-18            2.153E-04
     0.1794             3.907E-18            2.143E-04
     0.1804             3.895E-18            2.137E-04
     0.1814             3.883E-18            2.130E-04
     0.1829             3.866E-18            2.121E-04
     0.1834             3.860E-18            2.117E-04
     0.1854             3.837E-18            2.105E-04
     0.1854             3.837E-18            2.105E-04
     0.1874             3.814E-18            2.092E-04
     0.1879             3.809E-18            2.089E-04
     0.1894             3.792E-18            2.080E-04
     0.1904             3.781E-18            2.074E-04
     0.1914             3.770E-18            2.068E-04
     0.1930             3.754E-18            2.059E-04
     0.1934             3.749E-18            2.057E-04
     0.1954             3.728E-18            2.045E-04
     0.1956             3.727E-18            2.044E-04
     0.1974             3.708E-18            2.034E-04
     0.1982             3.700E-18            2.030E-04
     0.1994             3.687E-18            2.023E-04
