                 System #       53
     Galactic longitude l     3.56
      Galactic latitude b     0.00
           distance (kpc)    11.94
    orbital period (days)   73.304
    arg. periastron (deg)  523.687
        inclination (deg)  101.257
             eccentricity    0.491
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0010             1.121E-18            6.150E-05
     0.0029             1.125E-18            6.169E-05
     0.0030             1.125E-18            6.170E-05
     0.0050             1.128E-18            6.190E-05
     0.0058             1.130E-18            6.198E-05
     0.0070             1.132E-18            6.209E-05
     0.0088             1.135E-18            6.226E-05
     0.0090             1.135E-18            6.229E-05
     0.0110             1.139E-18            6.248E-05
     0.0117             1.140E-18            6.255E-05
     0.0130             1.142E-18            6.267E-05
     0.0147             1.145E-18            6.283E-05
     0.0150             1.146E-18            6.286E-05
     0.0170             1.149E-18            6.305E-05
     0.0176             1.151E-18            6.311E-05
     0.0190             1.153E-18            6.325E-05
     0.0206             1.156E-18            6.339E-05
     0.0210             1.156E-18            6.344E-05
     0.0230             1.160E-18            6.363E-05
     0.0235             1.161E-18            6.367E-05
     0.0250             1.163E-18            6.381E-05
     0.0265             1.166E-18            6.395E-05
     0.0270             1.167E-18            6.400E-05
     0.0290             1.170E-18            6.419E-05
     0.0294             1.171E-18            6.423E-05
     0.0310             1.174E-18            6.438E-05
     0.0324             1.176E-18            6.451E-05
     0.0330             1.177E-18            6.457E-05
     0.0350             1.180E-18            6.475E-05
     0.0354             1.181E-18            6.479E-05
     0.0370             1.184E-18            6.494E-05
     0.0383             1.186E-18            6.506E-05
     0.0390             1.187E-18            6.513E-05
     0.0410             1.191E-18            6.532E-05
     0.0413             1.191E-18            6.534E-05
     0.0430             1.194E-18            6.550E-05
     0.0443             1.196E-18            6.561E-05
     0.0450             1.197E-18            6.568E-05
     0.0470             1.201E-18            6.586E-05
     0.0472             1.201E-18            6.589E-05
     0.0490             1.204E-18            6.605E-05
     0.0502             1.206E-18            6.616E-05
     0.0510             1.207E-18            6.623E-05
     0.0530             1.211E-18            6.642E-05
     0.0532             1.211E-18            6.643E-05
     0.0550             1.214E-18            6.660E-05
     0.0562             1.216E-18            6.671E-05
     0.0570             1.218E-18            6.679E-05
     0.0590             1.221E-18            6.697E-05
     0.0591             1.221E-18            6.698E-05
     0.0610             1.224E-18            6.715E-05
     0.0621             1.226E-18            6.726E-05
     0.0630             1.228E-18            6.734E-05
     0.0650             1.231E-18            6.752E-05
     0.0651             1.231E-18            6.753E-05
     0.0670             1.234E-18            6.770E-05
     0.0681             1.236E-18            6.780E-05
     0.0690             1.237E-18            6.788E-05
     0.0710             1.241E-18            6.806E-05
     0.0711             1.241E-18            6.807E-05
     0.0730             1.244E-18            6.825E-05
     0.0740             1.246E-18            6.834E-05
     0.0750             1.247E-18            6.843E-05
     0.0770             1.251E-18            6.861E-05
     0.0770             1.251E-18            6.862E-05
     0.0790             1.254E-18            6.880E-05
     0.0800             1.256E-18            6.889E-05
     0.0810             1.257E-18            6.898E-05
     0.0830             1.261E-18            6.916E-05
     0.0830             1.261E-18            6.916E-05
     0.0850             1.264E-18            6.934E-05
     0.0860             1.266E-18            6.943E-05
     0.0870             1.267E-18            6.953E-05
     0.0890             1.271E-18            6.970E-05
     0.0890             1.271E-18            6.971E-05
     0.0910             1.274E-18            6.989E-05
     0.0919             1.276E-18            6.997E-05
     0.0930             1.277E-18            7.007E-05
     0.0949             1.281E-18            7.025E-05
     0.0950             1.281E-18            7.025E-05
     0.0970             1.284E-18            7.044E-05
     0.0979             1.286E-18            7.052E-05
     0.0990             1.287E-18            7.062E-05
     0.1009             1.291E-18            7.079E-05
     0.1010             1.291E-18            7.080E-05
     0.1030             1.294E-18            7.098E-05
     0.1038             1.295E-18            7.106E-05
     0.1050             1.297E-18            7.117E-05
     0.1068             1.300E-18            7.133E-05
     0.1070             1.301E-18            7.135E-05
     0.1090             1.304E-18            7.153E-05
     0.1098             1.305E-18            7.161E-05
     0.1110             1.307E-18            7.172E-05
     0.1128             1.310E-18            7.188E-05
     0.1130             1.311E-18            7.190E-05
     0.1150             1.314E-18            7.208E-05
     0.1157             1.315E-18            7.215E-05
     0.1170             1.317E-18            7.227E-05
     0.1187             1.320E-18            7.242E-05
     0.1190             1.321E-18            7.245E-05
     0.1210             1.324E-18            7.264E-05
     0.1217             1.325E-18            7.270E-05
     0.1230             1.327E-18            7.282E-05
     0.1246             1.330E-18            7.297E-05
     0.1250             1.331E-18            7.300E-05
     0.1270             1.334E-18            7.319E-05
     0.1276             1.335E-18            7.324E-05
     0.1290             1.338E-18            7.337E-05
     0.1305             1.340E-18            7.351E-05
     0.1310             1.341E-18            7.355E-05
     0.1330             1.344E-18            7.374E-05
     0.1335             1.345E-18            7.379E-05
     0.1350             1.348E-18            7.392E-05
     0.1365             1.350E-18            7.406E-05
     0.1370             1.351E-18            7.411E-05
     0.1390             1.354E-18            7.430E-05
     0.1394             1.355E-18            7.433E-05
     0.1410             1.358E-18            7.448E-05
     0.1423             1.360E-18            7.461E-05
     0.1430             1.361E-18            7.467E-05
     0.1450             1.365E-18            7.485E-05
     0.1453             1.365E-18            7.488E-05
     0.1470             1.368E-18            7.504E-05
     0.1482             1.370E-18            7.515E-05
     0.1490             1.371E-18            7.523E-05
     0.1510             1.375E-18            7.541E-05
     0.1512             1.375E-18            7.543E-05
     0.1530             1.378E-18            7.560E-05
     0.1541             1.380E-18            7.570E-05
     0.1550             1.382E-18            7.578E-05
     0.1570             1.385E-18            7.597E-05
     0.1570             1.385E-18            7.598E-05
     0.1590             1.388E-18            7.616E-05
     0.1599             1.390E-18            7.625E-05
     0.1610             1.392E-18            7.635E-05
     0.1629             1.395E-18            7.652E-05
     0.1630             1.395E-18            7.653E-05
     0.1650             1.399E-18            7.672E-05
     0.1658             1.400E-18            7.679E-05
     0.1670             1.402E-18            7.691E-05
     0.1687             1.405E-18            7.707E-05
     0.1690             1.405E-18            7.710E-05
     0.1710             1.409E-18            7.728E-05
     0.1716             1.410E-18            7.734E-05
     0.1730             1.412E-18            7.747E-05
     0.1745             1.415E-18            7.761E-05
     0.1750             1.416E-18            7.766E-05
     0.1770             1.419E-18            7.785E-05
     0.1774             1.420E-18            7.789E-05
     0.1790             1.423E-18            7.804E-05
     0.1803             1.425E-18            7.816E-05
     0.1810             1.426E-18            7.823E-05
     0.1830             1.429E-18            7.841E-05
     0.1832             1.430E-18            7.843E-05
     0.1850             1.433E-18            7.860E-05
     0.1861             1.435E-18            7.870E-05
     0.1870             1.436E-18            7.879E-05
     0.1889             1.440E-18            7.897E-05
     0.1890             1.440E-18            7.898E-05
     0.1910             1.443E-18            7.917E-05
     0.1918             1.445E-18            7.925E-05
     0.1930             1.447E-18            7.936E-05
     0.1947             1.450E-18            7.952E-05
     0.1950             1.450E-18            7.955E-05
     0.1970             1.454E-18            7.974E-05
     0.1975             1.454E-18            7.978E-05
     0.1990             1.457E-18            7.992E-05
     0.2004             1.459E-18            8.005E-05
     0.2010             1.460E-18            8.011E-05
     0.2030             1.464E-18            8.030E-05
     0.2032             1.464E-18            8.032E-05
     0.2050             1.467E-18            8.049E-05
     0.2060             1.469E-18            8.059E-05
     0.2070             1.471E-18            8.068E-05
     0.2089             1.474E-18            8.086E-05
     0.2090             1.474E-18            8.087E-05
     0.2110             1.478E-18            8.105E-05
     0.2117             1.479E-18            8.112E-05
     0.2130             1.481E-18            8.124E-05
     0.2145             1.484E-18            8.138E-05
     0.2150             1.484E-18            8.143E-05
     0.2170             1.488E-18            8.161E-05
     0.2173             1.488E-18            8.165E-05
     0.2190             1.491E-18            8.180E-05
     0.2201             1.493E-18            8.191E-05
     0.2210             1.495E-18            8.199E-05
     0.2229             1.498E-18            8.217E-05
     0.2230             1.498E-18            8.217E-05
     0.2250             1.501E-18            8.236E-05
     0.2257             1.503E-18            8.243E-05
     0.2270             1.505E-18            8.254E-05
     0.2285             1.507E-18            8.269E-05
     0.2290             1.508E-18            8.273E-05
     0.2310             1.511E-18            8.291E-05
     0.2313             1.512E-18            8.294E-05
     0.2330             1.515E-18            8.310E-05
     0.2341             1.517E-18            8.319E-05
     0.2350             1.518E-18            8.328E-05
     0.2368             1.521E-18            8.344E-05
     0.2370             1.521E-18            8.346E-05
     0.2390             1.525E-18            8.364E-05
     0.2396             1.526E-18            8.369E-05
     0.2410             1.528E-18            8.382E-05
     0.2423             1.530E-18            8.394E-05
     0.2430             1.531E-18            8.400E-05
     0.2450             1.535E-18            8.418E-05
     0.2450             1.535E-18            8.418E-05
     0.2470             1.538E-18            8.435E-05
     0.2478             1.539E-18            8.442E-05
     0.2490             1.541E-18            8.453E-05
     0.2505             1.543E-18            8.466E-05
     0.2510             1.544E-18            8.470E-05
     0.2530             1.547E-18            8.488E-05
     0.2532             1.548E-18            8.490E-05
     0.2550             1.550E-18            8.505E-05
     0.2559             1.552E-18            8.513E-05
     0.2570             1.554E-18            8.522E-05
     0.2586             1.556E-18            8.536E-05
     0.2590             1.557E-18            8.539E-05
     0.2610             1.560E-18            8.556E-05
     0.2613             1.560E-18            8.558E-05
     0.2630             1.563E-18            8.572E-05
     0.2640             1.564E-18            8.580E-05
     0.2650             1.566E-18            8.589E-05
     0.2666             1.568E-18            8.602E-05
     0.2670             1.569E-18            8.605E-05
     0.2690             1.572E-18            8.621E-05
     0.2693             1.572E-18            8.623E-05
     0.2710             1.574E-18            8.637E-05
     0.2719             1.576E-18            8.644E-05
     0.2730             1.577E-18            8.652E-05
     0.2746             1.580E-18            8.664E-05
     0.2750             1.580E-18            8.668E-05
     0.2770             1.583E-18            8.683E-05
     0.2772             1.583E-18            8.684E-05
     0.2790             1.586E-18            8.698E-05
     0.2798             1.587E-18            8.704E-05
     0.2810             1.588E-18            8.712E-05
     0.2824             1.590E-18            8.722E-05
     0.2830             1.591E-18            8.726E-05
     0.2850             1.593E-18            8.740E-05
     0.2850             1.593E-18            8.741E-05
     0.2870             1.596E-18            8.754E-05
     0.2876             1.597E-18            8.758E-05
     0.2890             1.598E-18            8.767E-05
     0.2902             1.600E-18            8.775E-05
     0.2910             1.601E-18            8.780E-05
     0.2928             1.603E-18            8.791E-05
     0.2930             1.603E-18            8.792E-05
     0.2950             1.605E-18            8.805E-05
     0.2953             1.605E-18            8.807E-05
     0.2970             1.607E-18            8.816E-05
     0.2979             1.608E-18            8.821E-05
     0.2990             1.609E-18            8.827E-05
     0.3004             1.611E-18            8.835E-05
     0.3010             1.611E-18            8.838E-05
     0.3030             1.613E-18            8.849E-05
     0.3030             1.613E-18            8.849E-05
     0.3050             1.615E-18            8.859E-05
     0.3055             1.615E-18            8.861E-05
     0.3070             1.617E-18            8.868E-05
     0.3080             1.617E-18            8.872E-05
     0.3090             1.618E-18            8.876E-05
     0.3105             1.619E-18            8.883E-05
     0.3110             1.620E-18            8.885E-05
     0.3130             1.621E-18            8.892E-05
     0.3130             1.621E-18            8.892E-05
     0.3150             1.622E-18            8.899E-05
     0.3155             1.623E-18            8.901E-05
     0.3170             1.623E-18            8.905E-05
     0.3179             1.624E-18            8.908E-05
     0.3190             1.624E-18            8.911E-05
     0.3204             1.625E-18            8.914E-05
     0.3210             1.625E-18            8.916E-05
     0.3228             1.626E-18            8.919E-05
     0.3230             1.626E-18            8.919E-05
     0.3250             1.627E-18            8.923E-05
     0.3253             1.627E-18            8.923E-05
     0.3270             1.627E-18            8.925E-05
     0.3277             1.627E-18            8.926E-05
     0.3290             1.627E-18            8.926E-05
     0.3301             1.627E-18            8.927E-05
     0.3310             1.627E-18            8.927E-05
     0.3325             1.627E-18            8.926E-05
     0.3330             1.627E-18            8.926E-05
     0.3349             1.627E-18            8.925E-05
     0.3350             1.627E-18            8.925E-05
