                 System #       55
     Galactic longitude l   -61.28
      Galactic latitude b     0.00
           distance (kpc)     9.82
    orbital period (days)  261.922
    arg. periastron (deg)  373.632
        inclination (deg)  108.549
             eccentricity    0.615
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             1.209E-17            6.630E-04
     0.0002             1.206E-17            6.618E-04
     0.0018             1.180E-17            6.473E-04
     0.0022             1.174E-17            6.439E-04
     0.0035             1.152E-17            6.320E-04
     0.0042             1.142E-17            6.263E-04
     0.0053             1.125E-17            6.171E-04
     0.0062             1.110E-17            6.091E-04
     0.0070             1.099E-17            6.027E-04
     0.0082             1.080E-17            5.924E-04
     0.0086             1.073E-17            5.888E-04
     0.0102             1.051E-17            5.763E-04
     0.0103             1.049E-17            5.754E-04
     0.0120             1.026E-17            5.626E-04
     0.0122             1.023E-17            5.609E-04
     0.0136             1.004E-17            5.506E-04
     0.0142             9.962E-18            5.465E-04
     0.0152             9.832E-18            5.393E-04
     0.0162             9.718E-18            5.331E-04
     0.0169             9.642E-18            5.289E-04
     0.0182             9.496E-18            5.209E-04
     0.0184             9.470E-18            5.195E-04
     0.0200             9.314E-18            5.109E-04
     0.0202             9.300E-18            5.101E-04
     0.0216             9.181E-18            5.036E-04
     0.0222             9.135E-18            5.011E-04
     0.0232             9.068E-18            4.974E-04
     0.0242             9.004E-18            4.939E-04
     0.0247             8.977E-18            4.924E-04
     0.0262             8.914E-18            4.890E-04
     0.0262             8.913E-18            4.889E-04
     0.0277             8.875E-18            4.868E-04
     0.0282             8.868E-18            4.865E-04
     0.0292             8.865E-18            4.863E-04
     0.0302             8.874E-18            4.868E-04
     0.0307             8.884E-18            4.873E-04
     0.0322             8.935E-18            4.901E-04
     0.0322             8.936E-18            4.902E-04
     0.0336             9.021E-18            4.948E-04
     0.0342             9.063E-18            4.971E-04
     0.0351             9.142E-18            5.015E-04
     0.0362             9.262E-18            5.080E-04
     0.0365             9.300E-18            5.102E-04
     0.0379             9.498E-18            5.210E-04
     0.0382             9.541E-18            5.233E-04
     0.0393             9.737E-18            5.341E-04
     0.0402             9.908E-18            5.435E-04
     0.0407             1.002E-17            5.496E-04
     0.0421             1.035E-17            5.677E-04
     0.0422             1.038E-17            5.693E-04
     0.0434             1.073E-17            5.883E-04
     0.0442             1.095E-17            6.009E-04
     0.0448             1.115E-17            6.117E-04
     0.0461             1.163E-17            6.379E-04
     0.0462             1.165E-17            6.392E-04
