                 System #       57
     Galactic longitude l    -1.05
      Galactic latitude b     0.00
           distance (kpc)    13.74
    orbital period (days)  916.808
    arg. periastron (deg)  304.410
        inclination (deg)  109.709
             eccentricity    0.772
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0016             4.960E-17            2.721E-03
     0.0032             4.962E-17            2.722E-03
     0.0036             4.962E-17            2.722E-03
     0.0056             4.965E-17            2.724E-03
     0.0067             4.967E-17            2.724E-03
     0.0076             4.968E-17            2.725E-03
     0.0096             4.971E-17            2.727E-03
     0.0102             4.972E-17            2.727E-03
     0.0116             4.974E-17            2.728E-03
     0.0136             4.977E-17            2.730E-03
     0.0137             4.977E-17            2.730E-03
     0.0156             4.980E-17            2.732E-03
     0.0172             4.983E-17            2.733E-03
     0.0176             4.983E-17            2.733E-03
     0.0196             4.986E-17            2.735E-03
     0.0207             4.988E-17            2.736E-03
     0.0216             4.990E-17            2.737E-03
     0.0236             4.993E-17            2.739E-03
     0.0242             4.995E-17            2.740E-03
     0.0256             4.997E-17            2.741E-03
     0.0276             5.001E-17            2.743E-03
     0.0277             5.001E-17            2.743E-03
     0.0296             5.005E-17            2.745E-03
     0.0312             5.008E-17            2.747E-03
     0.0316             5.008E-17            2.747E-03
     0.0336             5.012E-17            2.750E-03
     0.0347             5.015E-17            2.751E-03
     0.0356             5.016E-17            2.752E-03
     0.0376             5.021E-17            2.754E-03
     0.0381             5.022E-17            2.755E-03
     0.0396             5.025E-17            2.756E-03
     0.0416             5.029E-17            2.759E-03
     0.0416             5.029E-17            2.759E-03
     0.0436             5.034E-17            2.761E-03
     0.0451             5.037E-17            2.763E-03
     0.0456             5.038E-17            2.764E-03
     0.0476             5.043E-17            2.766E-03
     0.0485             5.045E-17            2.768E-03
     0.0496             5.048E-17            2.769E-03
     0.0516             5.053E-17            2.772E-03
     0.0520             5.054E-17            2.772E-03
     0.0536             5.058E-17            2.774E-03
     0.0554             5.062E-17            2.777E-03
     0.0556             5.063E-17            2.777E-03
     0.0576             5.068E-17            2.780E-03
