                 System #       58
     Galactic longitude l   -25.31
      Galactic latitude b     0.00
           distance (kpc)     9.52
    orbital period (days)   31.917
    arg. periastron (deg)  372.781
        inclination (deg)  123.880
             eccentricity    0.755
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             1.296E-15            7.110E-02
     0.0013             1.296E-15            7.108E-02
     0.0022             1.296E-15            7.107E-02
     0.0042             1.295E-15            7.103E-02
     0.0048             1.295E-15            7.102E-02
     0.0062             1.294E-15            7.100E-02
     0.0082             1.294E-15            7.097E-02
     0.0083             1.294E-15            7.097E-02
     0.0102             1.293E-15            7.094E-02
     0.0118             1.293E-15            7.092E-02
     0.0122             1.293E-15            7.092E-02
     0.0142             1.292E-15            7.089E-02
     0.0152             1.292E-15            7.088E-02
     0.0162             1.292E-15            7.086E-02
     0.0182             1.291E-15            7.084E-02
     0.0187             1.291E-15            7.083E-02
     0.0202             1.291E-15            7.081E-02
     0.0222             1.290E-15            7.079E-02
     0.0222             1.290E-15            7.079E-02
     0.0242             1.290E-15            7.076E-02
     0.0256             1.290E-15            7.075E-02
     0.0262             1.290E-15            7.074E-02
     0.0282             1.289E-15            7.072E-02
     0.0291             1.289E-15            7.071E-02
     0.0302             1.289E-15            7.070E-02
     0.0322             1.289E-15            7.068E-02
     0.0325             1.288E-15            7.068E-02
     0.0342             1.288E-15            7.066E-02
     0.0360             1.288E-15            7.065E-02
     0.0362             1.288E-15            7.064E-02
     0.0382             1.288E-15            7.063E-02
     0.0394             1.287E-15            7.062E-02
     0.0402             1.287E-15            7.061E-02
     0.0422             1.287E-15            7.059E-02
     0.0429             1.287E-15            7.059E-02
     0.0442             1.287E-15            7.058E-02
     0.0462             1.286E-15            7.057E-02
     0.0463             1.286E-15            7.057E-02
     0.0482             1.286E-15            7.055E-02
     0.0497             1.286E-15            7.054E-02
     0.0502             1.286E-15            7.054E-02
     0.0522             1.286E-15            7.053E-02
     0.0531             1.286E-15            7.053E-02
     0.0542             1.286E-15            7.052E-02
     0.0562             1.285E-15            7.051E-02
     0.0565             1.285E-15            7.051E-02
     0.0582             1.285E-15            7.051E-02
     0.0599             1.285E-15            7.050E-02
     0.0602             1.285E-15            7.050E-02
     0.0622             1.285E-15            7.049E-02
     0.0633             1.285E-15            7.049E-02
     0.0642             1.285E-15            7.049E-02
     0.0662             1.285E-15            7.048E-02
     0.0667             1.285E-15            7.048E-02
     0.0682             1.285E-15            7.048E-02
     0.0701             1.285E-15            7.048E-02
     0.0702             1.285E-15            7.048E-02
     0.0722             1.285E-15            7.048E-02
     0.0735             1.285E-15            7.048E-02
     0.0742             1.285E-15            7.048E-02
     0.0762             1.285E-15            7.047E-02
     0.0768             1.285E-15            7.048E-02
     0.0782             1.285E-15            7.048E-02
     0.0802             1.285E-15            7.048E-02
     0.0802             1.285E-15            7.048E-02
     0.0822             1.285E-15            7.048E-02
     0.0835             1.285E-15            7.048E-02
     0.0842             1.285E-15            7.048E-02
     0.0862             1.285E-15            7.049E-02
     0.0869             1.285E-15            7.049E-02
     0.0882             1.285E-15            7.049E-02
     0.0902             1.285E-15            7.050E-02
     0.0902             1.285E-15            7.050E-02
     0.0922             1.285E-15            7.051E-02
     0.0935             1.285E-15            7.051E-02
     0.0942             1.286E-15            7.052E-02
     0.0962             1.286E-15            7.053E-02
     0.0968             1.286E-15            7.053E-02
     0.0982             1.286E-15            7.054E-02
     0.1001             1.286E-15            7.055E-02
     0.1002             1.286E-15            7.055E-02
     0.1022             1.286E-15            7.056E-02
     0.1034             1.286E-15            7.057E-02
