                 System #        6
     Galactic longitude l   -14.04
      Galactic latitude b     0.00
           distance (kpc)    20.26
    orbital period (days)   34.356
    arg. periastron (deg)  187.274
        inclination (deg)  154.659
             eccentricity    0.720
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0003             1.405E-16            7.705E-03
     0.0007             1.404E-16            7.704E-03
     0.0023             1.404E-16            7.702E-03
     0.0041             1.404E-16            7.700E-03
     0.0043             1.404E-16            7.699E-03
     0.0063             1.403E-16            7.697E-03
     0.0075             1.403E-16            7.696E-03
     0.0083             1.403E-16            7.695E-03
     0.0103             1.402E-16            7.692E-03
     0.0109             1.402E-16            7.692E-03
     0.0123             1.402E-16            7.690E-03
     0.0143             1.402E-16            7.688E-03
     0.0143             1.402E-16            7.688E-03
     0.0163             1.401E-16            7.687E-03
     0.0177             1.401E-16            7.685E-03
     0.0183             1.401E-16            7.685E-03
     0.0203             1.401E-16            7.683E-03
     0.0211             1.401E-16            7.683E-03
     0.0223             1.400E-16            7.682E-03
     0.0243             1.400E-16            7.680E-03
     0.0246             1.400E-16            7.680E-03
     0.0263             1.400E-16            7.679E-03
     0.0280             1.400E-16            7.678E-03
     0.0283             1.400E-16            7.678E-03
     0.0303             1.400E-16            7.677E-03
     0.0314             1.399E-16            7.676E-03
     0.0323             1.399E-16            7.676E-03
     0.0343             1.399E-16            7.675E-03
     0.0349             1.399E-16            7.675E-03
     0.0363             1.399E-16            7.675E-03
     0.0383             1.399E-16            7.674E-03
     0.0383             1.399E-16            7.674E-03
     0.0403             1.399E-16            7.673E-03
     0.0417             1.399E-16            7.673E-03
     0.0423             1.399E-16            7.673E-03
     0.0443             1.399E-16            7.673E-03
     0.0452             1.399E-16            7.673E-03
     0.0463             1.399E-16            7.673E-03
     0.0483             1.399E-16            7.673E-03
     0.0486             1.399E-16            7.673E-03
     0.0503             1.399E-16            7.673E-03
     0.0521             1.399E-16            7.673E-03
     0.0523             1.399E-16            7.673E-03
     0.0543             1.399E-16            7.673E-03
