                 System #       61
     Galactic longitude l    15.68
      Galactic latitude b     0.00
           distance (kpc)    11.18
    orbital period (days)   40.803
    arg. periastron (deg)  189.520
        inclination (deg)  130.427
             eccentricity    0.218
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0018             3.542E-17            1.943E-03
     0.0021             3.543E-17            1.944E-03
     0.0038             3.549E-17            1.947E-03
     0.0044             3.551E-17            1.948E-03
     0.0058             3.556E-17            1.951E-03
     0.0068             3.559E-17            1.952E-03
     0.0078             3.562E-17            1.954E-03
     0.0091             3.566E-17            1.956E-03
     0.0098             3.569E-17            1.958E-03
     0.0114             3.574E-17            1.960E-03
     0.0118             3.575E-17            1.961E-03
     0.0138             3.581E-17            1.964E-03
     0.0138             3.581E-17            1.964E-03
     0.0158             3.587E-17            1.968E-03
     0.0161             3.588E-17            1.968E-03
     0.0178             3.593E-17            1.971E-03
     0.0184             3.595E-17            1.972E-03
     0.0198             3.599E-17            1.974E-03
     0.0208             3.601E-17            1.976E-03
     0.0218             3.604E-17            1.977E-03
     0.0231             3.608E-17            1.979E-03
     0.0238             3.610E-17            1.980E-03
     0.0255             3.614E-17            1.983E-03
     0.0258             3.615E-17            1.983E-03
     0.0278             3.620E-17            1.986E-03
     0.0278             3.620E-17            1.986E-03
     0.0298             3.625E-17            1.989E-03
     0.0302             3.626E-17            1.989E-03
     0.0318             3.630E-17            1.991E-03
     0.0325             3.632E-17            1.992E-03
     0.0338             3.635E-17            1.994E-03
     0.0349             3.638E-17            1.995E-03
     0.0358             3.640E-17            1.997E-03
     0.0373             3.643E-17            1.998E-03
     0.0378             3.644E-17            1.999E-03
     0.0396             3.648E-17            2.001E-03
     0.0398             3.649E-17            2.001E-03
     0.0418             3.653E-17            2.004E-03
     0.0420             3.653E-17            2.004E-03
     0.0438             3.657E-17            2.006E-03
     0.0444             3.658E-17            2.007E-03
     0.0458             3.661E-17            2.008E-03
     0.0468             3.663E-17            2.009E-03
     0.0478             3.665E-17            2.010E-03
     0.0492             3.667E-17            2.012E-03
     0.0498             3.668E-17            2.012E-03
     0.0515             3.672E-17            2.014E-03
     0.0518             3.672E-17            2.014E-03
     0.0538             3.676E-17            2.016E-03
     0.0539             3.676E-17            2.016E-03
     0.0558             3.679E-17            2.018E-03
     0.0563             3.680E-17            2.018E-03
     0.0578             3.682E-17            2.020E-03
     0.0587             3.683E-17            2.021E-03
     0.0598             3.685E-17            2.021E-03
     0.0611             3.687E-17            2.023E-03
     0.0618             3.688E-17            2.023E-03
     0.0635             3.690E-17            2.024E-03
     0.0638             3.691E-17            2.025E-03
     0.0658             3.694E-17            2.026E-03
     0.0659             3.694E-17            2.026E-03
     0.0678             3.696E-17            2.028E-03
     0.0683             3.697E-17            2.028E-03
     0.0698             3.699E-17            2.029E-03
     0.0707             3.700E-17            2.029E-03
     0.0718             3.701E-17            2.030E-03
     0.0731             3.702E-17            2.031E-03
     0.0738             3.703E-17            2.031E-03
     0.0755             3.705E-17            2.032E-03
     0.0758             3.705E-17            2.033E-03
     0.0778             3.707E-17            2.034E-03
     0.0779             3.707E-17            2.034E-03
     0.0798             3.709E-17            2.035E-03
     0.0803             3.709E-17            2.035E-03
     0.0818             3.711E-17            2.036E-03
     0.0827             3.711E-17            2.036E-03
     0.0838             3.712E-17            2.036E-03
     0.0851             3.713E-17            2.037E-03
     0.0858             3.714E-17            2.037E-03
     0.0876             3.715E-17            2.038E-03
     0.0878             3.715E-17            2.038E-03
     0.0898             3.716E-17            2.038E-03
     0.0900             3.716E-17            2.039E-03
     0.0918             3.717E-17            2.039E-03
     0.0924             3.717E-17            2.039E-03
     0.0938             3.718E-17            2.040E-03
     0.0948             3.719E-17            2.040E-03
     0.0958             3.719E-17            2.040E-03
     0.0972             3.720E-17            2.040E-03
     0.0978             3.720E-17            2.040E-03
     0.0997             3.720E-17            2.041E-03
     0.0998             3.720E-17            2.041E-03
     0.1018             3.721E-17            2.041E-03
     0.1021             3.721E-17            2.041E-03
     0.1038             3.721E-17            2.041E-03
     0.1045             3.721E-17            2.041E-03
     0.1058             3.721E-17            2.041E-03
     0.1069             3.721E-17            2.041E-03
     0.1078             3.721E-17            2.041E-03
     0.1094             3.721E-17            2.041E-03
     0.1098             3.721E-17            2.041E-03
     0.1118             3.721E-17            2.041E-03
     0.1118             3.721E-17            2.041E-03
     0.1138             3.720E-17            2.041E-03
     0.1142             3.720E-17            2.041E-03
     0.1158             3.720E-17            2.041E-03
     0.1166             3.720E-17            2.040E-03
     0.1178             3.719E-17            2.040E-03
     0.1191             3.719E-17            2.040E-03
     0.1198             3.719E-17            2.040E-03
     0.1215             3.718E-17            2.039E-03
     0.1218             3.718E-17            2.039E-03
     0.1238             3.717E-17            2.039E-03
     0.1239             3.717E-17            2.039E-03
     0.1258             3.716E-17            2.038E-03
     0.1264             3.715E-17            2.038E-03
     0.1278             3.714E-17            2.037E-03
     0.1288             3.714E-17            2.037E-03
     0.1298             3.713E-17            2.037E-03
     0.1312             3.712E-17            2.036E-03
     0.1318             3.711E-17            2.036E-03
     0.1337             3.710E-17            2.035E-03
     0.1338             3.710E-17            2.035E-03
     0.1358             3.708E-17            2.034E-03
     0.1361             3.707E-17            2.034E-03
     0.1378             3.706E-17            2.033E-03
     0.1385             3.705E-17            2.032E-03
     0.1398             3.704E-17            2.032E-03
     0.1410             3.702E-17            2.031E-03
     0.1418             3.701E-17            2.030E-03
     0.1434             3.700E-17            2.029E-03
     0.1438             3.699E-17            2.029E-03
     0.1458             3.697E-17            2.028E-03
     0.1458             3.697E-17            2.028E-03
     0.1478             3.694E-17            2.026E-03
     0.1483             3.693E-17            2.026E-03
     0.1498             3.691E-17            2.025E-03
     0.1507             3.690E-17            2.024E-03
     0.1518             3.688E-17            2.023E-03
     0.1532             3.686E-17            2.022E-03
     0.1538             3.685E-17            2.021E-03
     0.1556             3.682E-17            2.020E-03
     0.1558             3.682E-17            2.020E-03
     0.1578             3.678E-17            2.018E-03
     0.1580             3.678E-17            2.018E-03
     0.1598             3.675E-17            2.016E-03
     0.1605             3.674E-17            2.015E-03
     0.1618             3.671E-17            2.014E-03
     0.1629             3.669E-17            2.013E-03
     0.1638             3.667E-17            2.012E-03
     0.1653             3.664E-17            2.010E-03
     0.1658             3.663E-17            2.009E-03
     0.1678             3.659E-17            2.007E-03
     0.1678             3.659E-17            2.007E-03
     0.1698             3.655E-17            2.005E-03
     0.1702             3.654E-17            2.004E-03
     0.1718             3.650E-17            2.002E-03
     0.1726             3.648E-17            2.001E-03
     0.1738             3.646E-17            2.000E-03
     0.1751             3.643E-17            1.998E-03
     0.1758             3.641E-17            1.997E-03
     0.1775             3.637E-17            1.995E-03
     0.1778             3.636E-17            1.994E-03
     0.1798             3.631E-17            1.992E-03
     0.1799             3.631E-17            1.992E-03
     0.1818             3.625E-17            1.989E-03
     0.1823             3.624E-17            1.988E-03
     0.1838             3.620E-17            1.986E-03
     0.1848             3.617E-17            1.984E-03
     0.1858             3.614E-17            1.983E-03
     0.1872             3.611E-17            1.981E-03
     0.1878             3.609E-17            1.980E-03
     0.1896             3.603E-17            1.977E-03
     0.1898             3.603E-17            1.976E-03
     0.1918             3.597E-17            1.973E-03
     0.1920             3.596E-17            1.973E-03
     0.1938             3.590E-17            1.969E-03
     0.1945             3.588E-17            1.968E-03
     0.1958             3.584E-17            1.966E-03
     0.1969             3.580E-17            1.964E-03
     0.1978             3.577E-17            1.962E-03
     0.1993             3.572E-17            1.960E-03
     0.1998             3.571E-17            1.959E-03
     0.2017             3.564E-17            1.955E-03
     0.2018             3.564E-17            1.955E-03
     0.2038             3.556E-17            1.951E-03
     0.2041             3.555E-17            1.950E-03
     0.2058             3.549E-17            1.947E-03
     0.2066             3.546E-17            1.945E-03
     0.2078             3.542E-17            1.943E-03
     0.2090             3.537E-17            1.940E-03
     0.2098             3.534E-17            1.938E-03
     0.2114             3.528E-17            1.935E-03
     0.2118             3.526E-17            1.934E-03
     0.2138             3.518E-17            1.930E-03
     0.2138             3.518E-17            1.930E-03
     0.2158             3.510E-17            1.925E-03
     0.2162             3.508E-17            1.924E-03
     0.2178             3.501E-17            1.921E-03
     0.2186             3.498E-17            1.919E-03
     0.2198             3.493E-17            1.916E-03
     0.2210             3.488E-17            1.913E-03
     0.2218             3.484E-17            1.911E-03
     0.2234             3.477E-17            1.907E-03
     0.2238             3.475E-17            1.906E-03
     0.2258             3.466E-17            1.901E-03
     0.2258             3.466E-17            1.901E-03
     0.2278             3.456E-17            1.896E-03
     0.2282             3.454E-17            1.895E-03
     0.2298             3.447E-17            1.891E-03
