                 System #       62
     Galactic longitude l   -42.16
      Galactic latitude b     0.00
           distance (kpc)     4.08
    orbital period (days)   68.313
    arg. periastron (deg)  359.231
        inclination (deg)   27.603
             eccentricity    0.726
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             4.655E-15            2.553E-01
     0.0021             4.643E-15            2.547E-01
     0.0029             4.639E-15            2.545E-01
     0.0041             4.633E-15            2.541E-01
     0.0059             4.623E-15            2.536E-01
     0.0061             4.622E-15            2.535E-01
     0.0081             4.611E-15            2.529E-01
     0.0090             4.607E-15            2.527E-01
     0.0101             4.601E-15            2.524E-01
     0.0120             4.591E-15            2.518E-01
     0.0121             4.590E-15            2.518E-01
     0.0141             4.580E-15            2.512E-01
     0.0151             4.575E-15            2.510E-01
     0.0161             4.570E-15            2.507E-01
     0.0181             4.560E-15            2.501E-01
     0.0181             4.560E-15            2.501E-01
     0.0201             4.550E-15            2.496E-01
     0.0212             4.545E-15            2.493E-01
     0.0221             4.540E-15            2.490E-01
     0.0241             4.531E-15            2.485E-01
     0.0243             4.530E-15            2.485E-01
     0.0261             4.521E-15            2.480E-01
     0.0274             4.515E-15            2.477E-01
     0.0281             4.512E-15            2.475E-01
     0.0301             4.502E-15            2.470E-01
     0.0305             4.501E-15            2.469E-01
     0.0321             4.493E-15            2.465E-01
     0.0336             4.486E-15            2.461E-01
     0.0341             4.484E-15            2.460E-01
     0.0361             4.475E-15            2.455E-01
     0.0368             4.472E-15            2.453E-01
     0.0381             4.466E-15            2.450E-01
     0.0399             4.458E-15            2.446E-01
     0.0401             4.458E-15            2.445E-01
     0.0421             4.449E-15            2.440E-01
     0.0431             4.445E-15            2.438E-01
     0.0441             4.441E-15            2.436E-01
     0.0461             4.432E-15            2.431E-01
     0.0463             4.432E-15            2.431E-01
     0.0481             4.424E-15            2.427E-01
     0.0494             4.418E-15            2.424E-01
     0.0501             4.416E-15            2.422E-01
     0.0521             4.408E-15            2.418E-01
     0.0526             4.406E-15            2.417E-01
     0.0541             4.400E-15            2.413E-01
     0.0558             4.393E-15            2.410E-01
     0.0561             4.392E-15            2.409E-01
     0.0581             4.384E-15            2.405E-01
     0.0590             4.380E-15            2.403E-01
     0.0601             4.376E-15            2.401E-01
     0.0621             4.369E-15            2.396E-01
     0.0623             4.368E-15            2.396E-01
     0.0641             4.361E-15            2.392E-01
     0.0655             4.356E-15            2.390E-01
     0.0661             4.354E-15            2.388E-01
     0.0681             4.347E-15            2.384E-01
     0.0687             4.345E-15            2.383E-01
     0.0701             4.340E-15            2.380E-01
     0.0720             4.333E-15            2.377E-01
     0.0721             4.333E-15            2.377E-01
     0.0741             4.326E-15            2.373E-01
     0.0752             4.322E-15            2.371E-01
     0.0761             4.319E-15            2.369E-01
     0.0781             4.312E-15            2.365E-01
     0.0785             4.311E-15            2.365E-01
     0.0801             4.305E-15            2.362E-01
     0.0818             4.300E-15            2.359E-01
     0.0821             4.299E-15            2.358E-01
     0.0841             4.292E-15            2.354E-01
     0.0851             4.289E-15            2.353E-01
     0.0861             4.286E-15            2.351E-01
     0.0881             4.279E-15            2.347E-01
     0.0884             4.279E-15            2.347E-01
     0.0901             4.273E-15            2.344E-01
     0.0917             4.268E-15            2.341E-01
     0.0921             4.267E-15            2.341E-01
     0.0941             4.261E-15            2.337E-01
     0.0950             4.258E-15            2.336E-01
     0.0961             4.255E-15            2.334E-01
     0.0981             4.249E-15            2.331E-01
     0.0983             4.249E-15            2.331E-01
     0.1001             4.243E-15            2.328E-01
     0.1016             4.239E-15            2.325E-01
     0.1021             4.238E-15            2.325E-01
     0.1041             4.232E-15            2.321E-01
     0.1050             4.230E-15            2.320E-01
     0.1061             4.226E-15            2.318E-01
     0.1081             4.221E-15            2.315E-01
     0.1083             4.221E-15            2.315E-01
     0.1101             4.216E-15            2.312E-01
     0.1116             4.212E-15            2.310E-01
     0.1121             4.210E-15            2.310E-01
     0.1141             4.205E-15            2.307E-01
     0.1150             4.203E-15            2.306E-01
     0.1161             4.200E-15            2.304E-01
     0.1181             4.195E-15            2.301E-01
     0.1184             4.194E-15            2.301E-01
     0.1201             4.190E-15            2.298E-01
     0.1217             4.186E-15            2.296E-01
     0.1221             4.185E-15            2.296E-01
     0.1241             4.181E-15            2.293E-01
     0.1251             4.178E-15            2.292E-01
     0.1261             4.176E-15            2.291E-01
     0.1281             4.171E-15            2.288E-01
     0.1285             4.170E-15            2.288E-01
     0.1301             4.167E-15            2.286E-01
     0.1319             4.163E-15            2.283E-01
     0.1321             4.162E-15            2.283E-01
     0.1341             4.158E-15            2.281E-01
     0.1353             4.155E-15            2.279E-01
     0.1361             4.153E-15            2.278E-01
     0.1381             4.149E-15            2.276E-01
     0.1387             4.148E-15            2.275E-01
     0.1401             4.145E-15            2.274E-01
     0.1421             4.141E-15            2.272E-01
     0.1421             4.141E-15            2.272E-01
     0.1441             4.137E-15            2.269E-01
     0.1455             4.134E-15            2.268E-01
     0.1461             4.133E-15            2.267E-01
     0.1481             4.129E-15            2.265E-01
     0.1489             4.128E-15            2.264E-01
     0.1501             4.125E-15            2.263E-01
     0.1521             4.122E-15            2.261E-01
     0.1523             4.121E-15            2.261E-01
     0.1541             4.118E-15            2.259E-01
     0.1557             4.115E-15            2.257E-01
     0.1561             4.115E-15            2.257E-01
     0.1581             4.111E-15            2.255E-01
     0.1591             4.109E-15            2.254E-01
     0.1601             4.108E-15            2.253E-01
     0.1621             4.104E-15            2.251E-01
     0.1625             4.104E-15            2.251E-01
     0.1641             4.101E-15            2.250E-01
     0.1660             4.098E-15            2.248E-01
     0.1661             4.098E-15            2.248E-01
     0.1681             4.095E-15            2.246E-01
     0.1694             4.093E-15            2.245E-01
     0.1701             4.092E-15            2.245E-01
     0.1721             4.089E-15            2.243E-01
     0.1728             4.088E-15            2.242E-01
     0.1741             4.086E-15            2.241E-01
     0.1761             4.083E-15            2.240E-01
     0.1763             4.083E-15            2.240E-01
     0.1781             4.080E-15            2.238E-01
     0.1797             4.078E-15            2.237E-01
     0.1801             4.078E-15            2.237E-01
     0.1821             4.075E-15            2.235E-01
     0.1832             4.074E-15            2.235E-01
     0.1841             4.072E-15            2.234E-01
     0.1861             4.070E-15            2.233E-01
     0.1866             4.069E-15            2.232E-01
     0.1881             4.067E-15            2.231E-01
     0.1900             4.065E-15            2.230E-01
     0.1901             4.065E-15            2.230E-01
     0.1921             4.063E-15            2.229E-01
     0.1935             4.061E-15            2.228E-01
     0.1941             4.061E-15            2.227E-01
     0.1961             4.059E-15            2.226E-01
     0.1969             4.058E-15            2.226E-01
     0.1981             4.056E-15            2.225E-01
     0.2001             4.055E-15            2.224E-01
     0.2004             4.054E-15            2.224E-01
     0.2021             4.053E-15            2.223E-01
     0.2038             4.051E-15            2.222E-01
     0.2041             4.051E-15            2.222E-01
     0.2061             4.049E-15            2.221E-01
     0.2073             4.048E-15            2.220E-01
     0.2081             4.047E-15            2.220E-01
     0.2101             4.046E-15            2.219E-01
     0.2108             4.045E-15            2.219E-01
     0.2121             4.044E-15            2.218E-01
     0.2141             4.043E-15            2.218E-01
     0.2142             4.043E-15            2.218E-01
     0.2161             4.041E-15            2.217E-01
     0.2177             4.040E-15            2.216E-01
     0.2181             4.040E-15            2.216E-01
     0.2201             4.038E-15            2.215E-01
     0.2211             4.038E-15            2.215E-01
     0.2221             4.037E-15            2.215E-01
     0.2241             4.036E-15            2.214E-01
     0.2246             4.036E-15            2.214E-01
     0.2261             4.035E-15            2.213E-01
     0.2280             4.034E-15            2.213E-01
     0.2281             4.034E-15            2.213E-01
     0.2301             4.033E-15            2.212E-01
     0.2315             4.032E-15            2.212E-01
     0.2321             4.032E-15            2.212E-01
     0.2341             4.031E-15            2.211E-01
     0.2349             4.031E-15            2.211E-01
     0.2361             4.030E-15            2.211E-01
     0.2381             4.030E-15            2.210E-01
     0.2384             4.030E-15            2.210E-01
     0.2401             4.029E-15            2.210E-01
     0.2418             4.029E-15            2.210E-01
     0.2421             4.028E-15            2.210E-01
     0.2441             4.028E-15            2.210E-01
     0.2452             4.028E-15            2.209E-01
     0.2461             4.028E-15            2.209E-01
     0.2481             4.027E-15            2.209E-01
     0.2487             4.027E-15            2.209E-01
     0.2501             4.027E-15            2.209E-01
     0.2521             4.027E-15            2.209E-01
     0.2521             4.027E-15            2.209E-01
     0.2541             4.027E-15            2.209E-01
     0.2556             4.027E-15            2.209E-01
     0.2561             4.027E-15            2.209E-01
     0.2581             4.027E-15            2.209E-01
     0.2590             4.027E-15            2.209E-01
     0.2601             4.027E-15            2.209E-01
     0.2621             4.027E-15            2.209E-01
     0.2624             4.027E-15            2.209E-01
     0.2641             4.027E-15            2.209E-01
     0.2659             4.027E-15            2.209E-01
     0.2661             4.027E-15            2.209E-01
     0.2681             4.028E-15            2.209E-01
     0.2693             4.028E-15            2.209E-01
     0.2701             4.028E-15            2.210E-01
     0.2721             4.028E-15            2.210E-01
     0.2727             4.029E-15            2.210E-01
     0.2741             4.029E-15            2.210E-01
     0.2761             4.030E-15            2.210E-01
     0.2761             4.030E-15            2.210E-01
     0.2781             4.030E-15            2.211E-01
     0.2795             4.031E-15            2.211E-01
     0.2801             4.031E-15            2.211E-01
     0.2821             4.032E-15            2.212E-01
     0.2829             4.032E-15            2.212E-01
     0.2841             4.033E-15            2.212E-01
     0.2861             4.034E-15            2.213E-01
     0.2864             4.034E-15            2.213E-01
     0.2881             4.035E-15            2.213E-01
     0.2898             4.036E-15            2.214E-01
     0.2901             4.036E-15            2.214E-01
     0.2921             4.037E-15            2.215E-01
     0.2931             4.038E-15            2.215E-01
     0.2941             4.039E-15            2.215E-01
     0.2961             4.040E-15            2.216E-01
     0.2965             4.040E-15            2.216E-01
     0.2981             4.041E-15            2.217E-01
     0.2999             4.043E-15            2.218E-01
     0.3001             4.043E-15            2.218E-01
     0.3021             4.044E-15            2.219E-01
     0.3033             4.045E-15            2.219E-01
     0.3041             4.046E-15            2.219E-01
     0.3061             4.048E-15            2.220E-01
     0.3067             4.048E-15            2.221E-01
     0.3081             4.050E-15            2.221E-01
     0.3100             4.051E-15            2.222E-01
     0.3101             4.051E-15            2.222E-01
