                 System #       63
     Galactic longitude l    -6.39
      Galactic latitude b     0.00
           distance (kpc)    14.26
    orbital period (days)  503.916
    arg. periastron (deg)  187.301
        inclination (deg)   21.777
             eccentricity    0.769
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             4.585E-20            2.515E-06
     0.0029             4.594E-20            2.520E-06
     0.0033             4.596E-20            2.521E-06
     0.0049             4.604E-20            2.525E-06
     0.0066             4.612E-20            2.530E-06
     0.0069             4.613E-20            2.530E-06
     0.0089             4.623E-20            2.536E-06
     0.0100             4.627E-20            2.538E-06
     0.0109             4.632E-20            2.541E-06
     0.0129             4.642E-20            2.546E-06
     0.0133             4.644E-20            2.547E-06
     0.0149             4.652E-20            2.552E-06
     0.0166             4.660E-20            2.556E-06
     0.0169             4.662E-20            2.557E-06
     0.0189             4.672E-20            2.563E-06
     0.0199             4.677E-20            2.566E-06
     0.0209             4.683E-20            2.569E-06
     0.0229             4.693E-20            2.574E-06
     0.0232             4.694E-20            2.575E-06
     0.0249             4.704E-20            2.580E-06
     0.0264             4.712E-20            2.585E-06
     0.0269             4.715E-20            2.586E-06
     0.0289             4.726E-20            2.592E-06
     0.0297             4.730E-20            2.595E-06
     0.0309             4.737E-20            2.599E-06
     0.0329             4.748E-20            2.605E-06
     0.0329             4.749E-20            2.605E-06
     0.0349             4.760E-20            2.611E-06
     0.0362             4.767E-20            2.615E-06
     0.0369             4.772E-20            2.618E-06
     0.0389             4.784E-20            2.624E-06
     0.0394             4.787E-20            2.626E-06
     0.0409             4.796E-20            2.631E-06
     0.0426             4.806E-20            2.636E-06
     0.0429             4.808E-20            2.637E-06
     0.0449             4.820E-20            2.644E-06
     0.0458             4.826E-20            2.647E-06
     0.0469             4.833E-20            2.651E-06
     0.0489             4.846E-20            2.658E-06
     0.0490             4.846E-20            2.658E-06
     0.0509             4.859E-20            2.665E-06
     0.0522             4.867E-20            2.670E-06
     0.0529             4.872E-20            2.673E-06
     0.0549             4.886E-20            2.680E-06
     0.0554             4.888E-20            2.682E-06
     0.0569             4.899E-20            2.687E-06
     0.0585             4.910E-20            2.693E-06
     0.0589             4.913E-20            2.695E-06
     0.0609             4.927E-20            2.703E-06
     0.0616             4.932E-20            2.706E-06
     0.0629             4.941E-20            2.711E-06
     0.0648             4.955E-20            2.718E-06
     0.0649             4.956E-20            2.719E-06
     0.0669             4.971E-20            2.727E-06
     0.0679             4.978E-20            2.730E-06
     0.0689             4.985E-20            2.735E-06
     0.0709             5.001E-20            2.743E-06
     0.0710             5.001E-20            2.743E-06
     0.0729             5.016E-20            2.752E-06
     0.0741             5.025E-20            2.756E-06
     0.0749             5.032E-20            2.760E-06
     0.0769             5.047E-20            2.769E-06
     0.0771             5.049E-20            2.770E-06
     0.0789             5.064E-20            2.778E-06
     0.0802             5.074E-20            2.783E-06
     0.0809             5.080E-20            2.787E-06
     0.0829             5.096E-20            2.796E-06
     0.0833             5.099E-20            2.797E-06
     0.0849             5.113E-20            2.805E-06
     0.0863             5.125E-20            2.811E-06
     0.0869             5.130E-20            2.814E-06
     0.0889             5.148E-20            2.824E-06
     0.0893             5.151E-20            2.826E-06
     0.0909             5.165E-20            2.833E-06
     0.0923             5.178E-20            2.840E-06
     0.0929             5.183E-20            2.843E-06
     0.0949             5.201E-20            2.853E-06
     0.0953             5.205E-20            2.855E-06
     0.0969             5.220E-20            2.863E-06
     0.0983             5.232E-20            2.870E-06
     0.0989             5.239E-20            2.874E-06
     0.1009             5.258E-20            2.884E-06
     0.1012             5.260E-20            2.886E-06
     0.1029             5.277E-20            2.895E-06
     0.1042             5.289E-20            2.901E-06
     0.1049             5.297E-20            2.906E-06
     0.1069             5.317E-20            2.917E-06
     0.1071             5.318E-20            2.917E-06
     0.1089             5.337E-20            2.928E-06
     0.1100             5.348E-20            2.934E-06
     0.1109             5.358E-20            2.939E-06
     0.1129             5.378E-20            2.950E-06
     0.1129             5.379E-20            2.950E-06
     0.1149             5.400E-20            2.962E-06
     0.1158             5.409E-20            2.967E-06
     0.1169             5.422E-20            2.974E-06
     0.1186             5.440E-20            2.984E-06
     0.1189             5.444E-20            2.986E-06
     0.1209             5.466E-20            2.998E-06
     0.1215             5.472E-20            3.002E-06
     0.1229             5.489E-20            3.011E-06
     0.1243             5.505E-20            3.020E-06
     0.1249             5.512E-20            3.024E-06
     0.1269             5.535E-20            3.036E-06
     0.1271             5.538E-20            3.038E-06
     0.1289             5.559E-20            3.050E-06
     0.1299             5.571E-20            3.056E-06
     0.1309             5.584E-20            3.063E-06
     0.1327             5.606E-20            3.075E-06
     0.1329             5.608E-20            3.076E-06
     0.1349             5.633E-20            3.090E-06
     0.1355             5.640E-20            3.094E-06
     0.1369             5.659E-20            3.104E-06
     0.1382             5.676E-20            3.113E-06
     0.1389             5.685E-20            3.118E-06
     0.1409             5.711E-20            3.133E-06
     0.1410             5.712E-20            3.133E-06
     0.1429             5.738E-20            3.148E-06
     0.1437             5.748E-20            3.153E-06
     0.1449             5.766E-20            3.163E-06
