                 System #       65
     Galactic longitude l   -18.76
      Galactic latitude b     0.00
           distance (kpc)    13.07
    orbital period (days) 9723.897
    arg. periastron (deg)  301.956
        inclination (deg)  103.566
             eccentricity    0.880
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             2.486E-18            1.364E-04
     0.0012             2.487E-18            1.364E-04
     0.0032             2.491E-18            1.366E-04
     0.0044             2.493E-18            1.368E-04
     0.0052             2.495E-18            1.368E-04
     0.0072             2.499E-18            1.371E-04
     0.0079             2.501E-18            1.372E-04
     0.0092             2.503E-18            1.373E-04
     0.0112             2.508E-18            1.376E-04
     0.0114             2.508E-18            1.376E-04
     0.0132             2.512E-18            1.378E-04
     0.0148             2.516E-18            1.380E-04
     0.0152             2.517E-18            1.381E-04
     0.0172             2.521E-18            1.383E-04
     0.0183             2.524E-18            1.384E-04
     0.0192             2.526E-18            1.386E-04
     0.0212             2.531E-18            1.388E-04
     0.0217             2.532E-18            1.389E-04
     0.0232             2.536E-18            1.391E-04
     0.0251             2.541E-18            1.394E-04
     0.0252             2.541E-18            1.394E-04
     0.0272             2.546E-18            1.396E-04
     0.0285             2.549E-18            1.398E-04
     0.0292             2.551E-18            1.399E-04
     0.0312             2.556E-18            1.402E-04
     0.0319             2.558E-18            1.403E-04
     0.0332             2.561E-18            1.405E-04
     0.0352             2.567E-18            1.408E-04
     0.0353             2.567E-18            1.408E-04
     0.0372             2.572E-18            1.411E-04
     0.0386             2.576E-18            1.413E-04
     0.0392             2.578E-18            1.414E-04
     0.0412             2.584E-18            1.417E-04
     0.0420             2.586E-18            1.418E-04
     0.0432             2.589E-18            1.420E-04
     0.0452             2.595E-18            1.424E-04
     0.0453             2.596E-18            1.424E-04
     0.0472             2.601E-18            1.427E-04
     0.0486             2.606E-18            1.429E-04
     0.0492             2.607E-18            1.430E-04
     0.0512             2.613E-18            1.434E-04
     0.0519             2.616E-18            1.435E-04
     0.0532             2.620E-18            1.437E-04
     0.0552             2.626E-18            1.441E-04
     0.0552             2.626E-18            1.441E-04
     0.0572             2.633E-18            1.444E-04
     0.0585             2.637E-18            1.446E-04
     0.0592             2.639E-18            1.448E-04
     0.0612             2.646E-18            1.451E-04
     0.0618             2.648E-18            1.452E-04
     0.0632             2.653E-18            1.455E-04
     0.0650             2.659E-18            1.459E-04
     0.0652             2.660E-18            1.459E-04
     0.0672             2.667E-18            1.463E-04
     0.0682             2.671E-18            1.465E-04
     0.0692             2.674E-18            1.467E-04
     0.0712             2.681E-18            1.471E-04
     0.0714             2.682E-18            1.471E-04
     0.0732             2.689E-18            1.475E-04
     0.0746             2.694E-18            1.478E-04
     0.0752             2.696E-18            1.479E-04
     0.0772             2.704E-18            1.483E-04
     0.0778             2.706E-18            1.485E-04
     0.0792             2.712E-18            1.487E-04
     0.0810             2.719E-18            1.491E-04
     0.0812             2.720E-18            1.492E-04
     0.0832             2.728E-18            1.496E-04
     0.0841             2.732E-18            1.498E-04
     0.0852             2.736E-18            1.501E-04
     0.0872             2.744E-18            1.505E-04
     0.0873             2.745E-18            1.506E-04
     0.0892             2.753E-18            1.510E-04
     0.0904             2.758E-18            1.513E-04
     0.0912             2.761E-18            1.515E-04
     0.0932             2.770E-18            1.519E-04
     0.0935             2.771E-18            1.520E-04
     0.0952             2.779E-18            1.524E-04
     0.0966             2.785E-18            1.528E-04
     0.0972             2.788E-18            1.529E-04
     0.0992             2.797E-18            1.534E-04
     0.0996             2.799E-18            1.536E-04
     0.1012             2.807E-18            1.540E-04
     0.1027             2.814E-18            1.543E-04
     0.1032             2.816E-18            1.545E-04
     0.1052             2.826E-18            1.550E-04
     0.1057             2.828E-18            1.552E-04
     0.1072             2.836E-18            1.556E-04
     0.1087             2.843E-18            1.560E-04
     0.1092             2.846E-18            1.561E-04
     0.1112             2.856E-18            1.567E-04
     0.1117             2.859E-18            1.568E-04
