                 System #       66
     Galactic longitude l     9.39
      Galactic latitude b     0.00
           distance (kpc)     6.49
    orbital period (days)    1.018
    arg. periastron (deg)  421.530
        inclination (deg)   90.817
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0011             0.000E+00            0.000E+00
     0.0011             0.000E+00            0.000E+00
     0.0031             0.000E+00            0.000E+00
     0.0031             0.000E+00            0.000E+00
     0.0051             0.000E+00            0.000E+00
     0.0051             0.000E+00            0.000E+00
     0.0071             0.000E+00            0.000E+00
     0.0071             0.000E+00            0.000E+00
     0.0091             0.000E+00            0.000E+00
     0.0091             0.000E+00            0.000E+00
     0.0111             0.000E+00            0.000E+00
     0.0111             0.000E+00            0.000E+00
     0.0131             0.000E+00            0.000E+00
     0.0131             0.000E+00            0.000E+00
     0.0151             0.000E+00            0.000E+00
     0.0151             0.000E+00            0.000E+00
     0.0171             0.000E+00            0.000E+00
     0.0171             0.000E+00            0.000E+00
     0.0191             0.000E+00            0.000E+00
     0.0191             0.000E+00            0.000E+00
     0.0211             0.000E+00            0.000E+00
     0.0211             0.000E+00            0.000E+00
     0.0231             0.000E+00            0.000E+00
     0.0231             0.000E+00            0.000E+00
     0.0251             0.000E+00            0.000E+00
     0.0251             0.000E+00            0.000E+00
     0.0271             0.000E+00            0.000E+00
     0.0271             0.000E+00            0.000E+00
     0.0291             0.000E+00            0.000E+00
     0.0291             0.000E+00            0.000E+00
     0.0311             0.000E+00            0.000E+00
     0.0311             0.000E+00            0.000E+00
     0.0331             0.000E+00            0.000E+00
     0.0331             0.000E+00            0.000E+00
     0.0351             0.000E+00            0.000E+00
     0.0351             0.000E+00            0.000E+00
     0.0371             0.000E+00            0.000E+00
     0.0371             0.000E+00            0.000E+00
     0.0391             0.000E+00            0.000E+00
     0.0391             0.000E+00            0.000E+00
     0.0411             0.000E+00            0.000E+00
     0.0411             0.000E+00            0.000E+00
     0.0431             0.000E+00            0.000E+00
     0.0431             0.000E+00            0.000E+00
     0.0451             0.000E+00            0.000E+00
     0.0451             0.000E+00            0.000E+00
     0.0471             0.000E+00            0.000E+00
     0.0471             0.000E+00            0.000E+00
     0.0491             0.000E+00            0.000E+00
     0.0491             0.000E+00            0.000E+00
     0.0511             0.000E+00            0.000E+00
     0.0511             0.000E+00            0.000E+00
     0.0531             0.000E+00            0.000E+00
     0.0531             0.000E+00            0.000E+00
     0.0551             0.000E+00            0.000E+00
     0.0551             0.000E+00            0.000E+00
     0.0571             0.000E+00            0.000E+00
     0.0571             0.000E+00            0.000E+00
     0.0591             0.000E+00            0.000E+00
     0.0591             0.000E+00            0.000E+00
     0.0611             0.000E+00            0.000E+00
     0.0611             0.000E+00            0.000E+00
     0.0631             0.000E+00            0.000E+00
     0.0631             0.000E+00            0.000E+00
     0.0651             0.000E+00            0.000E+00
     0.0651             0.000E+00            0.000E+00
     0.0671             0.000E+00            0.000E+00
     0.0671             0.000E+00            0.000E+00
     0.0691             0.000E+00            0.000E+00
     0.0691             0.000E+00            0.000E+00
     0.0711             0.000E+00            0.000E+00
     0.0711             0.000E+00            0.000E+00
     0.0731             0.000E+00            0.000E+00
     0.0731             0.000E+00            0.000E+00
     0.0751             0.000E+00            0.000E+00
     0.0751             0.000E+00            0.000E+00
     0.0771             0.000E+00            0.000E+00
     0.0771             0.000E+00            0.000E+00
     0.0791             0.000E+00            0.000E+00
