                 System #       68
     Galactic longitude l   -13.52
      Galactic latitude b     0.00
           distance (kpc)     8.30
    orbital period (days) 7936.742
    arg. periastron (deg)  441.886
        inclination (deg)   96.477
             eccentricity    0.758
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0010             6.770E-20            3.714E-06
     0.0026             6.612E-20            3.627E-06
     0.0030             6.567E-20            3.602E-06
     0.0050             6.367E-20            3.493E-06
     0.0061             6.263E-20            3.435E-06
     0.0070             6.172E-20            3.385E-06
     0.0090             5.982E-20            3.281E-06
     0.0096             5.927E-20            3.251E-06
     0.0110             5.794E-20            3.178E-06
     0.0130             5.613E-20            3.079E-06
     0.0131             5.604E-20            3.074E-06
     0.0150             5.434E-20            2.981E-06
     0.0166             5.295E-20            2.905E-06
     0.0170             5.262E-20            2.886E-06
     0.0190             5.093E-20            2.794E-06
     0.0202             5.000E-20            2.743E-06
     0.0210             4.928E-20            2.703E-06
     0.0230             4.768E-20            2.615E-06
     0.0237             4.717E-20            2.588E-06
     0.0250             4.611E-20            2.529E-06
     0.0270             4.459E-20            2.446E-06
     0.0272             4.447E-20            2.440E-06
     0.0290             4.310E-20            2.364E-06
     0.0307             4.191E-20            2.299E-06
     0.0310             4.167E-20            2.286E-06
     0.0330             4.027E-20            2.209E-06
     0.0342             3.947E-20            2.165E-06
     0.0350             3.892E-20            2.135E-06
     0.0370             3.761E-20            2.063E-06
     0.0377             3.717E-20            2.039E-06
     0.0390             3.633E-20            1.993E-06
     0.0410             3.509E-20            1.925E-06
     0.0412             3.498E-20            1.919E-06
     0.0430             3.390E-20            1.860E-06
     0.0447             3.292E-20            1.806E-06
     0.0450             3.274E-20            1.796E-06
     0.0470             3.163E-20            1.735E-06
     0.0482             3.098E-20            1.699E-06
     0.0490             3.055E-20            1.676E-06
     0.0510             2.951E-20            1.619E-06
     0.0517             2.916E-20            1.599E-06
     0.0530             2.851E-20            1.564E-06
     0.0550             2.754E-20            1.511E-06
     0.0552             2.745E-20            1.506E-06
     0.0570             2.662E-20            1.460E-06
     0.0587             2.585E-20            1.418E-06
     0.0590             2.572E-20            1.411E-06
     0.0610             2.486E-20            1.364E-06
     0.0622             2.437E-20            1.337E-06
     0.0630             2.404E-20            1.319E-06
     0.0650             2.326E-20            1.276E-06
     0.0657             2.300E-20            1.262E-06
     0.0670             2.251E-20            1.235E-06
     0.0690             2.179E-20            1.195E-06
     0.0692             2.173E-20            1.192E-06
     0.0710             2.110E-20            1.158E-06
     0.0727             2.056E-20            1.128E-06
     0.0730             2.045E-20            1.122E-06
     0.0750             1.984E-20            1.088E-06
     0.0762             1.950E-20            1.070E-06
     0.0770             1.925E-20            1.056E-06
     0.0790             1.870E-20            1.026E-06
     0.0796             1.854E-20            1.017E-06
     0.0810             1.818E-20            9.971E-07
     0.0830             1.769E-20            9.704E-07
     0.0831             1.767E-20            9.694E-07
     0.0850             1.723E-20            9.450E-07
     0.0866             1.689E-20            9.266E-07
     0.0870             1.680E-20            9.214E-07
     0.0890             1.640E-20            8.995E-07
     0.0900             1.621E-20            8.892E-07
     0.0910             1.603E-20            8.791E-07
     0.0930             1.568E-20            8.602E-07
     0.0935             1.561E-20            8.562E-07
     0.0950             1.537E-20            8.431E-07
     0.0969             1.510E-20            8.282E-07
     0.0970             1.509E-20            8.275E-07
     0.0990             1.483E-20            8.135E-07
     0.1004             1.467E-20            8.049E-07
     0.1010             1.460E-20            8.010E-07
     0.1030             1.440E-20            7.901E-07
     0.1038             1.433E-20            7.862E-07
     0.1050             1.423E-20            7.806E-07
     0.1070             1.409E-20            7.727E-07
     0.1073             1.407E-20            7.719E-07
     0.1090             1.397E-20            7.662E-07
     0.1107             1.389E-20            7.621E-07
     0.1110             1.388E-20            7.613E-07
     0.1130             1.382E-20            7.580E-07
     0.1141             1.380E-20            7.568E-07
     0.1150             1.379E-20            7.562E-07
     0.1170             1.378E-20            7.559E-07
     0.1175             1.378E-20            7.561E-07
     0.1190             1.380E-20            7.572E-07
     0.1209             1.385E-20            7.599E-07
     0.1210             1.386E-20            7.601E-07
     0.1230             1.394E-20            7.645E-07
     0.1243             1.400E-20            7.682E-07
     0.1250             1.405E-20            7.706E-07
     0.1270             1.419E-20            7.784E-07
     0.1277             1.424E-20            7.814E-07
     0.1290             1.436E-20            7.879E-07
     0.1310             1.457E-20            7.991E-07
     0.1311             1.457E-20            7.994E-07
     0.1330             1.480E-20            8.119E-07
     0.1345             1.499E-20            8.222E-07
     0.1350             1.507E-20            8.266E-07
     0.1370             1.537E-20            8.432E-07
     0.1378             1.550E-20            8.503E-07
     0.1390             1.571E-20            8.617E-07
     0.1410             1.608E-20            8.821E-07
     0.1412             1.611E-20            8.837E-07
     0.1430             1.649E-20            9.047E-07
     0.1445             1.683E-20            9.230E-07
     0.1450             1.694E-20            9.293E-07
     0.1470             1.743E-20            9.560E-07
     0.1479             1.764E-20            9.679E-07
     0.1490             1.795E-20            9.849E-07
     0.1510             1.853E-20            1.016E-06
     0.1512             1.858E-20            1.019E-06
     0.1530             1.914E-20            1.050E-06
     0.1545             1.963E-20            1.077E-06
     0.1550             1.980E-20            1.086E-06
     0.1570             2.050E-20            1.124E-06
     0.1578             2.080E-20            1.141E-06
     0.1590             2.125E-20            1.166E-06
     0.1610             2.205E-20            1.210E-06
     0.1611             2.210E-20            1.212E-06
     0.1630             2.290E-20            1.256E-06
     0.1644             2.354E-20            1.291E-06
     0.1650             2.381E-20            1.306E-06
     0.1670             2.477E-20            1.359E-06
     0.1677             2.512E-20            1.378E-06
     0.1690             2.579E-20            1.415E-06
     0.1710             2.685E-20            1.473E-06
     0.1710             2.686E-20            1.474E-06
     0.1730             2.801E-20            1.536E-06
     0.1743             2.874E-20            1.576E-06
     0.1750             2.920E-20            1.602E-06
     0.1770             3.046E-20            1.671E-06
     0.1775             3.078E-20            1.689E-06
     0.1790             3.180E-20            1.744E-06
     0.1808             3.301E-20            1.811E-06
     0.1810             3.320E-20            1.821E-06
     0.1830             3.467E-20            1.902E-06
     0.1840             3.540E-20            1.942E-06
     0.1850             3.621E-20            1.986E-06
     0.1870             3.783E-20            2.075E-06
     0.1872             3.798E-20            2.083E-06
     0.1890             3.952E-20            2.168E-06
     0.1904             4.075E-20            2.236E-06
     0.1910             4.131E-20            2.266E-06
     0.1930             4.316E-20            2.367E-06
     0.1936             4.371E-20            2.398E-06
     0.1950             4.510E-20            2.474E-06
     0.1968             4.689E-20            2.572E-06
     0.1970             4.712E-20            2.585E-06
     0.1990             4.924E-20            2.701E-06
     0.2000             5.027E-20            2.758E-06
     0.2010             5.145E-20            2.822E-06
     0.2030             5.376E-20            2.949E-06
     0.2031             5.388E-20            2.956E-06
     0.2050             5.616E-20            3.081E-06
     0.2063             5.771E-20            3.166E-06
     0.2070             5.865E-20            3.217E-06
     0.2090             6.125E-20            3.360E-06
     0.2094             6.177E-20            3.388E-06
     0.2110             6.395E-20            3.508E-06
     0.2125             6.607E-20            3.624E-06
     0.2130             6.676E-20            3.662E-06
     0.2150             6.967E-20            3.822E-06
     0.2157             7.061E-20            3.873E-06
     0.2170             7.271E-20            3.988E-06
     0.2188             7.540E-20            4.136E-06
     0.2190             7.584E-20            4.160E-06
     0.2210             7.911E-20            4.340E-06
     0.2218             8.047E-20            4.414E-06
     0.2230             8.249E-20            4.525E-06
     0.2249             8.579E-20            4.706E-06
     0.2250             8.600E-20            4.718E-06
     0.2270             8.963E-20            4.917E-06
     0.2280             9.137E-20            5.012E-06
     0.2290             9.339E-20            5.123E-06
     0.2310             9.724E-20            5.334E-06
     0.2310             9.728E-20            5.336E-06
     0.2330             1.013E-19            5.557E-06
     0.2340             1.034E-19            5.671E-06
     0.2350             1.055E-19            5.785E-06
     0.2370             1.098E-19            6.021E-06
     0.2371             1.098E-19            6.024E-06
     0.2390             1.142E-19            6.265E-06
     0.2401             1.166E-19            6.394E-06
     0.2410             1.188E-19            6.518E-06
     0.2430             1.236E-19            6.777E-06
     0.2430             1.236E-19            6.779E-06
     0.2450             1.285E-19            7.047E-06
     0.2460             1.310E-19            7.183E-06
     0.2470             1.335E-19            7.325E-06
     0.2490             1.386E-19            7.604E-06
     0.2490             1.388E-19            7.612E-06
     0.2510             1.442E-19            7.908E-06
     0.2519             1.466E-19            8.043E-06
     0.2530             1.497E-19            8.213E-06
     0.2548             1.549E-19            8.498E-06
     0.2550             1.554E-19            8.527E-06
     0.2570             1.614E-19            8.853E-06
     0.2578             1.636E-19            8.974E-06
     0.2590             1.675E-19            9.188E-06
     0.2607             1.726E-19            9.467E-06
     0.2610             1.738E-19            9.532E-06
     0.2630             1.803E-19            9.889E-06
     0.2635             1.820E-19            9.981E-06
     0.2650             1.869E-19            1.025E-05
     0.2664             1.917E-19            1.051E-05
     0.2670             1.938E-19            1.063E-05
     0.2690             2.009E-19            1.102E-05
     0.2693             2.018E-19            1.107E-05
     0.2710             2.082E-19            1.142E-05
     0.2721             2.122E-19            1.164E-05
     0.2730             2.157E-19            1.183E-05
     0.2749             2.231E-19            1.224E-05
     0.2750             2.235E-19            1.226E-05
     0.2770             2.315E-19            1.270E-05
     0.2777             2.343E-19            1.285E-05
     0.2790             2.397E-19            1.315E-05
     0.2805             2.459E-19            1.349E-05
