                 System #       69
     Galactic longitude l    47.01
      Galactic latitude b     0.00
           distance (kpc)     4.11
    orbital period (days)  238.696
    arg. periastron (deg)  395.187
        inclination (deg)   25.155
             eccentricity    0.837
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0004             3.541E-15            1.942E-01
     0.0016             3.541E-15            1.942E-01
     0.0036             3.541E-15            1.942E-01
     0.0041             3.541E-15            1.942E-01
     0.0056             3.540E-15            1.942E-01
     0.0076             3.540E-15            1.942E-01
     0.0078             3.540E-15            1.942E-01
     0.0096             3.540E-15            1.942E-01
     0.0114             3.540E-15            1.942E-01
     0.0116             3.540E-15            1.942E-01
     0.0136             3.540E-15            1.942E-01
     0.0151             3.541E-15            1.942E-01
     0.0156             3.541E-15            1.942E-01
     0.0176             3.541E-15            1.942E-01
     0.0187             3.541E-15            1.942E-01
     0.0196             3.541E-15            1.943E-01
     0.0216             3.542E-15            1.943E-01
     0.0224             3.542E-15            1.943E-01
     0.0236             3.542E-15            1.943E-01
     0.0256             3.543E-15            1.943E-01
     0.0260             3.543E-15            1.943E-01
     0.0276             3.543E-15            1.944E-01
     0.0296             3.544E-15            1.944E-01
     0.0296             3.544E-15            1.944E-01
     0.0316             3.545E-15            1.945E-01
     0.0333             3.546E-15            1.945E-01
     0.0336             3.546E-15            1.945E-01
     0.0356             3.547E-15            1.945E-01
     0.0369             3.547E-15            1.946E-01
     0.0376             3.548E-15            1.946E-01
     0.0396             3.549E-15            1.947E-01
     0.0405             3.549E-15            1.947E-01
     0.0416             3.550E-15            1.947E-01
     0.0436             3.551E-15            1.948E-01
     0.0441             3.551E-15            1.948E-01
     0.0456             3.552E-15            1.949E-01
     0.0476             3.554E-15            1.949E-01
     0.0477             3.554E-15            1.949E-01
     0.0496             3.555E-15            1.950E-01
     0.0513             3.557E-15            1.951E-01
     0.0516             3.557E-15            1.951E-01
     0.0536             3.558E-15            1.952E-01
     0.0549             3.560E-15            1.953E-01
     0.0556             3.560E-15            1.953E-01
     0.0576             3.562E-15            1.954E-01
     0.0585             3.563E-15            1.954E-01
     0.0596             3.564E-15            1.955E-01
     0.0616             3.566E-15            1.956E-01
     0.0621             3.566E-15            1.956E-01
     0.0636             3.568E-15            1.957E-01
     0.0656             3.570E-15            1.958E-01
     0.0657             3.570E-15            1.958E-01
     0.0676             3.572E-15            1.959E-01
     0.0692             3.574E-15            1.960E-01
     0.0696             3.574E-15            1.961E-01
     0.0716             3.577E-15            1.962E-01
     0.0728             3.578E-15            1.963E-01
     0.0736             3.579E-15            1.963E-01
     0.0756             3.581E-15            1.965E-01
     0.0763             3.582E-15            1.965E-01
     0.0776             3.584E-15            1.966E-01
     0.0796             3.587E-15            1.967E-01
     0.0799             3.587E-15            1.968E-01
     0.0816             3.589E-15            1.969E-01
     0.0834             3.592E-15            1.970E-01
     0.0836             3.592E-15            1.971E-01
     0.0856             3.595E-15            1.972E-01
     0.0869             3.597E-15            1.973E-01
     0.0876             3.598E-15            1.974E-01
     0.0896             3.601E-15            1.976E-01
     0.0905             3.603E-15            1.976E-01
     0.0916             3.605E-15            1.977E-01
     0.0936             3.608E-15            1.979E-01
     0.0940             3.608E-15            1.979E-01
     0.0956             3.611E-15            1.981E-01
     0.0975             3.614E-15            1.983E-01
     0.0976             3.615E-15            1.983E-01
     0.0996             3.618E-15            1.985E-01
     0.1010             3.621E-15            1.986E-01
     0.1016             3.622E-15            1.987E-01
     0.1036             3.626E-15            1.989E-01
     0.1044             3.627E-15            1.990E-01
     0.1056             3.630E-15            1.991E-01
     0.1076             3.634E-15            1.993E-01
     0.1079             3.634E-15            1.993E-01
     0.1096             3.638E-15            1.995E-01
     0.1114             3.641E-15            1.997E-01
     0.1116             3.642E-15            1.998E-01
     0.1136             3.646E-15            2.000E-01
     0.1148             3.649E-15            2.001E-01
     0.1156             3.650E-15            2.002E-01
     0.1176             3.655E-15            2.005E-01
     0.1183             3.656E-15            2.006E-01
     0.1196             3.659E-15            2.007E-01
     0.1216             3.664E-15            2.010E-01
     0.1217             3.664E-15            2.010E-01
     0.1236             3.669E-15            2.012E-01
     0.1251             3.672E-15            2.014E-01
     0.1256             3.673E-15            2.015E-01
     0.1276             3.678E-15            2.018E-01
     0.1285             3.681E-15            2.019E-01
     0.1296             3.683E-15            2.021E-01
     0.1316             3.689E-15            2.023E-01
     0.1319             3.689E-15            2.024E-01
     0.1336             3.694E-15            2.026E-01
     0.1353             3.698E-15            2.029E-01
     0.1356             3.699E-15            2.029E-01
     0.1376             3.705E-15            2.032E-01
     0.1387             3.708E-15            2.034E-01
     0.1396             3.710E-15            2.035E-01
     0.1416             3.716E-15            2.038E-01
     0.1420             3.717E-15            2.039E-01
     0.1436             3.722E-15            2.042E-01
     0.1454             3.727E-15            2.045E-01
     0.1456             3.728E-15            2.045E-01
     0.1476             3.734E-15            2.048E-01
     0.1487             3.737E-15            2.050E-01
     0.1496             3.740E-15            2.052E-01
     0.1516             3.747E-15            2.055E-01
     0.1520             3.748E-15            2.056E-01
     0.1536             3.753E-15            2.059E-01
     0.1553             3.759E-15            2.062E-01
     0.1556             3.760E-15            2.062E-01
     0.1576             3.766E-15            2.066E-01
     0.1586             3.770E-15            2.068E-01
     0.1596             3.773E-15            2.070E-01
     0.1616             3.780E-15            2.074E-01
     0.1619             3.781E-15            2.074E-01
     0.1636             3.787E-15            2.078E-01
     0.1652             3.793E-15            2.081E-01
     0.1656             3.795E-15            2.081E-01
     0.1676             3.802E-15            2.086E-01
     0.1684             3.805E-15            2.087E-01
     0.1696             3.809E-15            2.090E-01
     0.1716             3.817E-15            2.094E-01
     0.1717             3.817E-15            2.094E-01
     0.1736             3.825E-15            2.098E-01
     0.1749             3.830E-15            2.101E-01
     0.1756             3.833E-15            2.102E-01
     0.1776             3.841E-15            2.107E-01
     0.1781             3.843E-15            2.108E-01
     0.1796             3.849E-15            2.111E-01
     0.1813             3.856E-15            2.115E-01
     0.1816             3.858E-15            2.116E-01
     0.1836             3.866E-15            2.121E-01
     0.1845             3.870E-15            2.123E-01
     0.1856             3.875E-15            2.126E-01
     0.1876             3.884E-15            2.130E-01
     0.1877             3.884E-15            2.130E-01
     0.1896             3.893E-15            2.135E-01
     0.1908             3.898E-15            2.138E-01
     0.1916             3.902E-15            2.140E-01
     0.1936             3.911E-15            2.145E-01
     0.1940             3.913E-15            2.146E-01
     0.1956             3.921E-15            2.151E-01
     0.1971             3.928E-15            2.155E-01
     0.1976             3.930E-15            2.156E-01
     0.1996             3.940E-15            2.161E-01
     0.2002             3.943E-15            2.163E-01
     0.2016             3.950E-15            2.167E-01
     0.2033             3.959E-15            2.172E-01
     0.2036             3.961E-15            2.173E-01
     0.2056             3.971E-15            2.178E-01
     0.2063             3.975E-15            2.180E-01
     0.2076             3.982E-15            2.184E-01
     0.2094             3.991E-15            2.190E-01
     0.2096             3.993E-15            2.190E-01
     0.2116             4.004E-15            2.196E-01
     0.2124             4.008E-15            2.199E-01
     0.2136             4.015E-15            2.202E-01
     0.2155             4.026E-15            2.208E-01
     0.2156             4.026E-15            2.209E-01
     0.2176             4.038E-15            2.215E-01
     0.2185             4.043E-15            2.218E-01
