                 System #        7
     Galactic longitude l   -17.52
      Galactic latitude b     0.00
           distance (kpc)    11.73
    orbital period (days)  861.881
    arg. periastron (deg)  525.518
        inclination (deg)    9.425
             eccentricity    0.968
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0003             8.519E-18            4.673E-04
     0.0023             8.543E-18            4.686E-04
     0.0023             8.543E-18            4.686E-04
     0.0043             8.568E-18            4.700E-04
     0.0057             8.586E-18            4.710E-04
     0.0063             8.593E-18            4.714E-04
     0.0083             8.619E-18            4.728E-04
     0.0091             8.629E-18            4.733E-04
     0.0103             8.645E-18            4.742E-04
     0.0123             8.671E-18            4.757E-04
     0.0124             8.673E-18            4.758E-04
     0.0143             8.698E-18            4.771E-04
     0.0158             8.718E-18            4.782E-04
     0.0163             8.725E-18            4.786E-04
     0.0183             8.753E-18            4.801E-04
     0.0191             8.764E-18            4.808E-04
     0.0203             8.781E-18            4.817E-04
     0.0223             8.810E-18            4.832E-04
     0.0224             8.812E-18            4.834E-04
     0.0243             8.839E-18            4.848E-04
     0.0257             8.860E-18            4.860E-04
     0.0263             8.868E-18            4.865E-04
     0.0283             8.898E-18            4.881E-04
     0.0290             8.909E-18            4.887E-04
     0.0303             8.929E-18            4.898E-04
     0.0323             8.959E-18            4.915E-04
     0.0323             8.960E-18            4.915E-04
     0.0343             8.991E-18            4.932E-04
     0.0355             9.011E-18            4.943E-04
     0.0363             9.024E-18            4.950E-04
     0.0383             9.056E-18            4.968E-04
     0.0387             9.064E-18            4.972E-04
     0.0403             9.090E-18            4.986E-04
     0.0419             9.117E-18            5.001E-04
     0.0423             9.123E-18            5.005E-04
     0.0443             9.158E-18            5.023E-04
     0.0451             9.172E-18            5.031E-04
     0.0463             9.193E-18            5.043E-04
     0.0483             9.228E-18            5.062E-04
     0.0483             9.228E-18            5.062E-04
     0.0503             9.265E-18            5.082E-04
     0.0514             9.286E-18            5.094E-04
     0.0523             9.301E-18            5.102E-04
     0.0543             9.339E-18            5.123E-04
     0.0546             9.344E-18            5.126E-04
     0.0563             9.377E-18            5.144E-04
     0.0577             9.404E-18            5.158E-04
     0.0583             9.416E-18            5.165E-04
     0.0603             9.456E-18            5.187E-04
