                 System #       70
     Galactic longitude l    -8.05
      Galactic latitude b     0.00
           distance (kpc)    18.71
    orbital period (days)   23.622
    arg. periastron (deg)  446.507
        inclination (deg)  102.565
             eccentricity    0.688
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             1.524E-17            8.363E-04
     0.0004             1.521E-17            8.344E-04
     0.0021             1.500E-17            8.226E-04
     0.0033             1.485E-17            8.144E-04
     0.0041             1.475E-17            8.092E-04
     0.0061             1.451E-17            7.960E-04
     0.0063             1.449E-17            7.948E-04
     0.0081             1.427E-17            7.829E-04
     0.0092             1.414E-17            7.754E-04
     0.0101             1.404E-17            7.700E-04
     0.0121             1.381E-17            7.573E-04
     0.0122             1.379E-17            7.565E-04
     0.0141             1.358E-17            7.449E-04
     0.0152             1.345E-17            7.379E-04
     0.0161             1.336E-17            7.326E-04
     0.0181             1.313E-17            7.204E-04
     0.0182             1.312E-17            7.196E-04
     0.0201             1.292E-17            7.085E-04
     0.0212             1.279E-17            7.016E-04
     0.0221             1.270E-17            6.967E-04
     0.0241             1.249E-17            6.850E-04
     0.0243             1.247E-17            6.839E-04
     0.0261             1.228E-17            6.736E-04
     0.0273             1.215E-17            6.666E-04
     0.0281             1.207E-17            6.624E-04
     0.0301             1.187E-17            6.512E-04
     0.0304             1.184E-17            6.496E-04
     0.0321             1.167E-17            6.402E-04
     0.0334             1.154E-17            6.328E-04
     0.0341             1.147E-17            6.294E-04
     0.0361             1.128E-17            6.188E-04
     0.0365             1.124E-17            6.165E-04
     0.0381             1.109E-17            6.083E-04
     0.0396             1.095E-17            6.004E-04
     0.0401             1.090E-17            5.980E-04
     0.0421             1.071E-17            5.877E-04
     0.0427             1.066E-17            5.846E-04
     0.0441             1.053E-17            5.777E-04
     0.0458             1.038E-17            5.691E-04
     0.0461             1.035E-17            5.678E-04
     0.0481             1.017E-17            5.580E-04
     0.0489             1.010E-17            5.539E-04
     0.0501             9.998E-18            5.484E-04
     0.0521             9.828E-18            5.391E-04
     0.0521             9.826E-18            5.390E-04
     0.0541             9.656E-18            5.297E-04
     0.0552             9.562E-18            5.245E-04
     0.0561             9.489E-18            5.205E-04
     0.0581             9.324E-18            5.115E-04
     0.0583             9.303E-18            5.103E-04
     0.0601             9.162E-18            5.026E-04
     0.0615             9.049E-18            4.964E-04
     0.0621             9.002E-18            4.938E-04
     0.0641             8.844E-18            4.852E-04
     0.0647             8.799E-18            4.827E-04
     0.0661             8.690E-18            4.767E-04
     0.0678             8.556E-18            4.693E-04
     0.0681             8.537E-18            4.683E-04
     0.0701             8.387E-18            4.600E-04
     0.0710             8.316E-18            4.562E-04
     0.0721             8.238E-18            4.519E-04
     0.0741             8.094E-18            4.440E-04
     0.0742             8.084E-18            4.434E-04
     0.0761             7.950E-18            4.361E-04
     0.0774             7.855E-18            4.309E-04
     0.0781             7.809E-18            4.284E-04
     0.0801             7.670E-18            4.207E-04
     0.0806             7.632E-18            4.187E-04
     0.0821             7.533E-18            4.132E-04
     0.0838             7.415E-18            4.068E-04
     0.0841             7.400E-18            4.059E-04
     0.0861             7.267E-18            3.986E-04
     0.0871             7.202E-18            3.951E-04
     0.0881             7.137E-18            3.915E-04
     0.0901             7.009E-18            3.845E-04
     0.0903             6.995E-18            3.837E-04
     0.0921             6.884E-18            3.776E-04
     0.0935             6.792E-18            3.726E-04
