                 System #       71
     Galactic longitude l     1.46
      Galactic latitude b     0.00
           distance (kpc)    11.11
    orbital period (days)   26.871
    arg. periastron (deg)  483.291
        inclination (deg)   46.907
             eccentricity    0.789
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0016             2.169E-17            1.190E-03
     0.0025             2.171E-17            1.191E-03
     0.0036             2.173E-17            1.192E-03
     0.0056             2.178E-17            1.195E-03
     0.0060             2.179E-17            1.195E-03
     0.0076             2.183E-17            1.197E-03
     0.0095             2.187E-17            1.200E-03
     0.0096             2.188E-17            1.200E-03
     0.0116             2.192E-17            1.203E-03
     0.0130             2.196E-17            1.204E-03
     0.0136             2.197E-17            1.205E-03
     0.0156             2.202E-17            1.208E-03
     0.0166             2.204E-17            1.209E-03
     0.0176             2.207E-17            1.211E-03
     0.0196             2.212E-17            1.213E-03
     0.0201             2.213E-17            1.214E-03
     0.0216             2.217E-17            1.216E-03
     0.0235             2.222E-17            1.219E-03
     0.0236             2.222E-17            1.219E-03
     0.0256             2.228E-17            1.222E-03
     0.0270             2.231E-17            1.224E-03
     0.0276             2.233E-17            1.225E-03
     0.0296             2.238E-17            1.228E-03
     0.0305             2.241E-17            1.229E-03
     0.0316             2.244E-17            1.231E-03
     0.0336             2.249E-17            1.234E-03
     0.0340             2.250E-17            1.234E-03
     0.0356             2.255E-17            1.237E-03
     0.0374             2.260E-17            1.240E-03
     0.0376             2.260E-17            1.240E-03
     0.0396             2.266E-17            1.243E-03
     0.0409             2.269E-17            1.245E-03
     0.0416             2.272E-17            1.246E-03
     0.0436             2.277E-17            1.249E-03
     0.0443             2.279E-17            1.250E-03
     0.0456             2.283E-17            1.252E-03
     0.0476             2.289E-17            1.256E-03
     0.0478             2.289E-17            1.256E-03
     0.0496             2.295E-17            1.259E-03
     0.0512             2.300E-17            1.262E-03
     0.0516             2.301E-17            1.262E-03
     0.0536             2.307E-17            1.266E-03
     0.0546             2.310E-17            1.267E-03
     0.0556             2.313E-17            1.269E-03
     0.0576             2.320E-17            1.272E-03
     0.0581             2.321E-17            1.273E-03
     0.0596             2.326E-17            1.276E-03
     0.0615             2.332E-17            1.279E-03
     0.0616             2.332E-17            1.279E-03
     0.0636             2.339E-17            1.283E-03
     0.0649             2.343E-17            1.285E-03
     0.0656             2.346E-17            1.287E-03
     0.0676             2.352E-17            1.290E-03
     0.0682             2.354E-17            1.291E-03
     0.0696             2.359E-17            1.294E-03
     0.0716             2.366E-17            1.298E-03
     0.0716             2.366E-17            1.298E-03
     0.0736             2.372E-17            1.301E-03
     0.0750             2.377E-17            1.304E-03
     0.0756             2.379E-17            1.305E-03
     0.0776             2.386E-17            1.309E-03
     0.0783             2.389E-17            1.310E-03
     0.0796             2.394E-17            1.313E-03
     0.0816             2.401E-17            1.317E-03
     0.0817             2.401E-17            1.317E-03
     0.0836             2.408E-17            1.321E-03
     0.0850             2.413E-17            1.324E-03
     0.0856             2.415E-17            1.325E-03
     0.0876             2.423E-17            1.329E-03
     0.0884             2.426E-17            1.331E-03
     0.0896             2.430E-17            1.333E-03
     0.0916             2.438E-17            1.337E-03
     0.0917             2.438E-17            1.337E-03
     0.0936             2.446E-17            1.342E-03
     0.0950             2.451E-17            1.344E-03
     0.0956             2.454E-17            1.346E-03
     0.0976             2.461E-17            1.350E-03
     0.0983             2.464E-17            1.352E-03
     0.0996             2.469E-17            1.355E-03
     0.1016             2.477E-17            1.359E-03
     0.1016             2.478E-17            1.359E-03
     0.1036             2.486E-17            1.364E-03
     0.1048             2.491E-17            1.366E-03
     0.1056             2.494E-17            1.368E-03
     0.1076             2.502E-17            1.373E-03
     0.1081             2.504E-17            1.374E-03
     0.1096             2.511E-17            1.377E-03
     0.1113             2.518E-17            1.381E-03
     0.1116             2.519E-17            1.382E-03
     0.1136             2.528E-17            1.387E-03
     0.1146             2.532E-17            1.389E-03
     0.1156             2.537E-17            1.392E-03
     0.1176             2.546E-17            1.396E-03
     0.1178             2.546E-17            1.397E-03
     0.1196             2.555E-17            1.401E-03
     0.1210             2.561E-17            1.405E-03
     0.1216             2.564E-17            1.406E-03
     0.1236             2.573E-17            1.411E-03
     0.1242             2.575E-17            1.413E-03
     0.1256             2.582E-17            1.416E-03
     0.1274             2.590E-17            1.421E-03
     0.1276             2.592E-17            1.422E-03
     0.1296             2.601E-17            1.427E-03
     0.1305             2.605E-17            1.429E-03
     0.1316             2.611E-17            1.432E-03
     0.1336             2.621E-17            1.437E-03
     0.1337             2.621E-17            1.438E-03
     0.1356             2.630E-17            1.443E-03
     0.1368             2.636E-17            1.446E-03
     0.1376             2.640E-17            1.448E-03
     0.1396             2.650E-17            1.454E-03
     0.1400             2.652E-17            1.455E-03
     0.1416             2.661E-17            1.459E-03
     0.1431             2.668E-17            1.464E-03
     0.1436             2.671E-17            1.465E-03
     0.1456             2.681E-17            1.471E-03
     0.1462             2.684E-17            1.473E-03
     0.1476             2.692E-17            1.477E-03
     0.1493             2.701E-17            1.482E-03
     0.1496             2.703E-17            1.483E-03
     0.1516             2.714E-17            1.489E-03
     0.1524             2.718E-17            1.491E-03
     0.1536             2.725E-17            1.495E-03
     0.1554             2.735E-17            1.500E-03
     0.1556             2.736E-17            1.501E-03
     0.1576             2.747E-17            1.507E-03
     0.1585             2.752E-17            1.510E-03
     0.1596             2.759E-17            1.513E-03
     0.1615             2.769E-17            1.519E-03
     0.1616             2.770E-17            1.520E-03
     0.1636             2.782E-17            1.526E-03
     0.1645             2.787E-17            1.529E-03
     0.1656             2.794E-17            1.533E-03
     0.1675             2.805E-17            1.539E-03
     0.1676             2.806E-17            1.539E-03
     0.1696             2.818E-17            1.546E-03
     0.1705             2.823E-17            1.549E-03
     0.1716             2.830E-17            1.553E-03
     0.1734             2.842E-17            1.559E-03
     0.1736             2.843E-17            1.559E-03
     0.1756             2.855E-17            1.566E-03
