                 System #       72
     Galactic longitude l   -18.50
      Galactic latitude b     0.00
           distance (kpc)     3.66
    orbital period (days)    1.072
    arg. periastron (deg)  385.742
        inclination (deg)   12.863
             eccentricity    0.000
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             1.264E-17            6.931E-04
     0.0009             1.264E-17            6.932E-04
     0.0029             1.285E-17            7.050E-04
     0.0029             1.285E-17            7.051E-04
     0.0049             1.307E-17            7.172E-04
     0.0049             1.308E-17            7.173E-04
     0.0069             1.330E-17            7.296E-04
     0.0069             1.330E-17            7.297E-04
     0.0089             1.353E-17            7.423E-04
     0.0089             1.353E-17            7.423E-04
     0.0109             1.377E-17            7.551E-04
     0.0109             1.377E-17            7.552E-04
     0.0129             1.401E-17            7.683E-04
     0.0129             1.401E-17            7.684E-04
     0.0149             1.425E-17            7.817E-04
     0.0149             1.425E-17            7.818E-04
     0.0169             1.450E-17            7.953E-04
     0.0169             1.450E-17            7.954E-04
     0.0189             1.475E-17            8.092E-04
     0.0189             1.475E-17            8.093E-04
     0.0209             1.501E-17            8.233E-04
     0.0209             1.501E-17            8.234E-04
     0.0229             1.527E-17            8.377E-04
     0.0229             1.527E-17            8.378E-04
     0.0249             1.554E-17            8.524E-04
     0.0249             1.554E-17            8.525E-04
     0.0269             1.581E-17            8.673E-04
     0.0269             1.581E-17            8.674E-04
     0.0289             1.609E-17            8.825E-04
     0.0289             1.609E-17            8.826E-04
     0.0309             1.637E-17            8.980E-04
     0.0309             1.637E-17            8.981E-04
     0.0329             1.666E-17            9.137E-04
     0.0329             1.666E-17            9.138E-04
     0.0349             1.695E-17            9.297E-04
     0.0349             1.695E-17            9.298E-04
     0.0369             1.725E-17            9.460E-04
     0.0369             1.725E-17            9.461E-04
     0.0389             1.755E-17            9.625E-04
     0.0389             1.755E-17            9.626E-04
     0.0409             1.785E-17            9.793E-04
     0.0409             1.785E-17            9.794E-04
     0.0429             1.816E-17            9.964E-04
     0.0429             1.817E-17            9.965E-04
     0.0449             1.848E-17            1.014E-03
     0.0449             1.848E-17            1.014E-03
     0.0469             1.880E-17            1.031E-03
     0.0469             1.880E-17            1.032E-03
     0.0489             1.913E-17            1.049E-03
     0.0489             1.913E-17            1.049E-03
     0.0509             1.946E-17            1.068E-03
     0.0509             1.946E-17            1.068E-03
     0.0529             1.980E-17            1.086E-03
     0.0529             1.980E-17            1.086E-03
     0.0549             2.014E-17            1.105E-03
     0.0549             2.014E-17            1.105E-03
     0.0569             2.049E-17            1.124E-03
     0.0569             2.049E-17            1.124E-03
     0.0589             2.084E-17            1.143E-03
     0.0589             2.084E-17            1.143E-03
     0.0609             2.120E-17            1.163E-03
     0.0609             2.120E-17            1.163E-03
     0.0629             2.156E-17            1.183E-03
     0.0629             2.156E-17            1.183E-03
     0.0649             2.193E-17            1.203E-03
     0.0649             2.193E-17            1.203E-03
     0.0669             2.230E-17            1.223E-03
     0.0669             2.230E-17            1.223E-03
     0.0689             2.268E-17            1.244E-03
     0.0689             2.268E-17            1.244E-03
     0.0709             2.306E-17            1.265E-03
     0.0709             2.306E-17            1.265E-03
     0.0729             2.345E-17            1.286E-03
     0.0729             2.345E-17            1.286E-03
     0.0749             2.384E-17            1.308E-03
     0.0749             2.385E-17            1.308E-03
     0.0769             2.424E-17            1.330E-03
     0.0769             2.424E-17            1.330E-03
     0.0789             2.465E-17            1.352E-03
     0.0789             2.465E-17            1.352E-03
     0.0809             2.505E-17            1.374E-03
     0.0809             2.506E-17            1.374E-03
     0.0829             2.547E-17            1.397E-03
     0.0829             2.547E-17            1.397E-03
     0.0849             2.589E-17            1.420E-03
     0.0849             2.589E-17            1.420E-03
     0.0869             2.631E-17            1.443E-03
     0.0869             2.631E-17            1.443E-03
     0.0889             2.674E-17            1.467E-03
     0.0889             2.674E-17            1.467E-03
     0.0909             2.717E-17            1.491E-03
     0.0909             2.718E-17            1.491E-03
     0.0929             2.761E-17            1.515E-03
     0.0929             2.761E-17            1.515E-03
     0.0949             2.805E-17            1.539E-03
     0.0949             2.806E-17            1.539E-03
     0.0969             2.850E-17            1.564E-03
     0.0969             2.851E-17            1.564E-03
     0.0989             2.896E-17            1.588E-03
     0.0989             2.896E-17            1.589E-03
     0.1009             2.941E-17            1.613E-03
     0.1009             2.942E-17            1.614E-03
     0.1029             2.988E-17            1.639E-03
     0.1029             2.988E-17            1.639E-03
     0.1049             3.034E-17            1.664E-03
     0.1049             3.035E-17            1.665E-03
     0.1069             3.081E-17            1.690E-03
     0.1069             3.082E-17            1.690E-03
     0.1089             3.129E-17            1.716E-03
     0.1089             3.129E-17            1.717E-03
     0.1109             3.177E-17            1.743E-03
     0.1109             3.177E-17            1.743E-03
     0.1129             3.225E-17            1.769E-03
     0.1129             3.226E-17            1.769E-03
     0.1149             3.274E-17            1.796E-03
     0.1149             3.275E-17            1.796E-03
     0.1169             3.324E-17            1.823E-03
     0.1169             3.324E-17            1.823E-03
     0.1189             3.373E-17            1.850E-03
     0.1189             3.374E-17            1.851E-03
     0.1209             3.423E-17            1.878E-03
     0.1209             3.424E-17            1.878E-03
     0.1229             3.474E-17            1.906E-03
     0.1229             3.474E-17            1.906E-03
     0.1249             3.525E-17            1.933E-03
     0.1249             3.525E-17            1.934E-03
     0.1269             3.576E-17            1.962E-03
     0.1269             3.576E-17            1.962E-03
     0.1289             3.628E-17            1.990E-03
     0.1289             3.628E-17            1.990E-03
     0.1309             3.679E-17            2.018E-03
     0.1309             3.680E-17            2.019E-03
     0.1329             3.732E-17            2.047E-03
     0.1329             3.732E-17            2.047E-03
     0.1349             3.784E-17            2.076E-03
     0.1349             3.785E-17            2.076E-03
     0.1369             3.837E-17            2.105E-03
     0.1369             3.838E-17            2.105E-03
     0.1389             3.890E-17            2.134E-03
     0.1389             3.891E-17            2.134E-03
     0.1409             3.944E-17            2.163E-03
     0.1409             3.944E-17            2.164E-03
     0.1429             3.998E-17            2.193E-03
     0.1429             3.998E-17            2.193E-03
     0.1449             4.052E-17            2.223E-03
     0.1449             4.052E-17            2.223E-03
     0.1469             4.106E-17            2.252E-03
     0.1469             4.106E-17            2.253E-03
     0.1489             4.161E-17            2.282E-03
     0.1489             4.161E-17            2.282E-03
     0.1509             4.215E-17            2.312E-03
     0.1509             4.216E-17            2.312E-03
     0.1529             4.270E-17            2.342E-03
     0.1529             4.271E-17            2.343E-03
     0.1549             4.325E-17            2.373E-03
     0.1549             4.326E-17            2.373E-03
     0.1569             4.381E-17            2.403E-03
     0.1569             4.381E-17            2.403E-03
     0.1589             4.436E-17            2.433E-03
     0.1589             4.436E-17            2.434E-03
     0.1609             4.492E-17            2.464E-03
     0.1609             4.492E-17            2.464E-03
     0.1629             4.547E-17            2.495E-03
     0.1629             4.548E-17            2.495E-03
     0.1649             4.603E-17            2.525E-03
     0.1649             4.604E-17            2.525E-03
     0.1669             4.659E-17            2.556E-03
     0.1669             4.660E-17            2.556E-03
     0.1689             4.715E-17            2.587E-03
     0.1689             4.716E-17            2.587E-03
     0.1709             4.771E-17            2.617E-03
     0.1709             4.772E-17            2.617E-03
     0.1729             4.827E-17            2.648E-03
     0.1729             4.828E-17            2.648E-03
     0.1749             4.884E-17            2.679E-03
     0.1749             4.884E-17            2.679E-03
     0.1769             4.940E-17            2.710E-03
     0.1769             4.940E-17            2.710E-03
     0.1789             4.996E-17            2.740E-03
     0.1789             4.996E-17            2.741E-03
     0.1809             5.052E-17            2.771E-03
     0.1809             5.052E-17            2.771E-03
     0.1829             5.108E-17            2.802E-03
     0.1829             5.108E-17            2.802E-03
     0.1849             5.164E-17            2.832E-03
     0.1849             5.164E-17            2.833E-03
     0.1869             5.220E-17            2.863E-03
     0.1869             5.220E-17            2.863E-03
     0.1889             5.275E-17            2.894E-03
     0.1889             5.276E-17            2.894E-03
     0.1909             5.331E-17            2.924E-03
     0.1909             5.331E-17            2.924E-03
     0.1929             5.386E-17            2.955E-03
     0.1929             5.387E-17            2.955E-03
     0.1949             5.442E-17            2.985E-03
     0.1949             5.442E-17            2.985E-03
     0.1969             5.497E-17            3.015E-03
     0.1969             5.497E-17            3.015E-03
     0.1989             5.552E-17            3.045E-03
     0.1989             5.552E-17            3.046E-03
     0.2009             5.606E-17            3.075E-03
     0.2009             5.607E-17            3.076E-03
     0.2029             5.661E-17            3.105E-03
     0.2029             5.661E-17            3.105E-03
     0.2049             5.715E-17            3.135E-03
     0.2049             5.715E-17            3.135E-03
     0.2069             5.769E-17            3.164E-03
     0.2069             5.769E-17            3.165E-03
     0.2089             5.822E-17            3.194E-03
     0.2089             5.823E-17            3.194E-03
     0.2109             5.876E-17            3.223E-03
     0.2109             5.876E-17            3.223E-03
     0.2129             5.928E-17            3.252E-03
     0.2129             5.929E-17            3.252E-03
     0.2149             5.981E-17            3.281E-03
     0.2149             5.981E-17            3.281E-03
     0.2169             6.033E-17            3.309E-03
     0.2169             6.033E-17            3.309E-03
     0.2189             6.084E-17            3.338E-03
     0.2189             6.085E-17            3.338E-03
     0.2209             6.135E-17            3.366E-03
     0.2209             6.136E-17            3.366E-03
     0.2229             6.186E-17            3.393E-03
     0.2229             6.186E-17            3.394E-03
     0.2249             6.236E-17            3.421E-03
     0.2249             6.237E-17            3.421E-03
     0.2269             6.286E-17            3.448E-03
     0.2269             6.286E-17            3.448E-03
     0.2289             6.335E-17            3.475E-03
     0.2289             6.335E-17            3.475E-03
     0.2309             6.383E-17            3.502E-03
     0.2309             6.384E-17            3.502E-03
     0.2329             6.431E-17            3.528E-03
     0.2329             6.432E-17            3.528E-03
     0.2349             6.479E-17            3.554E-03
     0.2349             6.479E-17            3.554E-03
     0.2369             6.526E-17            3.580E-03
     0.2369             6.526E-17            3.580E-03
     0.2389             6.572E-17            3.605E-03
     0.2389             6.572E-17            3.605E-03
     0.2409             6.617E-17            3.630E-03
     0.2409             6.618E-17            3.630E-03
     0.2429             6.662E-17            3.655E-03
     0.2429             6.662E-17            3.655E-03
     0.2449             6.706E-17            3.679E-03
     0.2449             6.707E-17            3.679E-03
     0.2469             6.750E-17            3.703E-03
     0.2469             6.750E-17            3.703E-03
     0.2489             6.792E-17            3.726E-03
     0.2489             6.793E-17            3.726E-03
     0.2509             6.834E-17            3.749E-03
     0.2509             6.835E-17            3.749E-03
     0.2529             6.875E-17            3.771E-03
     0.2529             6.876E-17            3.772E-03
     0.2549             6.916E-17            3.794E-03
     0.2549             6.916E-17            3.794E-03
     0.2569             6.955E-17            3.815E-03
     0.2569             6.955E-17            3.815E-03
     0.2589             6.994E-17            3.836E-03
     0.2589             6.994E-17            3.837E-03
     0.2609             7.032E-17            3.857E-03
     0.2609             7.032E-17            3.857E-03
     0.2629             7.069E-17            3.877E-03
     0.2629             7.069E-17            3.878E-03
     0.2649             7.105E-17            3.897E-03
     0.2649             7.105E-17            3.897E-03
     0.2669             7.140E-17            3.917E-03
     0.2669             7.140E-17            3.917E-03
     0.2689             7.174E-17            3.935E-03
     0.2689             7.174E-17            3.935E-03
     0.2709             7.207E-17            3.954E-03
     0.2709             7.207E-17            3.954E-03
     0.2729             7.240E-17            3.971E-03
     0.2729             7.240E-17            3.971E-03
     0.2749             7.271E-17            3.988E-03
     0.2749             7.271E-17            3.989E-03
     0.2769             7.301E-17            4.005E-03
     0.2769             7.301E-17            4.005E-03
     0.2789             7.331E-17            4.021E-03
     0.2789             7.331E-17            4.021E-03
     0.2809             7.359E-17            4.037E-03
     0.2809             7.359E-17            4.037E-03
     0.2829             7.386E-17            4.052E-03
     0.2829             7.386E-17            4.052E-03
     0.2849             7.412E-17            4.066E-03
     0.2849             7.413E-17            4.066E-03
     0.2869             7.438E-17            4.080E-03
     0.2869             7.438E-17            4.080E-03
     0.2889             7.462E-17            4.093E-03
     0.2889             7.462E-17            4.093E-03
     0.2909             7.485E-17            4.106E-03
     0.2909             7.485E-17            4.106E-03
     0.2929             7.507E-17            4.118E-03
     0.2929             7.507E-17            4.118E-03
     0.2949             7.528E-17            4.129E-03
     0.2949             7.528E-17            4.129E-03
     0.2969             7.547E-17            4.140E-03
     0.2969             7.547E-17            4.140E-03
     0.2989             7.566E-17            4.150E-03
     0.2989             7.566E-17            4.150E-03
     0.3009             7.583E-17            4.160E-03
     0.3009             7.584E-17            4.160E-03
     0.3029             7.600E-17            4.169E-03
     0.3029             7.600E-17            4.169E-03
     0.3049             7.615E-17            4.177E-03
     0.3049             7.615E-17            4.177E-03
     0.3069             7.629E-17            4.185E-03
     0.3069             7.629E-17            4.185E-03
     0.3089             7.642E-17            4.192E-03
     0.3089             7.642E-17            4.192E-03
     0.3109             7.654E-17            4.198E-03
     0.3109             7.654E-17            4.198E-03
     0.3129             7.664E-17            4.204E-03
     0.3129             7.664E-17            4.204E-03
     0.3149             7.673E-17            4.209E-03
     0.3149             7.673E-17            4.209E-03
     0.3169             7.681E-17            4.214E-03
     0.3169             7.681E-17            4.214E-03
     0.3189             7.688E-17            4.217E-03
     0.3189             7.688E-17            4.217E-03
     0.3209             7.694E-17            4.221E-03
     0.3209             7.694E-17            4.221E-03
     0.3229             7.699E-17            4.223E-03
     0.3229             7.699E-17            4.223E-03
     0.3249             7.702E-17            4.225E-03
     0.3249             7.702E-17            4.225E-03
     0.3269             7.704E-17            4.226E-03
     0.3269             7.704E-17            4.226E-03
     0.3289             7.705E-17            4.226E-03
     0.3289             7.705E-17            4.226E-03
     0.3309             7.705E-17            4.226E-03
     0.3309             7.705E-17            4.226E-03
     0.3329             7.703E-17            4.225E-03
     0.3329             7.703E-17            4.225E-03
     0.3349             7.700E-17            4.224E-03
     0.3349             7.700E-17            4.224E-03
     0.3369             7.696E-17            4.222E-03
     0.3369             7.696E-17            4.222E-03
     0.3389             7.691E-17            4.219E-03
     0.3389             7.691E-17            4.219E-03
     0.3409             7.685E-17            4.216E-03
     0.3409             7.685E-17            4.216E-03
     0.3429             7.677E-17            4.211E-03
     0.3429             7.677E-17            4.211E-03
     0.3449             7.669E-17            4.207E-03
     0.3449             7.669E-17            4.207E-03
     0.3469             7.659E-17            4.201E-03
     0.3469             7.659E-17            4.201E-03
     0.3489             7.648E-17            4.195E-03
     0.3489             7.648E-17            4.195E-03
     0.3509             7.635E-17            4.188E-03
     0.3509             7.635E-17            4.188E-03
     0.3529             7.622E-17            4.181E-03
     0.3529             7.622E-17            4.181E-03
     0.3549             7.607E-17            4.173E-03
     0.3549             7.607E-17            4.173E-03
     0.3569             7.592E-17            4.164E-03
     0.3569             7.592E-17            4.164E-03
     0.3589             7.575E-17            4.155E-03
     0.3589             7.575E-17            4.155E-03
     0.3609             7.557E-17            4.145E-03
     0.3609             7.557E-17            4.145E-03
     0.3629             7.538E-17            4.135E-03
     0.3629             7.537E-17            4.135E-03
     0.3649             7.517E-17            4.124E-03
     0.3649             7.517E-17            4.123E-03
     0.3669             7.496E-17            4.112E-03
     0.3669             7.496E-17            4.112E-03
     0.3689             7.473E-17            4.099E-03
     0.3689             7.473E-17            4.099E-03
     0.3709             7.450E-17            4.087E-03
     0.3709             7.450E-17            4.086E-03
     0.3729             7.425E-17            4.073E-03
     0.3729             7.425E-17            4.073E-03
     0.3749             7.399E-17            4.059E-03
     0.3749             7.399E-17            4.059E-03
     0.3769             7.373E-17            4.044E-03
     0.3769             7.372E-17            4.044E-03
     0.3789             7.345E-17            4.029E-03
     0.3789             7.345E-17            4.029E-03
     0.3809             7.316E-17            4.013E-03
     0.3809             7.316E-17            4.013E-03
     0.3829             7.286E-17            3.997E-03
     0.3829             7.286E-17            3.997E-03
     0.3849             7.255E-17            3.980E-03
     0.3849             7.255E-17            3.980E-03
