                 System #       73
     Galactic longitude l   -62.35
      Galactic latitude b     0.00
           distance (kpc)     8.85
    orbital period (days)    2.985
    arg. periastron (deg)  199.340
        inclination (deg)  123.283
             eccentricity    0.126
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0009             5.183E-18            2.843E-04
     0.0014             5.313E-18            2.914E-04
     0.0027             5.658E-18            3.104E-04
     0.0034             5.832E-18            3.199E-04
     0.0046             6.170E-18            3.384E-04
     0.0054             6.395E-18            3.508E-04
     0.0065             6.721E-18            3.687E-04
     0.0074             7.006E-18            3.843E-04
     0.0083             7.314E-18            4.012E-04
     0.0094             7.666E-18            4.205E-04
     0.0102             7.951E-18            4.362E-04
     0.0114             8.380E-18            4.597E-04
     0.0121             8.635E-18            4.737E-04
     0.0134             9.151E-18            5.020E-04
     0.0139             9.367E-18            5.138E-04
     0.0154             9.981E-18            5.475E-04
     0.0158             1.015E-17            5.568E-04
     0.0174             1.088E-17            5.965E-04
     0.0176             1.099E-17            6.028E-04
     0.0194             1.184E-17            6.493E-04
     0.0195             1.188E-17            6.519E-04
     0.0213             1.284E-17            7.042E-04
     0.0214             1.287E-17            7.058E-04
     0.0232             1.385E-17            7.599E-04
     0.0234             1.397E-17            7.665E-04
     0.0250             1.493E-17            8.192E-04
     0.0254             1.516E-17            8.315E-04
     0.0269             1.608E-17            8.822E-04
     0.0274             1.643E-17            9.010E-04
     0.0287             1.730E-17            9.491E-04
     0.0294             1.778E-17            9.752E-04
     0.0305             1.859E-17            1.020E-03
     0.0314             1.922E-17            1.054E-03
     0.0324             1.996E-17            1.095E-03
     0.0334             2.076E-17            1.139E-03
     0.0342             2.141E-17            1.174E-03
     0.0354             2.240E-17            1.229E-03
     0.0360             2.294E-17            1.258E-03
     0.0374             2.413E-17            1.324E-03
     0.0379             2.455E-17            1.347E-03
     0.0394             2.598E-17            1.425E-03
     0.0397             2.626E-17            1.440E-03
     0.0414             2.794E-17            1.533E-03
     0.0415             2.805E-17            1.539E-03
     0.0433             2.994E-17            1.642E-03
     0.0434             3.001E-17            1.646E-03
     0.0451             3.192E-17            1.751E-03
     0.0454             3.220E-17            1.767E-03
     0.0470             3.400E-17            1.865E-03
