                 System #       74
     Galactic longitude l   -48.76
      Galactic latitude b     0.00
           distance (kpc)     7.52
    orbital period (days)  848.478
    arg. periastron (deg)  437.157
        inclination (deg)   30.907
             eccentricity    0.782
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             8.086E-15            4.436E-01
     0.0020             8.086E-15            4.435E-01
     0.0031             8.086E-15            4.435E-01
     0.0040             8.085E-15            4.435E-01
     0.0060             8.085E-15            4.435E-01
     0.0066             8.085E-15            4.435E-01
     0.0080             8.086E-15            4.435E-01
     0.0100             8.086E-15            4.436E-01
     0.0102             8.086E-15            4.436E-01
     0.0120             8.087E-15            4.436E-01
     0.0137             8.087E-15            4.436E-01
     0.0140             8.087E-15            4.436E-01
     0.0160             8.088E-15            4.437E-01
     0.0173             8.089E-15            4.437E-01
     0.0180             8.089E-15            4.437E-01
     0.0200             8.091E-15            4.438E-01
     0.0208             8.091E-15            4.439E-01
     0.0220             8.092E-15            4.439E-01
     0.0240             8.094E-15            4.440E-01
     0.0244             8.095E-15            4.440E-01
     0.0260             8.096E-15            4.441E-01
     0.0279             8.098E-15            4.442E-01
     0.0280             8.098E-15            4.442E-01
     0.0300             8.101E-15            4.444E-01
     0.0315             8.103E-15            4.445E-01
     0.0320             8.103E-15            4.445E-01
     0.0340             8.106E-15            4.447E-01
     0.0350             8.108E-15            4.447E-01
     0.0360             8.109E-15            4.448E-01
     0.0380             8.113E-15            4.450E-01
     0.0385             8.113E-15            4.451E-01
     0.0400             8.116E-15            4.452E-01
     0.0420             8.120E-15            4.454E-01
     0.0421             8.120E-15            4.454E-01
     0.0440             8.124E-15            4.456E-01
     0.0456             8.127E-15            4.458E-01
     0.0460             8.128E-15            4.459E-01
     0.0480             8.132E-15            4.461E-01
     0.0491             8.135E-15            4.462E-01
     0.0500             8.137E-15            4.463E-01
     0.0520             8.142E-15            4.466E-01
     0.0526             8.143E-15            4.467E-01
     0.0540             8.147E-15            4.469E-01
     0.0560             8.152E-15            4.472E-01
     0.0561             8.152E-15            4.472E-01
     0.0580             8.157E-15            4.475E-01
     0.0596             8.162E-15            4.477E-01
     0.0600             8.163E-15            4.478E-01
     0.0620             8.169E-15            4.481E-01
     0.0631             8.172E-15            4.483E-01
     0.0640             8.175E-15            4.484E-01
     0.0660             8.181E-15            4.488E-01
     0.0666             8.183E-15            4.489E-01
     0.0680             8.188E-15            4.491E-01
     0.0700             8.195E-15            4.495E-01
     0.0701             8.195E-15            4.495E-01
     0.0720             8.202E-15            4.499E-01
     0.0736             8.207E-15            4.502E-01
     0.0740             8.209E-15            4.503E-01
     0.0760             8.217E-15            4.507E-01
     0.0770             8.221E-15            4.509E-01
     0.0780             8.224E-15            4.512E-01
     0.0800             8.232E-15            4.516E-01
     0.0805             8.234E-15            4.517E-01
     0.0820             8.241E-15            4.520E-01
     0.0840             8.249E-15            4.525E-01
     0.0840             8.249E-15            4.525E-01
     0.0860             8.258E-15            4.530E-01
     0.0874             8.264E-15            4.533E-01
     0.0880             8.267E-15            4.535E-01
     0.0900             8.276E-15            4.540E-01
     0.0909             8.280E-15            4.542E-01
     0.0920             8.286E-15            4.545E-01
     0.0940             8.296E-15            4.550E-01
     0.0943             8.297E-15            4.551E-01
     0.0960             8.306E-15            4.556E-01
     0.0977             8.314E-15            4.561E-01
     0.0980             8.316E-15            4.562E-01
     0.1000             8.326E-15            4.567E-01
     0.1011             8.332E-15            4.571E-01
     0.1020             8.337E-15            4.573E-01
     0.1040             8.348E-15            4.579E-01
     0.1046             8.351E-15            4.581E-01
     0.1060             8.360E-15            4.586E-01
     0.1080             8.371E-15            4.592E-01
     0.1080             8.371E-15            4.592E-01
     0.1100             8.383E-15            4.599E-01
     0.1113             8.391E-15            4.603E-01
     0.1120             8.395E-15            4.605E-01
     0.1140             8.408E-15            4.612E-01
     0.1147             8.412E-15            4.614E-01
     0.1160             8.421E-15            4.619E-01
     0.1180             8.434E-15            4.626E-01
     0.1181             8.434E-15            4.626E-01
     0.1200             8.447E-15            4.634E-01
     0.1215             8.457E-15            4.639E-01
     0.1220             8.461E-15            4.641E-01
     0.1240             8.475E-15            4.649E-01
     0.1248             8.480E-15            4.652E-01
     0.1260             8.489E-15            4.656E-01
     0.1280             8.503E-15            4.664E-01
     0.1282             8.504E-15            4.665E-01
     0.1300             8.518E-15            4.673E-01
     0.1315             8.529E-15            4.679E-01
     0.1320             8.533E-15            4.681E-01
     0.1340             8.549E-15            4.689E-01
     0.1348             8.555E-15            4.693E-01
     0.1360             8.565E-15            4.698E-01
     0.1380             8.581E-15            4.707E-01
     0.1382             8.582E-15            4.707E-01
     0.1400             8.597E-15            4.716E-01
     0.1415             8.609E-15            4.723E-01
     0.1420             8.614E-15            4.725E-01
     0.1440             8.631E-15            4.735E-01
     0.1448             8.637E-15            4.738E-01
     0.1460             8.649E-15            4.744E-01
     0.1480             8.667E-15            4.754E-01
     0.1480             8.667E-15            4.754E-01
     0.1500             8.685E-15            4.764E-01
     0.1513             8.697E-15            4.770E-01
     0.1520             8.704E-15            4.774E-01
     0.1540             8.722E-15            4.785E-01
     0.1546             8.727E-15            4.787E-01
     0.1560             8.742E-15            4.795E-01
     0.1578             8.759E-15            4.805E-01
     0.1580             8.762E-15            4.806E-01
     0.1600             8.782E-15            4.817E-01
     0.1610             8.792E-15            4.823E-01
     0.1620             8.802E-15            4.828E-01
     0.1640             8.823E-15            4.840E-01
     0.1643             8.825E-15            4.841E-01
     0.1660             8.844E-15            4.851E-01
     0.1675             8.860E-15            4.860E-01
     0.1680             8.866E-15            4.863E-01
     0.1700             8.888E-15            4.875E-01
     0.1707             8.895E-15            4.879E-01
     0.1720             8.911E-15            4.888E-01
     0.1739             8.931E-15            4.899E-01
     0.1740             8.934E-15            4.900E-01
     0.1760             8.957E-15            4.913E-01
     0.1770             8.969E-15            4.920E-01
     0.1780             8.981E-15            4.926E-01
     0.1800             9.005E-15            4.940E-01
     0.1802             9.007E-15            4.941E-01
     0.1820             9.030E-15            4.953E-01
     0.1833             9.046E-15            4.962E-01
     0.1840             9.055E-15            4.967E-01
     0.1860             9.081E-15            4.981E-01
     0.1865             9.086E-15            4.984E-01
     0.1880             9.107E-15            4.996E-01
     0.1896             9.128E-15            5.007E-01
     0.1900             9.134E-15            5.010E-01
     0.1920             9.161E-15            5.025E-01
     0.1927             9.170E-15            5.030E-01
     0.1940             9.188E-15            5.040E-01
     0.1958             9.213E-15            5.054E-01
     0.1960             9.217E-15            5.056E-01
     0.1980             9.245E-15            5.072E-01
     0.1989             9.257E-15            5.078E-01
     0.2000             9.275E-15            5.088E-01
     0.2019             9.303E-15            5.103E-01
     0.2020             9.305E-15            5.104E-01
     0.2040             9.335E-15            5.121E-01
     0.2050             9.349E-15            5.129E-01
     0.2060             9.366E-15            5.138E-01
     0.2080             9.397E-15            5.155E-01
     0.2080             9.397E-15            5.155E-01
     0.2100             9.430E-15            5.173E-01
     0.2110             9.446E-15            5.181E-01
     0.2120             9.462E-15            5.191E-01
     0.2140             9.496E-15            5.209E-01
     0.2140             9.496E-15            5.209E-01
     0.2160             9.530E-15            5.228E-01
     0.2170             9.547E-15            5.237E-01
     0.2180             9.564E-15            5.247E-01
     0.2200             9.599E-15            5.266E-01
     0.2200             9.600E-15            5.266E-01
     0.2220             9.636E-15            5.286E-01
     0.2230             9.653E-15            5.295E-01
     0.2240             9.673E-15            5.306E-01
     0.2259             9.707E-15            5.325E-01
     0.2260             9.710E-15            5.326E-01
     0.2280             9.748E-15            5.347E-01
     0.2288             9.763E-15            5.356E-01
     0.2300             9.787E-15            5.369E-01
     0.2317             9.821E-15            5.387E-01
     0.2320             9.827E-15            5.390E-01
     0.2340             9.867E-15            5.413E-01
     0.2346             9.879E-15            5.419E-01
     0.2360             9.908E-15            5.435E-01
     0.2375             9.939E-15            5.452E-01
     0.2380             9.950E-15            5.458E-01
     0.2400             9.993E-15            5.482E-01
     0.2404             1.000E-14            5.486E-01
     0.2420             1.004E-14            5.506E-01
     0.2432             1.006E-14            5.520E-01
     0.2440             1.008E-14            5.530E-01
     0.2460             1.013E-14            5.555E-01
     0.2461             1.013E-14            5.555E-01
     0.2480             1.017E-14            5.581E-01
     0.2489             1.019E-14            5.591E-01
     0.2500             1.022E-14            5.607E-01
     0.2517             1.026E-14            5.628E-01
     0.2520             1.027E-14            5.633E-01
     0.2540             1.032E-14            5.660E-01
     0.2544             1.033E-14            5.666E-01
     0.2560             1.037E-14            5.688E-01
     0.2572             1.040E-14            5.704E-01
