                 System #       75
     Galactic longitude l   -32.33
      Galactic latitude b     0.00
           distance (kpc)    13.64
    orbital period (days)   23.739
    arg. periastron (deg)  271.564
        inclination (deg)   98.799
             eccentricity    0.250
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0019             6.532E-18            3.583E-04
     0.0022             6.411E-18            3.517E-04
     0.0039             5.703E-18            3.129E-04
     0.0047             5.412E-18            2.969E-04
     0.0059             4.954E-18            2.718E-04
     0.0071             4.533E-18            2.487E-04
     0.0079             4.282E-18            2.349E-04
     0.0096             3.766E-18            2.066E-04
     0.0099             3.680E-18            2.019E-04
     0.0119             3.146E-18            1.726E-04
     0.0121             3.102E-18            1.701E-04
     0.0139             2.675E-18            1.467E-04
     0.0146             2.532E-18            1.389E-04
     0.0159             2.261E-18            1.240E-04
     0.0171             2.049E-18            1.124E-04
     0.0179             1.901E-18            1.043E-04
     0.0195             1.644E-18            9.018E-05
     0.0199             1.588E-18            8.713E-05
     0.0219             1.320E-18            7.242E-05
     0.0220             1.307E-18            7.170E-05
     0.0239             1.091E-18            5.987E-05
     0.0245             1.030E-18            5.652E-05
     0.0259             8.975E-19            4.923E-05
     0.0270             8.059E-19            4.421E-05
     0.0279             7.345E-19            4.029E-05
     0.0295             6.258E-19            3.433E-05
     0.0299             5.986E-19            3.283E-05
     0.0319             4.860E-19            2.666E-05
     0.0320             4.829E-19            2.649E-05
     0.0339             3.934E-19            2.158E-05
     0.0345             3.711E-19            2.035E-05
     0.0359             3.179E-19            1.744E-05
     0.0370             2.844E-19            1.560E-05
     0.0379             2.568E-19            1.408E-05
     0.0395             2.180E-19            1.196E-05
     0.0399             2.075E-19            1.138E-05
     0.0419             1.682E-19            9.226E-06
     0.0419             1.676E-19            9.195E-06
     0.0439             1.369E-19            7.510E-06
     0.0444             1.298E-19            7.121E-06
     0.0459             1.122E-19            6.155E-06
     0.0469             1.017E-19            5.577E-06
     0.0479             9.280E-20            5.091E-06
     0.0494             8.094E-20            4.440E-06
     0.0499             7.766E-20            4.260E-06
     0.0519             6.593E-20            3.617E-06
     0.0519             6.583E-20            3.611E-06
     0.0539             5.694E-20            3.123E-06
     0.0544             5.499E-20            3.016E-06
     0.0559             5.016E-20            2.751E-06
     0.0569             4.742E-20            2.601E-06
     0.0579             4.517E-20            2.478E-06
     0.0594             4.240E-20            2.326E-06
     0.0599             4.169E-20            2.287E-06
     0.0619             3.949E-20            2.166E-06
     0.0619             3.947E-20            2.165E-06
     0.0639             3.843E-20            2.108E-06
     0.0644             3.834E-20            2.103E-06
     0.0659             3.847E-20            2.110E-06
     0.0669             3.890E-20            2.134E-06
     0.0679             3.959E-20            2.172E-06
     0.0694             4.121E-20            2.260E-06
     0.0699             4.186E-20            2.296E-06
     0.0719             4.543E-20            2.492E-06
     0.0719             4.548E-20            2.495E-06
     0.0739             5.052E-20            2.771E-06
     0.0744             5.213E-20            2.859E-06
     0.0759             5.742E-20            3.150E-06
     0.0769             6.178E-20            3.389E-06
     0.0779             6.656E-20            3.651E-06
     0.0794             7.534E-20            4.133E-06
     0.0799             7.847E-20            4.304E-06
     0.0819             9.383E-20            5.147E-06
     0.0819             9.404E-20            5.158E-06
     0.0839             1.135E-19            6.226E-06
     0.0844             1.195E-19            6.555E-06
     0.0859             1.385E-19            7.599E-06
     0.0869             1.538E-19            8.438E-06
     0.0879             1.702E-19            9.336E-06
     0.0894             1.997E-19            1.095E-05
     0.0899             2.100E-19            1.152E-05
     0.0919             2.598E-19            1.425E-05
     0.0919             2.604E-19            1.428E-05
     0.0939             3.216E-19            1.764E-05
     0.0944             3.400E-19            1.865E-05
     0.0959             3.979E-19            2.182E-05
     0.0969             4.430E-19            2.430E-05
     0.0979             4.912E-19            2.695E-05
     0.0994             5.751E-19            3.155E-05
     0.0999             6.048E-19            3.317E-05
     0.1019             7.417E-19            4.069E-05
     0.1019             7.425E-19            4.073E-05
     0.1039             9.058E-19            4.969E-05
     0.1044             9.519E-19            5.222E-05
     0.1059             1.101E-18            6.038E-05
     0.1069             1.211E-18            6.643E-05
     0.1079             1.331E-18            7.300E-05
     0.1094             1.528E-18            8.380E-05
     0.1099             1.600E-18            8.778E-05
     0.1119             1.910E-18            1.048E-04
     0.1119             1.913E-18            1.050E-04
     0.1139             2.275E-18            1.248E-04
     0.1144             2.368E-18            1.299E-04
     0.1159             2.689E-18            1.475E-04
     0.1169             2.909E-18            1.596E-04
     0.1179             3.161E-18            1.734E-04
     0.1194             3.542E-18            1.943E-04
     0.1199             3.696E-18            2.027E-04
     0.1218             4.276E-18            2.346E-04
     0.1219             4.297E-18            2.357E-04
     0.1239             4.969E-18            2.726E-04
     0.1243             5.120E-18            2.808E-04
     0.1259             5.717E-18            3.136E-04
     0.1268             6.080E-18            3.335E-04
     0.1279             6.544E-18            3.590E-04
     0.1293             7.164E-18            3.930E-04
     0.1299             7.454E-18            4.089E-04
     0.1318             8.380E-18            4.597E-04
     0.1319             8.451E-18            4.636E-04
     0.1339             9.538E-18            5.232E-04
     0.1343             9.732E-18            5.339E-04
     0.1359             1.072E-17            5.880E-04
     0.1367             1.123E-17            6.159E-04
     0.1379             1.199E-17            6.580E-04
     0.1392             1.287E-17            7.059E-04
     0.1399             1.337E-17            7.333E-04
     0.1417             1.466E-17            8.042E-04
     0.1419             1.484E-17            8.142E-04
     0.1439             1.642E-17            9.007E-04
     0.1441             1.661E-17            9.110E-04
     0.1459             1.810E-17            9.928E-04
     0.1466             1.871E-17            1.026E-03
     0.1479             1.988E-17            1.091E-03
     0.1491             2.097E-17            1.150E-03
     0.1499             2.177E-17            1.194E-03
     0.1515             2.338E-17            1.283E-03
     0.1519             2.377E-17            1.304E-03
     0.1539             2.587E-17            1.419E-03
     0.1540             2.596E-17            1.424E-03
     0.1559             2.808E-17            1.540E-03
     0.1565             2.869E-17            1.574E-03
     0.1579             3.039E-17            1.667E-03
     0.1589             3.158E-17            1.732E-03
     0.1599             3.281E-17            1.800E-03
     0.1614             3.463E-17            1.899E-03
     0.1619             3.533E-17            1.938E-03
     0.1638             3.782E-17            2.075E-03
     0.1639             3.796E-17            2.082E-03
     0.1659             4.069E-17            2.232E-03
     0.1663             4.117E-17            2.258E-03
     0.1679             4.352E-17            2.388E-03
     0.1687             4.466E-17            2.450E-03
     0.1699             4.646E-17            2.548E-03
     0.1711             4.830E-17            2.650E-03
     0.1719             4.949E-17            2.715E-03
     0.1736             5.208E-17            2.857E-03
     0.1739             5.261E-17            2.886E-03
     0.1759             5.584E-17            3.063E-03
