                 System #       76
     Galactic longitude l    27.42
      Galactic latitude b     0.00
           distance (kpc)    10.73
    orbital period (days)   28.809
    arg. periastron (deg)  342.702
        inclination (deg)   27.543
             eccentricity    0.606
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0011             7.453E-17            4.088E-03
     0.0020             7.456E-17            4.090E-03
     0.0031             7.459E-17            4.092E-03
     0.0042             7.462E-17            4.093E-03
     0.0051             7.464E-17            4.095E-03
     0.0065             7.468E-17            4.097E-03
     0.0071             7.470E-17            4.097E-03
     0.0087             7.474E-17            4.100E-03
     0.0091             7.475E-17            4.100E-03
     0.0109             7.479E-17            4.102E-03
     0.0111             7.479E-17            4.103E-03
     0.0131             7.483E-17            4.105E-03
     0.0132             7.484E-17            4.105E-03
     0.0151             7.487E-17            4.107E-03
     0.0155             7.488E-17            4.107E-03
     0.0171             7.491E-17            4.109E-03
     0.0178             7.492E-17            4.110E-03
     0.0191             7.494E-17            4.111E-03
     0.0201             7.496E-17            4.112E-03
     0.0211             7.497E-17            4.112E-03
     0.0224             7.499E-17            4.113E-03
     0.0231             7.500E-17            4.114E-03
     0.0247             7.502E-17            4.115E-03
     0.0251             7.502E-17            4.115E-03
     0.0271             7.504E-17            4.116E-03
     0.0271             7.504E-17            4.116E-03
     0.0291             7.506E-17            4.118E-03
     0.0295             7.507E-17            4.118E-03
     0.0311             7.508E-17            4.118E-03
     0.0318             7.509E-17            4.119E-03
     0.0331             7.509E-17            4.119E-03
     0.0342             7.510E-17            4.120E-03
     0.0351             7.511E-17            4.120E-03
     0.0367             7.511E-17            4.120E-03
     0.0371             7.511E-17            4.120E-03
     0.0391             7.512E-17            4.121E-03
     0.0391             7.512E-17            4.121E-03
     0.0411             7.513E-17            4.121E-03
     0.0415             7.513E-17            4.121E-03
     0.0431             7.513E-17            4.121E-03
     0.0440             7.513E-17            4.121E-03
