                 System #       77
     Galactic longitude l   -16.54
      Galactic latitude b     0.00
           distance (kpc)    17.13
    orbital period (days)  170.906
    arg. periastron (deg)  538.025
        inclination (deg)   63.964
             eccentricity    0.517
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0010             2.480E-16            1.360E-02
     0.0020             2.482E-16            1.362E-02
     0.0030             2.484E-16            1.363E-02
     0.0049             2.488E-16            1.365E-02
     0.0050             2.488E-16            1.365E-02
     0.0070             2.491E-16            1.367E-02
     0.0079             2.493E-16            1.368E-02
     0.0090             2.495E-16            1.369E-02
     0.0108             2.499E-16            1.371E-02
     0.0110             2.499E-16            1.371E-02
     0.0130             2.503E-16            1.373E-02
     0.0138             2.504E-16            1.374E-02
     0.0150             2.506E-16            1.375E-02
     0.0167             2.510E-16            1.377E-02
     0.0170             2.510E-16            1.377E-02
     0.0190             2.514E-16            1.379E-02
     0.0197             2.515E-16            1.380E-02
     0.0210             2.518E-16            1.381E-02
     0.0227             2.521E-16            1.383E-02
     0.0230             2.522E-16            1.383E-02
     0.0250             2.525E-16            1.385E-02
     0.0256             2.527E-16            1.386E-02
     0.0270             2.529E-16            1.387E-02
     0.0286             2.532E-16            1.389E-02
     0.0290             2.533E-16            1.389E-02
     0.0310             2.537E-16            1.391E-02
     0.0316             2.538E-16            1.392E-02
     0.0330             2.540E-16            1.394E-02
     0.0346             2.544E-16            1.395E-02
     0.0350             2.544E-16            1.396E-02
     0.0370             2.548E-16            1.398E-02
     0.0376             2.549E-16            1.398E-02
     0.0390             2.552E-16            1.400E-02
     0.0406             2.555E-16            1.402E-02
     0.0410             2.556E-16            1.402E-02
     0.0430             2.560E-16            1.404E-02
     0.0435             2.561E-16            1.405E-02
     0.0450             2.564E-16            1.406E-02
     0.0465             2.567E-16            1.408E-02
     0.0470             2.567E-16            1.408E-02
     0.0490             2.571E-16            1.411E-02
     0.0496             2.573E-16            1.411E-02
     0.0510             2.575E-16            1.413E-02
     0.0526             2.578E-16            1.414E-02
     0.0530             2.579E-16            1.415E-02
     0.0550             2.583E-16            1.417E-02
     0.0556             2.584E-16            1.418E-02
     0.0570             2.587E-16            1.419E-02
     0.0586             2.590E-16            1.421E-02
     0.0590             2.591E-16            1.421E-02
     0.0610             2.595E-16            1.424E-02
     0.0616             2.596E-16            1.424E-02
     0.0630             2.599E-16            1.426E-02
     0.0646             2.602E-16            1.428E-02
     0.0650             2.603E-16            1.428E-02
     0.0670             2.607E-16            1.430E-02
     0.0676             2.609E-16            1.431E-02
     0.0690             2.611E-16            1.432E-02
     0.0706             2.615E-16            1.434E-02
     0.0710             2.615E-16            1.435E-02
     0.0730             2.619E-16            1.437E-02
     0.0737             2.621E-16            1.438E-02
     0.0750             2.623E-16            1.439E-02
     0.0767             2.627E-16            1.441E-02
     0.0770             2.628E-16            1.441E-02
     0.0790             2.632E-16            1.444E-02
