                 System #       78
     Galactic longitude l    29.49
      Galactic latitude b     0.00
           distance (kpc)    12.33
    orbital period (days)  345.831
    arg. periastron (deg)  334.990
        inclination (deg)  146.216
             eccentricity    0.718
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0019             6.031E-16            3.308E-02
     0.0029             6.023E-16            3.304E-02
     0.0039             6.016E-16            3.300E-02
     0.0059             6.001E-16            3.292E-02
     0.0060             6.000E-16            3.291E-02
     0.0079             5.986E-16            3.284E-02
     0.0091             5.978E-16            3.279E-02
     0.0099             5.972E-16            3.276E-02
     0.0119             5.958E-16            3.268E-02
     0.0122             5.956E-16            3.267E-02
     0.0139             5.944E-16            3.260E-02
     0.0153             5.934E-16            3.255E-02
     0.0159             5.930E-16            3.253E-02
     0.0179             5.917E-16            3.245E-02
     0.0184             5.913E-16            3.243E-02
     0.0199             5.903E-16            3.238E-02
     0.0216             5.892E-16            3.232E-02
     0.0219             5.890E-16            3.231E-02
     0.0239             5.877E-16            3.224E-02
     0.0247             5.871E-16            3.221E-02
     0.0259             5.864E-16            3.217E-02
     0.0279             5.852E-16            3.210E-02
     0.0279             5.851E-16            3.210E-02
     0.0299             5.839E-16            3.203E-02
     0.0311             5.832E-16            3.199E-02
     0.0319             5.827E-16            3.196E-02
     0.0339             5.815E-16            3.190E-02
     0.0343             5.812E-16            3.188E-02
     0.0359             5.803E-16            3.183E-02
     0.0375             5.793E-16            3.178E-02
     0.0379             5.791E-16            3.177E-02
     0.0399             5.780E-16            3.170E-02
     0.0407             5.775E-16            3.168E-02
     0.0419             5.768E-16            3.164E-02
     0.0439             5.757E-16            3.158E-02
     0.0439             5.757E-16            3.158E-02
     0.0459             5.746E-16            3.152E-02
     0.0471             5.739E-16            3.148E-02
     0.0479             5.735E-16            3.146E-02
     0.0499             5.724E-16            3.140E-02
     0.0504             5.721E-16            3.138E-02
     0.0519             5.714E-16            3.134E-02
     0.0536             5.704E-16            3.129E-02
     0.0539             5.703E-16            3.128E-02
     0.0559             5.693E-16            3.123E-02
     0.0569             5.688E-16            3.120E-02
     0.0579             5.683E-16            3.117E-02
     0.0599             5.673E-16            3.112E-02
     0.0601             5.671E-16            3.111E-02
     0.0619             5.663E-16            3.106E-02
     0.0634             5.655E-16            3.102E-02
     0.0639             5.653E-16            3.101E-02
     0.0659             5.644E-16            3.096E-02
     0.0667             5.640E-16            3.094E-02
     0.0679             5.634E-16            3.091E-02
     0.0699             5.625E-16            3.085E-02
     0.0700             5.624E-16            3.085E-02
     0.0719             5.616E-16            3.080E-02
     0.0733             5.609E-16            3.077E-02
     0.0739             5.607E-16            3.076E-02
     0.0759             5.598E-16            3.071E-02
     0.0766             5.595E-16            3.069E-02
     0.0779             5.589E-16            3.066E-02
     0.0799             5.581E-16            3.061E-02
     0.0799             5.581E-16            3.061E-02
     0.0819             5.572E-16            3.057E-02
     0.0832             5.567E-16            3.054E-02
     0.0839             5.564E-16            3.052E-02
     0.0859             5.556E-16            3.048E-02
     0.0865             5.553E-16            3.046E-02
     0.0879             5.548E-16            3.043E-02
     0.0899             5.540E-16            3.039E-02
     0.0899             5.540E-16            3.039E-02
     0.0919             5.532E-16            3.035E-02
     0.0932             5.527E-16            3.032E-02
     0.0939             5.524E-16            3.030E-02
     0.0959             5.517E-16            3.026E-02
     0.0965             5.514E-16            3.025E-02
     0.0979             5.510E-16            3.022E-02
     0.0999             5.502E-16            3.018E-02
     0.0999             5.502E-16            3.018E-02
     0.1019             5.495E-16            3.014E-02
     0.1033             5.490E-16            3.012E-02
     0.1039             5.488E-16            3.011E-02
     0.1059             5.481E-16            3.007E-02
     0.1066             5.479E-16            3.005E-02
     0.1079             5.475E-16            3.003E-02
     0.1099             5.468E-16            2.999E-02
     0.1100             5.467E-16            2.999E-02
     0.1119             5.461E-16            2.996E-02
     0.1134             5.457E-16            2.993E-02
     0.1139             5.455E-16            2.992E-02
     0.1159             5.449E-16            2.989E-02
     0.1167             5.446E-16            2.987E-02
     0.1179             5.442E-16            2.985E-02
     0.1199             5.436E-16            2.982E-02
     0.1201             5.436E-16            2.982E-02
     0.1219             5.431E-16            2.979E-02
     0.1235             5.426E-16            2.976E-02
     0.1239             5.425E-16            2.976E-02
     0.1259             5.419E-16            2.973E-02
     0.1269             5.416E-16            2.971E-02
     0.1279             5.413E-16            2.969E-02
     0.1299             5.408E-16            2.966E-02
     0.1303             5.407E-16            2.966E-02
