                 System #        8
     Galactic longitude l   -13.87
      Galactic latitude b     0.00
           distance (kpc)    14.09
    orbital period (days)   22.791
    arg. periastron (deg)  536.913
        inclination (deg)   97.763
             eccentricity    0.661
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             4.091E-17            2.244E-03
     0.0009             4.241E-17            2.326E-03
     0.0014             4.345E-17            2.383E-03
     0.0016             4.388E-17            2.407E-03
     0.0023             4.531E-17            2.486E-03
     0.0030             4.670E-17            2.562E-03
     0.0034             4.748E-17            2.604E-03
     0.0037             4.804E-17            2.635E-03
     0.0044             4.932E-17            2.705E-03
     0.0051             5.053E-17            2.772E-03
     0.0054             5.101E-17            2.798E-03
     0.0058             5.166E-17            2.834E-03
     0.0065             5.272E-17            2.892E-03
     0.0073             5.369E-17            2.945E-03
     0.0074             5.389E-17            2.956E-03
     0.0080             5.457E-17            2.993E-03
     0.0087             5.535E-17            3.036E-03
     0.0094             5.599E-17            3.071E-03
     0.0094             5.601E-17            3.073E-03
     0.0102             5.656E-17            3.103E-03
     0.0109             5.699E-17            3.126E-03
     0.0114             5.720E-17            3.138E-03
     0.0117             5.728E-17            3.142E-03
     0.0124             5.744E-17            3.151E-03
     0.0132             5.746E-17            3.152E-03
     0.0134             5.743E-17            3.151E-03
     0.0139             5.734E-17            3.145E-03
     0.0147             5.706E-17            3.130E-03
     0.0154             5.667E-17            3.109E-03
     0.0155             5.664E-17            3.107E-03
     0.0162             5.606E-17            3.075E-03
     0.0170             5.533E-17            3.035E-03
     0.0174             5.493E-17            3.013E-03
     0.0178             5.445E-17            2.987E-03
     0.0186             5.342E-17            2.930E-03
     0.0194             5.228E-17            2.868E-03
     0.0194             5.225E-17            2.866E-03
     0.0203             5.093E-17            2.794E-03
     0.0211             4.947E-17            2.714E-03
     0.0214             4.884E-17            2.679E-03
     0.0219             4.789E-17            2.627E-03
     0.0227             4.618E-17            2.533E-03
     0.0234             4.474E-17            2.454E-03
     0.0236             4.436E-17            2.433E-03
     0.0244             4.243E-17            2.327E-03
     0.0253             4.041E-17            2.217E-03
     0.0254             4.014E-17            2.202E-03
     0.0262             3.831E-17            2.102E-03
     0.0271             3.615E-17            1.983E-03
     0.0274             3.526E-17            1.934E-03
     0.0279             3.395E-17            1.862E-03
     0.0288             3.171E-17            1.739E-03
     0.0294             3.028E-17            1.661E-03
     0.0297             2.945E-17            1.616E-03
     0.0307             2.721E-17            1.492E-03
     0.0314             2.539E-17            1.393E-03
     0.0316             2.498E-17            1.370E-03
     0.0325             2.279E-17            1.250E-03
     0.0334             2.078E-17            1.140E-03
     0.0335             2.066E-17            1.133E-03
     0.0344             1.860E-17            1.020E-03
     0.0354             1.662E-17            9.119E-04
     0.0354             1.658E-17            9.093E-04
     0.0364             1.475E-17            8.089E-04
     0.0374             1.298E-17            7.123E-04
     0.0374             1.288E-17            7.065E-04
     0.0383             1.134E-17            6.223E-04
     0.0394             9.829E-18            5.392E-04
     0.0394             9.751E-18            5.349E-04
     0.0404             8.450E-18            4.635E-04
     0.0414             7.168E-18            3.932E-04
     0.0414             7.162E-18            3.929E-04
     0.0425             6.003E-18            3.293E-04
     0.0434             5.076E-18            2.784E-04
     0.0435             4.996E-18            2.740E-04
     0.0446             4.138E-18            2.270E-04
     0.0454             3.565E-18            1.956E-04
     0.0456             3.422E-18            1.877E-04
     0.0467             2.838E-18            1.557E-04
     0.0474             2.538E-18            1.392E-04
     0.0478             2.373E-18            1.302E-04
     0.0490             2.016E-18            1.106E-04
     0.0494             1.898E-18            1.041E-04
     0.0501             1.754E-18            9.624E-05
     0.0512             1.578E-18            8.654E-05
     0.0514             1.555E-18            8.529E-05
     0.0524             1.476E-18            8.094E-05
     0.0534             1.442E-18            7.909E-05
     0.0535             1.441E-18            7.906E-05
     0.0547             1.470E-18            8.063E-05
     0.0554             1.516E-18            8.315E-05
     0.0559             1.559E-18            8.551E-05
     0.0571             1.707E-18            9.361E-05
     0.0574             1.754E-18            9.624E-05
     0.0583             1.913E-18            1.049E-04
     0.0594             2.147E-18            1.178E-04
     0.0595             2.178E-18            1.195E-04
     0.0608             2.501E-18            1.372E-04
     0.0614             2.684E-18            1.472E-04
     0.0620             2.883E-18            1.581E-04
     0.0633             3.319E-18            1.821E-04
     0.0634             3.354E-18            1.840E-04
