                 System #       80
     Galactic longitude l     0.30
      Galactic latitude b     0.00
           distance (kpc)    11.90
    orbital period (days)    9.117
    arg. periastron (deg)  299.055
        inclination (deg)  105.911
             eccentricity    0.270
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             8.889E-17            4.876E-03
     0.0016             8.488E-17            4.656E-03
     0.0018             8.438E-17            4.628E-03
     0.0031             8.137E-17            4.464E-03
     0.0038             7.994E-17            4.385E-03
     0.0046             7.836E-17            4.299E-03
     0.0058             7.639E-17            4.191E-03
     0.0061             7.588E-17            4.163E-03
     0.0077             7.392E-17            4.055E-03
     0.0078             7.375E-17            4.045E-03
     0.0092             7.249E-17            3.976E-03
     0.0098             7.204E-17            3.952E-03
     0.0107             7.160E-17            3.928E-03
     0.0118             7.129E-17            3.911E-03
     0.0122             7.126E-17            3.909E-03
     0.0137             7.146E-17            3.920E-03
     0.0138             7.151E-17            3.923E-03
     0.0152             7.221E-17            3.961E-03
     0.0158             7.271E-17            3.988E-03
     0.0167             7.351E-17            4.033E-03
     0.0178             7.491E-17            4.109E-03
     0.0181             7.537E-17            4.135E-03
     0.0196             7.778E-17            4.266E-03
     0.0198             7.809E-17            4.284E-03
     0.0211             8.072E-17            4.428E-03
     0.0218             8.228E-17            4.513E-03
     0.0226             8.422E-17            4.620E-03
     0.0238             8.744E-17            4.797E-03
     0.0241             8.824E-17            4.840E-03
     0.0256             9.280E-17            5.090E-03
     0.0258             9.359E-17            5.134E-03
     0.0270             9.785E-17            5.368E-03
     0.0278             1.007E-16            5.522E-03
     0.0285             1.034E-16            5.673E-03
     0.0298             1.086E-16            5.959E-03
     0.0300             1.094E-16            6.003E-03
     0.0315             1.159E-16            6.357E-03
     0.0318             1.174E-16            6.441E-03
     0.0329             1.228E-16            6.734E-03
     0.0338             1.270E-16            6.965E-03
     0.0344             1.300E-16            7.133E-03
     0.0358             1.372E-16            7.528E-03
     0.0359             1.376E-16            7.550E-03
     0.0374             1.455E-16            7.983E-03
     0.0378             1.480E-16            8.121E-03
     0.0388             1.537E-16            8.432E-03
     0.0398             1.594E-16            8.741E-03
     0.0403             1.621E-16            8.893E-03
     0.0418             1.707E-16            9.363E-03
     0.0418             1.710E-16            9.382E-03
     0.0432             1.794E-16            9.841E-03
     0.0438             1.830E-16            1.004E-02
     0.0447             1.882E-16            1.032E-02
     0.0458             1.950E-16            1.070E-02
     0.0461             1.971E-16            1.081E-02
     0.0476             2.059E-16            1.130E-02
     0.0478             2.072E-16            1.137E-02
     0.0491             2.148E-16            1.178E-02
     0.0498             2.193E-16            1.203E-02
     0.0505             2.235E-16            1.226E-02
     0.0518             2.312E-16            1.268E-02
     0.0520             2.322E-16            1.274E-02
     0.0534             2.407E-16            1.320E-02
     0.0538             2.428E-16            1.332E-02
     0.0549             2.491E-16            1.366E-02
     0.0558             2.542E-16            1.394E-02
     0.0564             2.573E-16            1.411E-02
     0.0578             2.651E-16            1.454E-02
     0.0578             2.652E-16            1.455E-02
     0.0593             2.729E-16            1.497E-02
     0.0598             2.756E-16            1.512E-02
     0.0607             2.803E-16            1.538E-02
     0.0618             2.856E-16            1.567E-02
     0.0622             2.875E-16            1.577E-02
     0.0637             2.944E-16            1.615E-02
     0.0638             2.951E-16            1.619E-02
     0.0651             3.010E-16            1.651E-02
     0.0658             3.040E-16            1.668E-02
     0.0666             3.073E-16            1.686E-02
     0.0678             3.123E-16            1.713E-02
     0.0680             3.132E-16            1.718E-02
     0.0695             3.189E-16            1.749E-02
     0.0698             3.200E-16            1.755E-02
     0.0710             3.242E-16            1.778E-02
     0.0718             3.271E-16            1.794E-02
     0.0724             3.292E-16            1.806E-02
     0.0738             3.336E-16            1.830E-02
     0.0739             3.339E-16            1.831E-02
     0.0754             3.382E-16            1.855E-02
     0.0758             3.395E-16            1.862E-02
     0.0768             3.423E-16            1.877E-02
     0.0778             3.448E-16            1.891E-02
     0.0783             3.460E-16            1.898E-02
     0.0798             3.494E-16            1.916E-02
     0.0798             3.495E-16            1.917E-02
     0.0812             3.525E-16            1.934E-02
     0.0818             3.536E-16            1.940E-02
     0.0827             3.553E-16            1.949E-02
     0.0838             3.572E-16            1.959E-02
     0.0842             3.578E-16            1.962E-02
     0.0856             3.600E-16            1.975E-02
     0.0858             3.602E-16            1.976E-02
     0.0871             3.619E-16            1.985E-02
     0.0878             3.627E-16            1.989E-02
     0.0886             3.635E-16            1.994E-02
     0.0898             3.647E-16            2.000E-02
     0.0901             3.649E-16            2.002E-02
     0.0916             3.660E-16            2.008E-02
     0.0918             3.662E-16            2.009E-02
     0.0930             3.669E-16            2.013E-02
     0.0938             3.672E-16            2.014E-02
     0.0945             3.675E-16            2.016E-02
     0.0958             3.678E-16            2.018E-02
     0.0960             3.679E-16            2.018E-02
     0.0975             3.680E-16            2.019E-02
     0.0978             3.680E-16            2.019E-02
     0.0990             3.680E-16            2.018E-02
     0.0998             3.678E-16            2.018E-02
     0.1005             3.677E-16            2.017E-02
     0.1018             3.673E-16            2.015E-02
     0.1020             3.672E-16            2.014E-02
     0.1035             3.666E-16            2.011E-02
     0.1038             3.664E-16            2.010E-02
     0.1050             3.657E-16            2.006E-02
     0.1058             3.652E-16            2.003E-02
     0.1065             3.647E-16            2.001E-02
     0.1078             3.637E-16            1.995E-02
     0.1080             3.635E-16            1.994E-02
     0.1095             3.622E-16            1.987E-02
     0.1098             3.619E-16            1.985E-02
     0.1110             3.607E-16            1.978E-02
     0.1118             3.598E-16            1.974E-02
     0.1125             3.590E-16            1.969E-02
     0.1138             3.575E-16            1.961E-02
     0.1140             3.572E-16            1.960E-02
     0.1156             3.553E-16            1.949E-02
     0.1158             3.550E-16            1.947E-02
     0.1171             3.533E-16            1.938E-02
     0.1178             3.523E-16            1.932E-02
     0.1186             3.511E-16            1.926E-02
     0.1198             3.494E-16            1.916E-02
     0.1201             3.488E-16            1.913E-02
     0.1217             3.464E-16            1.900E-02
     0.1218             3.462E-16            1.899E-02
     0.1232             3.439E-16            1.886E-02
     0.1238             3.429E-16            1.881E-02
     0.1248             3.413E-16            1.872E-02
     0.1258             3.395E-16            1.862E-02
     0.1263             3.386E-16            1.857E-02
     0.1278             3.359E-16            1.842E-02
     0.1279             3.358E-16            1.842E-02
     0.1294             3.329E-16            1.826E-02
     0.1298             3.321E-16            1.822E-02
     0.1310             3.299E-16            1.810E-02
     0.1318             3.283E-16            1.801E-02
     0.1325             3.268E-16            1.793E-02
     0.1338             3.243E-16            1.779E-02
     0.1341             3.237E-16            1.776E-02
     0.1357             3.205E-16            1.758E-02
     0.1358             3.202E-16            1.756E-02
     0.1372             3.172E-16            1.740E-02
     0.1378             3.159E-16            1.733E-02
     0.1388             3.138E-16            1.721E-02
     0.1398             3.116E-16            1.709E-02
     0.1404             3.104E-16            1.702E-02
     0.1418             3.072E-16            1.685E-02
     0.1420             3.069E-16            1.683E-02
     0.1436             3.033E-16            1.664E-02
     0.1438             3.027E-16            1.661E-02
     0.1452             2.997E-16            1.644E-02
     0.1458             2.982E-16            1.636E-02
     0.1468             2.960E-16            1.624E-02
     0.1478             2.935E-16            1.610E-02
     0.1484             2.922E-16            1.603E-02
     0.1498             2.888E-16            1.584E-02
     0.1500             2.885E-16            1.582E-02
     0.1516             2.846E-16            1.561E-02
     0.1518             2.841E-16            1.558E-02
     0.1532             2.808E-16            1.540E-02
     0.1538             2.793E-16            1.532E-02
     0.1548             2.768E-16            1.519E-02
     0.1558             2.744E-16            1.505E-02
     0.1565             2.729E-16            1.497E-02
     0.1578             2.696E-16            1.479E-02
     0.1581             2.689E-16            1.475E-02
     0.1597             2.649E-16            1.453E-02
     0.1598             2.646E-16            1.452E-02
     0.1614             2.608E-16            1.431E-02
     0.1618             2.597E-16            1.425E-02
     0.1630             2.567E-16            1.408E-02
     0.1638             2.547E-16            1.397E-02
     0.1647             2.526E-16            1.386E-02
     0.1658             2.497E-16            1.370E-02
     0.1663             2.485E-16            1.363E-02
     0.1678             2.447E-16            1.343E-02
     0.1680             2.443E-16            1.340E-02
     0.1697             2.401E-16            1.317E-02
     0.1698             2.398E-16            1.315E-02
     0.1713             2.360E-16            1.294E-02
     0.1718             2.347E-16            1.288E-02
     0.1730             2.318E-16            1.271E-02
     0.1738             2.297E-16            1.260E-02
     0.1747             2.275E-16            1.248E-02
     0.1758             2.248E-16            1.233E-02
     0.1764             2.233E-16            1.225E-02
     0.1778             2.198E-16            1.206E-02
     0.1781             2.191E-16            1.202E-02
     0.1798             2.149E-16            1.179E-02
     0.1798             2.148E-16            1.178E-02
     0.1815             2.106E-16            1.155E-02
     0.1818             2.098E-16            1.151E-02
     0.1832             2.064E-16            1.132E-02
     0.1838             2.049E-16            1.124E-02
     0.1849             2.022E-16            1.109E-02
     0.1858             2.000E-16            1.097E-02
     0.1866             1.980E-16            1.086E-02
     0.1878             1.951E-16            1.070E-02
     0.1884             1.938E-16            1.063E-02
     0.1898             1.903E-16            1.044E-02
     0.1901             1.896E-16            1.040E-02
     0.1918             1.855E-16            1.017E-02
