                 System #       81
     Galactic longitude l   -32.43
      Galactic latitude b     0.00
           distance (kpc)    14.57
    orbital period (days)    2.902
    arg. periastron (deg)  532.764
        inclination (deg)  136.643
             eccentricity    0.192
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             5.875E-17            3.223E-03
     0.0014             5.767E-17            3.163E-03
     0.0022             5.696E-17            3.124E-03
     0.0036             5.565E-17            3.053E-03
     0.0042             5.520E-17            3.028E-03
     0.0059             5.369E-17            2.945E-03
     0.0062             5.347E-17            2.933E-03
     0.0082             5.177E-17            2.840E-03
     0.0082             5.176E-17            2.839E-03
     0.0102             5.011E-17            2.749E-03
     0.0104             4.988E-17            2.736E-03
     0.0122             4.848E-17            2.659E-03
     0.0127             4.804E-17            2.635E-03
     0.0142             4.687E-17            2.571E-03
     0.0150             4.624E-17            2.537E-03
     0.0162             4.530E-17            2.485E-03
     0.0172             4.449E-17            2.441E-03
     0.0182             4.377E-17            2.401E-03
     0.0195             4.278E-17            2.347E-03
     0.0202             4.226E-17            2.318E-03
     0.0217             4.112E-17            2.256E-03
     0.0222             4.079E-17            2.238E-03
     0.0240             3.950E-17            2.167E-03
     0.0242             3.935E-17            2.159E-03
     0.0262             3.795E-17            2.081E-03
     0.0262             3.792E-17            2.080E-03
     0.0282             3.657E-17            2.006E-03
     0.0284             3.639E-17            1.996E-03
     0.0302             3.523E-17            1.932E-03
     0.0307             3.490E-17            1.914E-03
     0.0322             3.392E-17            1.861E-03
     0.0329             3.345E-17            1.835E-03
     0.0342             3.264E-17            1.791E-03
     0.0351             3.205E-17            1.758E-03
     0.0362             3.140E-17            1.722E-03
     0.0373             3.069E-17            1.683E-03
     0.0382             3.019E-17            1.656E-03
     0.0395             2.937E-17            1.611E-03
     0.0402             2.901E-17            1.591E-03
     0.0418             2.809E-17            1.541E-03
     0.0422             2.786E-17            1.528E-03
     0.0440             2.685E-17            1.473E-03
     0.0442             2.674E-17            1.467E-03
     0.0462             2.566E-17            1.407E-03
     0.0462             2.565E-17            1.407E-03
     0.0482             2.460E-17            1.350E-03
     0.0484             2.449E-17            1.344E-03
     0.0502             2.358E-17            1.293E-03
     0.0506             2.338E-17            1.282E-03
     0.0522             2.259E-17            1.239E-03
     0.0528             2.230E-17            1.223E-03
     0.0542             2.162E-17            1.186E-03
     0.0549             2.126E-17            1.166E-03
     0.0562             2.069E-17            1.135E-03
     0.0571             2.025E-17            1.111E-03
     0.0582             1.979E-17            1.086E-03
     0.0593             1.929E-17            1.058E-03
     0.0602             1.892E-17            1.038E-03
     0.0615             1.836E-17            1.007E-03
     0.0622             1.808E-17            9.915E-04
     0.0636             1.747E-17            9.582E-04
     0.0642             1.726E-17            9.468E-04
     0.0658             1.661E-17            9.111E-04
     0.0662             1.647E-17            9.037E-04
     0.0680             1.578E-17            8.659E-04
     0.0682             1.572E-17            8.621E-04
     0.0701             1.499E-17            8.225E-04
     0.0702             1.498E-17            8.219E-04
     0.0722             1.428E-17            7.832E-04
     0.0723             1.424E-17            7.809E-04
     0.0742             1.360E-17            7.460E-04
     0.0744             1.351E-17            7.411E-04
     0.0762             1.295E-17            7.102E-04
     0.0766             1.281E-17            7.029E-04
     0.0782             1.232E-17            6.758E-04
     0.0787             1.215E-17            6.665E-04
     0.0802             1.172E-17            6.427E-04
     0.0809             1.151E-17            6.316E-04
     0.0822             1.114E-17            6.110E-04
     0.0830             1.091E-17            5.984E-04
     0.0842             1.058E-17            5.805E-04
     0.0851             1.033E-17            5.666E-04
     0.0862             1.005E-17            5.513E-04
     0.0872             9.777E-18            5.363E-04
     0.0882             9.541E-18            5.234E-04
     0.0893             9.251E-18            5.075E-04
     0.0902             9.054E-18            4.966E-04
     0.0915             8.750E-18            4.800E-04
     0.0922             8.588E-18            4.711E-04
     0.0936             8.274E-18            4.539E-04
     0.0942             8.142E-18            4.466E-04
     0.0957             7.821E-18            4.290E-04
     0.0962             7.717E-18            4.233E-04
     0.0978             7.391E-18            4.054E-04
     0.0982             7.311E-18            4.010E-04
     0.0999             6.982E-18            3.830E-04
     0.1002             6.924E-18            3.798E-04
     0.1019             6.595E-18            3.618E-04
     0.1022             6.555E-18            3.596E-04
     0.1040             6.228E-18            3.416E-04
     0.1042             6.205E-18            3.404E-04
     0.1061             5.880E-18            3.226E-04
     0.1062             5.871E-18            3.221E-04
     0.1082             5.554E-18            3.047E-04
     0.1082             5.551E-18            3.045E-04
     0.1102             5.253E-18            2.881E-04
     0.1102             5.240E-18            2.874E-04
     0.1122             4.967E-18            2.725E-04
     0.1123             4.946E-18            2.713E-04
     0.1142             4.696E-18            2.576E-04
     0.1144             4.668E-18            2.561E-04
     0.1162             4.439E-18            2.435E-04
     0.1164             4.406E-18            2.417E-04
     0.1182             4.196E-18            2.302E-04
     0.1185             4.159E-18            2.281E-04
     0.1202             3.967E-18            2.176E-04
     0.1205             3.926E-18            2.154E-04
     0.1222             3.749E-18            2.057E-04
     0.1226             3.707E-18            2.033E-04
     0.1242             3.544E-18            1.944E-04
     0.1246             3.500E-18            1.920E-04
     0.1262             3.350E-18            1.838E-04
     0.1266             3.306E-18            1.814E-04
     0.1282             3.168E-18            1.738E-04
     0.1287             3.124E-18            1.714E-04
     0.1302             2.995E-18            1.643E-04
     0.1307             2.952E-18            1.619E-04
     0.1322             2.833E-18            1.554E-04
