                 System #       82
     Galactic longitude l    65.51
      Galactic latitude b     0.00
           distance (kpc)     7.43
    orbital period (days)  739.276
    arg. periastron (deg)  232.974
        inclination (deg)  168.306
             eccentricity    0.457
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0013             6.094E-15            3.343E-01
     0.0018             6.094E-15            3.343E-01
     0.0038             6.097E-15            3.344E-01
     0.0042             6.097E-15            3.345E-01
     0.0058             6.100E-15            3.346E-01
     0.0071             6.101E-15            3.347E-01
     0.0078             6.102E-15            3.347E-01
     0.0098             6.105E-15            3.349E-01
     0.0100             6.106E-15            3.349E-01
     0.0118             6.108E-15            3.351E-01
     0.0129             6.110E-15            3.352E-01
     0.0138             6.112E-15            3.352E-01
     0.0158             6.115E-15            3.354E-01
     0.0158             6.115E-15            3.354E-01
     0.0178             6.118E-15            3.356E-01
     0.0187             6.120E-15            3.357E-01
     0.0198             6.122E-15            3.358E-01
     0.0217             6.125E-15            3.360E-01
     0.0218             6.126E-15            3.360E-01
     0.0238             6.129E-15            3.362E-01
     0.0246             6.131E-15            3.363E-01
     0.0258             6.133E-15            3.364E-01
     0.0275             6.137E-15            3.366E-01
     0.0278             6.137E-15            3.367E-01
     0.0298             6.142E-15            3.369E-01
     0.0303             6.143E-15            3.370E-01
     0.0318             6.146E-15            3.371E-01
     0.0332             6.149E-15            3.373E-01
     0.0338             6.151E-15            3.374E-01
     0.0358             6.155E-15            3.376E-01
     0.0361             6.156E-15            3.377E-01
     0.0378             6.160E-15            3.379E-01
     0.0390             6.163E-15            3.381E-01
     0.0398             6.165E-15            3.382E-01
     0.0418             6.170E-15            3.384E-01
     0.0419             6.170E-15            3.385E-01
     0.0438             6.175E-15            3.387E-01
     0.0448             6.178E-15            3.389E-01
     0.0458             6.180E-15            3.390E-01
     0.0477             6.185E-15            3.393E-01
     0.0478             6.186E-15            3.393E-01
     0.0498             6.191E-15            3.396E-01
     0.0506             6.193E-15            3.397E-01
     0.0518             6.197E-15            3.399E-01
     0.0534             6.202E-15            3.402E-01
     0.0538             6.203E-15            3.403E-01
     0.0558             6.209E-15            3.406E-01
     0.0563             6.210E-15            3.407E-01
     0.0578             6.215E-15            3.409E-01
     0.0592             6.219E-15            3.412E-01
     0.0598             6.221E-15            3.413E-01
     0.0618             6.228E-15            3.416E-01
     0.0620             6.228E-15            3.417E-01
     0.0638             6.234E-15            3.420E-01
     0.0649             6.238E-15            3.422E-01
     0.0658             6.241E-15            3.423E-01
     0.0677             6.247E-15            3.427E-01
     0.0678             6.248E-15            3.427E-01
     0.0698             6.255E-15            3.431E-01
     0.0706             6.257E-15            3.432E-01
     0.0718             6.262E-15            3.435E-01
     0.0734             6.268E-15            3.438E-01
     0.0738             6.269E-15            3.439E-01
     0.0758             6.276E-15            3.443E-01
     0.0763             6.278E-15            3.444E-01
     0.0778             6.284E-15            3.447E-01
     0.0791             6.289E-15            3.450E-01
     0.0798             6.292E-15            3.451E-01
     0.0818             6.300E-15            3.456E-01
     0.0820             6.300E-15            3.456E-01
     0.0838             6.308E-15            3.460E-01
     0.0848             6.312E-15            3.462E-01
     0.0858             6.316E-15            3.464E-01
     0.0876             6.323E-15            3.469E-01
     0.0878             6.324E-15            3.469E-01
     0.0898             6.333E-15            3.474E-01
     0.0904             6.335E-15            3.475E-01
     0.0918             6.341E-15            3.478E-01
     0.0933             6.348E-15            3.482E-01
     0.0938             6.350E-15            3.483E-01
     0.0958             6.359E-15            3.488E-01
     0.0961             6.360E-15            3.489E-01
     0.0978             6.368E-15            3.493E-01
     0.0989             6.373E-15            3.496E-01
     0.0998             6.377E-15            3.498E-01
     0.1017             6.386E-15            3.503E-01
     0.1018             6.387E-15            3.503E-01
     0.1038             6.396E-15            3.509E-01
     0.1045             6.400E-15            3.511E-01
     0.1058             6.406E-15            3.514E-01
     0.1072             6.413E-15            3.518E-01
     0.1078             6.416E-15            3.520E-01
     0.1098             6.426E-15            3.525E-01
     0.1100             6.428E-15            3.526E-01
     0.1118             6.437E-15            3.531E-01
     0.1128             6.442E-15            3.534E-01
     0.1138             6.447E-15            3.537E-01
     0.1156             6.457E-15            3.542E-01
     0.1158             6.458E-15            3.542E-01
     0.1178             6.468E-15            3.548E-01
     0.1183             6.471E-15            3.550E-01
     0.1198             6.479E-15            3.554E-01
     0.1211             6.487E-15            3.558E-01
     0.1218             6.491E-15            3.560E-01
     0.1238             6.502E-15            3.567E-01
     0.1238             6.502E-15            3.567E-01
     0.1258             6.514E-15            3.573E-01
     0.1266             6.518E-15            3.576E-01
     0.1278             6.525E-15            3.579E-01
     0.1293             6.534E-15            3.584E-01
     0.1298             6.537E-15            3.586E-01
     0.1318             6.549E-15            3.593E-01
     0.1320             6.551E-15            3.593E-01
     0.1338             6.562E-15            3.599E-01
     0.1348             6.568E-15            3.603E-01
     0.1358             6.574E-15            3.606E-01
     0.1375             6.585E-15            3.612E-01
     0.1378             6.587E-15            3.613E-01
     0.1398             6.600E-15            3.620E-01
     0.1402             6.602E-15            3.622E-01
     0.1418             6.613E-15            3.627E-01
     0.1429             6.620E-15            3.631E-01
     0.1438             6.626E-15            3.635E-01
     0.1456             6.638E-15            3.641E-01
     0.1458             6.639E-15            3.642E-01
     0.1478             6.653E-15            3.650E-01
     0.1483             6.656E-15            3.651E-01
     0.1498             6.667E-15            3.657E-01
     0.1509             6.675E-15            3.662E-01
     0.1518             6.681E-15            3.665E-01
     0.1536             6.694E-15            3.672E-01
     0.1538             6.695E-15            3.673E-01
     0.1558             6.710E-15            3.681E-01
     0.1563             6.714E-15            3.683E-01
     0.1578             6.725E-15            3.689E-01
     0.1589             6.733E-15            3.694E-01
     0.1598             6.740E-15            3.697E-01
     0.1616             6.753E-15            3.705E-01
     0.1618             6.755E-15            3.705E-01
     0.1638             6.770E-15            3.714E-01
     0.1642             6.774E-15            3.716E-01
     0.1658             6.786E-15            3.722E-01
     0.1668             6.794E-15            3.727E-01
     0.1678             6.802E-15            3.731E-01
     0.1695             6.815E-15            3.739E-01
     0.1698             6.818E-15            3.740E-01
     0.1718             6.834E-15            3.749E-01
     0.1721             6.837E-15            3.750E-01
     0.1738             6.851E-15            3.758E-01
     0.1747             6.859E-15            3.762E-01
     0.1758             6.868E-15            3.767E-01
     0.1773             6.881E-15            3.774E-01
     0.1778             6.885E-15            3.777E-01
     0.1798             6.902E-15            3.786E-01
     0.1799             6.903E-15            3.787E-01
     0.1818             6.920E-15            3.796E-01
     0.1824             6.926E-15            3.799E-01
     0.1838             6.938E-15            3.806E-01
     0.1850             6.949E-15            3.812E-01
     0.1858             6.956E-15            3.816E-01
     0.1876             6.972E-15            3.825E-01
     0.1878             6.974E-15            3.826E-01
     0.1898             6.993E-15            3.836E-01
     0.1901             6.996E-15            3.838E-01
     0.1918             7.012E-15            3.846E-01
     0.1927             7.020E-15            3.851E-01
     0.1938             7.031E-15            3.857E-01
     0.1952             7.045E-15            3.864E-01
     0.1958             7.050E-15            3.867E-01
     0.1977             7.069E-15            3.878E-01
     0.1978             7.070E-15            3.878E-01
     0.1998             7.090E-15            3.889E-01
     0.2002             7.095E-15            3.892E-01
     0.2018             7.110E-15            3.900E-01
     0.2027             7.120E-15            3.906E-01
     0.2038             7.131E-15            3.912E-01
