                 System #       85
     Galactic longitude l    17.07
      Galactic latitude b     0.00
           distance (kpc)     5.61
    orbital period (days) 3514.394
    arg. periastron (deg)  233.450
        inclination (deg)   55.551
             eccentricity    0.826
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0007             3.649E-17            2.002E-03
     0.0021             3.632E-17            1.992E-03
     0.0027             3.624E-17            1.988E-03
     0.0043             3.604E-17            1.977E-03
     0.0047             3.598E-17            1.974E-03
     0.0065             3.577E-17            1.962E-03
     0.0067             3.574E-17            1.960E-03
     0.0087             3.550E-17            1.948E-03
     0.0087             3.550E-17            1.947E-03
     0.0107             3.526E-17            1.934E-03
     0.0109             3.524E-17            1.933E-03
     0.0127             3.503E-17            1.922E-03
     0.0132             3.498E-17            1.919E-03
     0.0147             3.481E-17            1.910E-03
     0.0155             3.473E-17            1.905E-03
     0.0167             3.459E-17            1.897E-03
     0.0178             3.448E-17            1.891E-03
     0.0187             3.438E-17            1.886E-03
     0.0201             3.424E-17            1.878E-03
     0.0207             3.417E-17            1.874E-03
     0.0224             3.400E-17            1.865E-03
     0.0227             3.396E-17            1.863E-03
     0.0247             3.376E-17            1.852E-03
     0.0248             3.376E-17            1.852E-03
     0.0267             3.357E-17            1.841E-03
     0.0272             3.353E-17            1.839E-03
     0.0287             3.338E-17            1.831E-03
     0.0296             3.330E-17            1.827E-03
     0.0307             3.319E-17            1.821E-03
     0.0320             3.307E-17            1.814E-03
     0.0327             3.301E-17            1.810E-03
     0.0344             3.285E-17            1.802E-03
     0.0347             3.283E-17            1.801E-03
     0.0367             3.265E-17            1.791E-03
     0.0369             3.264E-17            1.790E-03
     0.0387             3.248E-17            1.782E-03
     0.0394             3.242E-17            1.779E-03
     0.0407             3.231E-17            1.772E-03
     0.0419             3.221E-17            1.767E-03
     0.0427             3.214E-17            1.763E-03
     0.0444             3.201E-17            1.756E-03
     0.0447             3.198E-17            1.754E-03
     0.0467             3.182E-17            1.746E-03
     0.0469             3.181E-17            1.745E-03
     0.0487             3.167E-17            1.737E-03
     0.0495             3.161E-17            1.734E-03
     0.0507             3.151E-17            1.729E-03
     0.0521             3.141E-17            1.723E-03
     0.0527             3.136E-17            1.720E-03
     0.0547             3.122E-17            1.713E-03
     0.0547             3.122E-17            1.712E-03
     0.0567             3.107E-17            1.704E-03
     0.0573             3.103E-17            1.702E-03
     0.0587             3.093E-17            1.697E-03
     0.0599             3.085E-17            1.692E-03
     0.0607             3.079E-17            1.689E-03
     0.0626             3.067E-17            1.682E-03
