                 System #       88
     Galactic longitude l     4.75
      Galactic latitude b     0.00
           distance (kpc)    15.32
    orbital period (days)    7.879
    arg. periastron (deg)  270.937
        inclination (deg)   83.877
             eccentricity    0.210
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0002             2.050E-16            1.125E-02
     0.0012             2.099E-16            1.151E-02
     0.0022             2.152E-16            1.181E-02
     0.0028             2.180E-16            1.196E-02
     0.0042             2.251E-16            1.235E-02
     0.0044             2.259E-16            1.239E-02
     0.0060             2.335E-16            1.281E-02
     0.0062             2.345E-16            1.286E-02
     0.0077             2.408E-16            1.321E-02
     0.0082             2.434E-16            1.335E-02
     0.0093             2.479E-16            1.360E-02
     0.0102             2.519E-16            1.382E-02
     0.0109             2.546E-16            1.397E-02
     0.0122             2.600E-16            1.426E-02
     0.0125             2.611E-16            1.432E-02
     0.0142             2.673E-16            1.466E-02
     0.0142             2.676E-16            1.468E-02
     0.0158             2.731E-16            1.498E-02
     0.0162             2.747E-16            1.507E-02
     0.0174             2.787E-16            1.529E-02
     0.0182             2.813E-16            1.543E-02
     0.0191             2.840E-16            1.558E-02
     0.0202             2.876E-16            1.577E-02
     0.0207             2.890E-16            1.585E-02
     0.0222             2.933E-16            1.609E-02
     0.0224             2.937E-16            1.611E-02
     0.0240             2.981E-16            1.635E-02
     0.0242             2.987E-16            1.638E-02
     0.0257             3.022E-16            1.658E-02
     0.0262             3.036E-16            1.665E-02
     0.0273             3.061E-16            1.679E-02
     0.0282             3.081E-16            1.690E-02
     0.0290             3.097E-16            1.699E-02
     0.0302             3.123E-16            1.713E-02
     0.0306             3.130E-16            1.717E-02
     0.0322             3.160E-16            1.733E-02
     0.0323             3.161E-16            1.734E-02
     0.0339             3.189E-16            1.749E-02
     0.0342             3.194E-16            1.752E-02
     0.0356             3.215E-16            1.764E-02
     0.0362             3.224E-16            1.769E-02
     0.0373             3.238E-16            1.776E-02
     0.0382             3.251E-16            1.783E-02
     0.0390             3.260E-16            1.788E-02
     0.0402             3.274E-16            1.796E-02
     0.0406             3.279E-16            1.798E-02
     0.0422             3.295E-16            1.807E-02
     0.0423             3.295E-16            1.808E-02
     0.0440             3.310E-16            1.816E-02
     0.0442             3.312E-16            1.817E-02
     0.0457             3.323E-16            1.823E-02
     0.0462             3.326E-16            1.825E-02
     0.0474             3.334E-16            1.829E-02
     0.0482             3.338E-16            1.831E-02
     0.0491             3.342E-16            1.833E-02
     0.0502             3.347E-16            1.836E-02
     0.0508             3.349E-16            1.837E-02
     0.0522             3.354E-16            1.840E-02
     0.0525             3.355E-16            1.840E-02
     0.0542             3.359E-16            1.842E-02
     0.0542             3.359E-16            1.842E-02
     0.0559             3.360E-16            1.843E-02
     0.0562             3.361E-16            1.843E-02
     0.0576             3.361E-16            1.844E-02
     0.0582             3.361E-16            1.843E-02
     0.0593             3.360E-16            1.843E-02
     0.0602             3.359E-16            1.842E-02
     0.0611             3.357E-16            1.842E-02
     0.0622             3.355E-16            1.840E-02
     0.0628             3.354E-16            1.840E-02
     0.0642             3.349E-16            1.837E-02
     0.0645             3.348E-16            1.837E-02
     0.0662             3.342E-16            1.833E-02
     0.0663             3.342E-16            1.833E-02
     0.0680             3.334E-16            1.829E-02
     0.0682             3.333E-16            1.828E-02
     0.0697             3.326E-16            1.824E-02
     0.0702             3.323E-16            1.823E-02
     0.0715             3.316E-16            1.819E-02
     0.0722             3.311E-16            1.816E-02
     0.0732             3.305E-16            1.813E-02
     0.0742             3.298E-16            1.809E-02
     0.0750             3.293E-16            1.806E-02
     0.0762             3.283E-16            1.801E-02
     0.0767             3.280E-16            1.799E-02
     0.0782             3.268E-16            1.793E-02
     0.0785             3.266E-16            1.791E-02
     0.0802             3.251E-16            1.783E-02
     0.0803             3.251E-16            1.783E-02
     0.0821             3.235E-16            1.774E-02
     0.0822             3.233E-16            1.773E-02
     0.0838             3.218E-16            1.765E-02
     0.0842             3.214E-16            1.763E-02
     0.0856             3.200E-16            1.756E-02
     0.0862             3.194E-16            1.752E-02
     0.0874             3.182E-16            1.745E-02
     0.0882             3.173E-16            1.740E-02
     0.0892             3.163E-16            1.735E-02
     0.0902             3.151E-16            1.728E-02
     0.0910             3.143E-16            1.724E-02
     0.0922             3.128E-16            1.716E-02
     0.0928             3.122E-16            1.712E-02
     0.0942             3.105E-16            1.703E-02
     0.0946             3.100E-16            1.701E-02
     0.0962             3.080E-16            1.690E-02
     0.0964             3.078E-16            1.688E-02
     0.0982             3.055E-16            1.676E-02
     0.0982             3.055E-16            1.676E-02
     0.1000             3.032E-16            1.663E-02
     0.1002             3.029E-16            1.661E-02
     0.1019             3.007E-16            1.650E-02
     0.1022             3.002E-16            1.647E-02
     0.1037             2.983E-16            1.636E-02
     0.1042             2.975E-16            1.632E-02
     0.1055             2.957E-16            1.622E-02
     0.1062             2.947E-16            1.616E-02
     0.1074             2.931E-16            1.608E-02
     0.1082             2.918E-16            1.601E-02
     0.1092             2.904E-16            1.593E-02
     0.1102             2.889E-16            1.585E-02
     0.1110             2.877E-16            1.578E-02
     0.1122             2.859E-16            1.568E-02
     0.1129             2.849E-16            1.563E-02
     0.1142             2.829E-16            1.552E-02
     0.1148             2.821E-16            1.547E-02
     0.1162             2.798E-16            1.535E-02
     0.1166             2.792E-16            1.532E-02
     0.1182             2.767E-16            1.518E-02
     0.1185             2.763E-16            1.515E-02
     0.1202             2.735E-16            1.500E-02
     0.1204             2.733E-16            1.499E-02
     0.1222             2.703E-16            1.482E-02
     0.1222             2.702E-16            1.482E-02
     0.1241             2.672E-16            1.466E-02
     0.1242             2.670E-16            1.465E-02
     0.1260             2.641E-16            1.449E-02
     0.1262             2.637E-16            1.446E-02
     0.1279             2.609E-16            1.431E-02
     0.1282             2.603E-16            1.428E-02
     0.1298             2.577E-16            1.414E-02
     0.1302             2.570E-16            1.410E-02
     0.1317             2.545E-16            1.396E-02
     0.1322             2.536E-16            1.391E-02
     0.1336             2.512E-16            1.378E-02
     0.1342             2.501E-16            1.372E-02
     0.1355             2.479E-16            1.360E-02
     0.1362             2.466E-16            1.353E-02
     0.1374             2.445E-16            1.341E-02
     0.1382             2.432E-16            1.334E-02
     0.1394             2.412E-16            1.323E-02
     0.1402             2.396E-16            1.314E-02
     0.1413             2.378E-16            1.304E-02
     0.1422             2.361E-16            1.295E-02
     0.1432             2.343E-16            1.285E-02
     0.1442             2.325E-16            1.276E-02
     0.1452             2.309E-16            1.267E-02
     0.1462             2.290E-16            1.256E-02
     0.1471             2.274E-16            1.247E-02
     0.1482             2.254E-16            1.236E-02
     0.1491             2.239E-16            1.228E-02
     0.1502             2.218E-16            1.217E-02
     0.1510             2.204E-16            1.209E-02
     0.1522             2.182E-16            1.197E-02
     0.1530             2.168E-16            1.189E-02
     0.1542             2.145E-16            1.177E-02
     0.1549             2.133E-16            1.170E-02
     0.1562             2.109E-16            1.157E-02
     0.1569             2.097E-16            1.150E-02
     0.1582             2.073E-16            1.137E-02
     0.1589             2.061E-16            1.130E-02
     0.1602             2.036E-16            1.117E-02
     0.1609             2.025E-16            1.111E-02
     0.1622             2.000E-16            1.097E-02
     0.1629             1.988E-16            1.091E-02
     0.1642             1.963E-16            1.077E-02
     0.1649             1.952E-16            1.071E-02
     0.1662             1.927E-16            1.057E-02
     0.1669             1.916E-16            1.051E-02
     0.1682             1.890E-16            1.037E-02
     0.1689             1.879E-16            1.031E-02
     0.1702             1.854E-16            1.017E-02
     0.1709             1.843E-16            1.011E-02
     0.1722             1.818E-16            9.971E-03
     0.1729             1.806E-16            9.908E-03
     0.1742             1.781E-16            9.772E-03
     0.1749             1.770E-16            9.707E-03
     0.1762             1.745E-16            9.573E-03
     0.1769             1.733E-16            9.507E-03
     0.1782             1.709E-16            9.376E-03
     0.1789             1.697E-16            9.306E-03
     0.1802             1.673E-16            9.178E-03
     0.1810             1.660E-16            9.106E-03
     0.1822             1.637E-16            8.982E-03
     0.1830             1.623E-16            8.906E-03
     0.1842             1.602E-16            8.786E-03
     0.1851             1.587E-16            8.706E-03
     0.1862             1.566E-16            8.591E-03
     0.1871             1.551E-16            8.507E-03
