                 System #       89
     Galactic longitude l    12.36
      Galactic latitude b     0.00
           distance (kpc)    11.82
    orbital period (days)    2.082
    arg. periastron (deg)  238.683
        inclination (deg)  120.105
             eccentricity    0.026
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0004             1.894E-19            1.039E-05
     0.0006             1.882E-19            1.033E-05
     0.0025             1.760E-19            9.657E-06
     0.0026             1.753E-19            9.614E-06
     0.0045             1.635E-19            8.966E-06
     0.0046             1.630E-19            8.941E-06
     0.0066             1.516E-19            8.314E-06
     0.0066             1.514E-19            8.304E-06
     0.0086             1.404E-19            7.703E-06
     0.0086             1.404E-19            7.699E-06
     0.0106             1.301E-19            7.136E-06
     0.0107             1.298E-19            7.120E-06
     0.0126             1.204E-19            6.603E-06
     0.0127             1.199E-19            6.576E-06
     0.0146             1.112E-19            6.101E-06
     0.0148             1.106E-19            6.064E-06
     0.0166             1.026E-19            5.630E-06
     0.0168             1.018E-19            5.585E-06
     0.0186             9.457E-20            5.188E-06
     0.0188             9.362E-20            5.135E-06
     0.0206             8.702E-20            4.773E-06
     0.0209             8.596E-20            4.715E-06
     0.0226             7.996E-20            4.386E-06
     0.0229             7.881E-20            4.323E-06
     0.0246             7.337E-20            4.025E-06
     0.0250             7.214E-20            3.957E-06
     0.0266             6.722E-20            3.687E-06
     0.0270             6.594E-20            3.617E-06
     0.0286             6.149E-20            3.373E-06
     0.0291             6.017E-20            3.300E-06
     0.0306             5.617E-20            3.081E-06
     0.0311             5.481E-20            3.007E-06
     0.0326             5.122E-20            2.810E-06
     0.0332             4.986E-20            2.735E-06
     0.0346             4.664E-20            2.559E-06
     0.0352             4.527E-20            2.483E-06
     0.0366             4.240E-20            2.326E-06
     0.0373             4.104E-20            2.251E-06
     0.0386             3.849E-20            2.111E-06
     0.0393             3.713E-20            2.037E-06
     0.0406             3.487E-20            1.913E-06
     0.0414             3.354E-20            1.840E-06
     0.0426             3.155E-20            1.730E-06
     0.0434             3.025E-20            1.659E-06
     0.0446             2.849E-20            1.563E-06
     0.0455             2.722E-20            1.493E-06
     0.0466             2.568E-20            1.409E-06
     0.0475             2.446E-20            1.342E-06
     0.0486             2.311E-20            1.268E-06
     0.0496             2.193E-20            1.203E-06
     0.0506             2.076E-20            1.139E-06
     0.0516             1.963E-20            1.077E-06
     0.0526             1.862E-20            1.021E-06
     0.0537             1.754E-20            9.620E-07
     0.0546             1.666E-20            9.141E-07
     0.0557             1.564E-20            8.578E-07
     0.0566             1.489E-20            8.167E-07
     0.0578             1.392E-20            7.634E-07
     0.0586             1.328E-20            7.283E-07
     0.0598             1.236E-20            6.780E-07
     0.0606             1.182E-20            6.483E-07
     0.0619             1.096E-20            6.010E-07
     0.0626             1.050E-20            5.760E-07
     0.0639             9.692E-21            5.316E-07
     0.0646             9.312E-21            5.108E-07
     0.0660             8.557E-21            4.694E-07
     0.0666             8.242E-21            4.521E-07
     0.0680             7.539E-21            4.135E-07
     0.0686             7.281E-21            3.994E-07
     0.0701             6.629E-21            3.636E-07
     0.0706             6.419E-21            3.521E-07
     0.0721             5.817E-21            3.191E-07
     0.0726             5.649E-21            3.099E-07
     0.0742             5.094E-21            2.794E-07
     0.0746             4.962E-21            2.722E-07
     0.0763             4.452E-21            2.442E-07
     0.0766             4.349E-21            2.386E-07
     0.0783             3.883E-21            2.130E-07
     0.0786             3.805E-21            2.087E-07
     0.0804             3.380E-21            1.854E-07
     0.0806             3.323E-21            1.823E-07
     0.0824             2.936E-21            1.611E-07
     0.0826             2.897E-21            1.589E-07
     0.0845             2.546E-21            1.396E-07
     0.0846             2.520E-21            1.382E-07
     0.0865             2.203E-21            1.208E-07
     0.0866             2.189E-21            1.201E-07
     0.0886             1.902E-21            1.044E-07
     0.0886             1.897E-21            1.041E-07
     0.0906             1.642E-21            9.005E-08
     0.0906             1.640E-21            8.997E-08
     0.0926             1.418E-21            7.779E-08
     0.0927             1.411E-21            7.742E-08
     0.0946             1.223E-21            6.709E-08
     0.0947             1.212E-21            6.650E-08
     0.0966             1.053E-21            5.776E-08
     0.0968             1.040E-21            5.703E-08
     0.0986             9.053E-22            4.966E-08
     0.0988             8.901E-22            4.883E-08
     0.1006             7.771E-22            4.263E-08
     0.1009             7.610E-22            4.174E-08
     0.1026             6.662E-22            3.655E-08
     0.1029             6.496E-22            3.564E-08
     0.1046             5.704E-22            3.129E-08
     0.1050             5.538E-22            3.038E-08
     0.1066             4.878E-22            2.676E-08
     0.1070             4.716E-22            2.587E-08
     0.1086             4.168E-22            2.286E-08
     0.1091             4.012E-22            2.201E-08
     0.1106             3.558E-22            1.952E-08
     0.1111             3.410E-22            1.871E-08
     0.1126             3.034E-22            1.665E-08
     0.1132             2.896E-22            1.589E-08
     0.1146             2.587E-22            1.419E-08
     0.1152             2.458E-22            1.348E-08
     0.1166             2.204E-22            1.209E-08
     0.1173             2.086E-22            1.144E-08
     0.1186             1.878E-22            1.030E-08
     0.1193             1.770E-22            9.707E-09
     0.1206             1.600E-22            8.775E-09
     0.1214             1.501E-22            8.236E-09
