                 System #        9
     Galactic longitude l    19.57
      Galactic latitude b     0.00
           distance (kpc)    14.10
    orbital period (days) 3627.522
    arg. periastron (deg)  320.548
        inclination (deg)  135.217
             eccentricity    0.225
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             1.238E-17            6.790E-04
     0.0011             1.237E-17            6.786E-04
     0.0020             1.236E-17            6.782E-04
     0.0036             1.235E-17            6.776E-04
     0.0040             1.235E-17            6.774E-04
     0.0060             1.234E-17            6.767E-04
     0.0060             1.234E-17            6.766E-04
     0.0080             1.232E-17            6.759E-04
     0.0084             1.232E-17            6.757E-04
     0.0100             1.231E-17            6.751E-04
     0.0108             1.230E-17            6.748E-04
     0.0120             1.229E-17            6.743E-04
     0.0132             1.228E-17            6.738E-04
     0.0140             1.228E-17            6.735E-04
     0.0157             1.227E-17            6.729E-04
     0.0160             1.226E-17            6.727E-04
     0.0180             1.225E-17            6.719E-04
     0.0181             1.225E-17            6.719E-04
     0.0200             1.224E-17            6.711E-04
     0.0205             1.223E-17            6.710E-04
     0.0220             1.222E-17            6.704E-04
     0.0229             1.221E-17            6.700E-04
     0.0240             1.221E-17            6.696E-04
     0.0253             1.220E-17            6.690E-04
     0.0260             1.219E-17            6.688E-04
     0.0277             1.218E-17            6.681E-04
     0.0280             1.218E-17            6.680E-04
     0.0300             1.216E-17            6.672E-04
     0.0301             1.216E-17            6.671E-04
     0.0320             1.215E-17            6.664E-04
     0.0325             1.214E-17            6.662E-04
     0.0340             1.213E-17            6.656E-04
     0.0349             1.213E-17            6.652E-04
     0.0360             1.212E-17            6.648E-04
     0.0373             1.211E-17            6.642E-04
     0.0380             1.210E-17            6.640E-04
     0.0397             1.209E-17            6.633E-04
     0.0400             1.209E-17            6.632E-04
     0.0420             1.207E-17            6.623E-04
     0.0421             1.207E-17            6.623E-04
     0.0440             1.206E-17            6.615E-04
     0.0445             1.206E-17            6.613E-04
     0.0460             1.204E-17            6.607E-04
     0.0469             1.204E-17            6.603E-04
     0.0480             1.203E-17            6.599E-04
     0.0493             1.202E-17            6.594E-04
     0.0500             1.201E-17            6.590E-04
     0.0516             1.200E-17            6.584E-04
     0.0520             1.200E-17            6.582E-04
     0.0540             1.198E-17            6.574E-04
     0.0540             1.198E-17            6.574E-04
     0.0560             1.197E-17            6.565E-04
     0.0564             1.197E-17            6.564E-04
     0.0580             1.195E-17            6.557E-04
     0.0588             1.195E-17            6.554E-04
     0.0600             1.194E-17            6.548E-04
     0.0611             1.193E-17            6.544E-04
     0.0620             1.192E-17            6.540E-04
     0.0635             1.191E-17            6.533E-04
     0.0640             1.191E-17            6.531E-04
     0.0659             1.189E-17            6.523E-04
     0.0660             1.189E-17            6.523E-04
     0.0680             1.187E-17            6.514E-04
     0.0682             1.187E-17            6.513E-04
     0.0700             1.186E-17            6.505E-04
     0.0706             1.185E-17            6.503E-04
     0.0720             1.184E-17            6.496E-04
     0.0729             1.184E-17            6.492E-04
     0.0740             1.183E-17            6.487E-04
     0.0753             1.182E-17            6.482E-04
     0.0760             1.181E-17            6.478E-04
     0.0776             1.180E-17            6.471E-04
     0.0780             1.179E-17            6.469E-04
     0.0799             1.178E-17            6.460E-04
     0.0800             1.178E-17            6.460E-04
     0.0820             1.176E-17            6.451E-04
     0.0823             1.176E-17            6.450E-04
     0.0840             1.174E-17            6.442E-04
     0.0846             1.174E-17            6.439E-04
     0.0860             1.173E-17            6.432E-04
     0.0869             1.172E-17            6.428E-04
     0.0880             1.171E-17            6.423E-04
     0.0893             1.170E-17            6.417E-04
     0.0900             1.169E-17            6.413E-04
     0.0916             1.168E-17            6.406E-04
     0.0920             1.167E-17            6.404E-04
     0.0939             1.166E-17            6.395E-04
     0.0940             1.166E-17            6.394E-04
     0.0960             1.164E-17            6.384E-04
     0.0962             1.164E-17            6.383E-04
     0.0980             1.162E-17            6.374E-04
     0.0985             1.162E-17            6.372E-04
     0.1000             1.160E-17            6.365E-04
     0.1008             1.160E-17            6.361E-04
     0.1020             1.158E-17            6.354E-04
     0.1031             1.157E-17            6.349E-04
     0.1040             1.157E-17            6.344E-04
     0.1054             1.155E-17            6.337E-04
     0.1060             1.155E-17            6.334E-04
     0.1077             1.153E-17            6.325E-04
     0.1080             1.153E-17            6.323E-04
     0.1100             1.151E-17            6.313E-04
     0.1100             1.151E-17            6.313E-04
     0.1120             1.149E-17            6.302E-04
     0.1123             1.149E-17            6.301E-04
     0.1140             1.147E-17            6.292E-04
     0.1145             1.146E-17            6.289E-04
     0.1160             1.145E-17            6.281E-04
     0.1168             1.144E-17            6.276E-04
     0.1180             1.143E-17            6.270E-04
     0.1191             1.142E-17            6.264E-04
     0.1200             1.141E-17            6.259E-04
     0.1213             1.140E-17            6.251E-04
     0.1220             1.139E-17            6.247E-04
     0.1236             1.137E-17            6.239E-04
     0.1240             1.137E-17            6.236E-04
     0.1258             1.135E-17            6.226E-04
     0.1260             1.135E-17            6.225E-04
     0.1280             1.133E-17            6.213E-04
     0.1281             1.133E-17            6.212E-04
     0.1300             1.130E-17            6.201E-04
     0.1303             1.130E-17            6.199E-04
     0.1320             1.128E-17            6.189E-04
     0.1326             1.128E-17            6.186E-04
     0.1340             1.126E-17            6.177E-04
     0.1348             1.125E-17            6.172E-04
     0.1360             1.124E-17            6.165E-04
     0.1370             1.123E-17            6.159E-04
     0.1380             1.122E-17            6.152E-04
     0.1393             1.120E-17            6.145E-04
     0.1400             1.119E-17            6.140E-04
     0.1415             1.118E-17            6.130E-04
     0.1420             1.117E-17            6.127E-04
     0.1437             1.115E-17            6.116E-04
     0.1440             1.115E-17            6.114E-04
     0.1459             1.112E-17            6.102E-04
     0.1460             1.112E-17            6.101E-04
     0.1480             1.110E-17            6.088E-04
     0.1481             1.110E-17            6.087E-04
     0.1500             1.107E-17            6.074E-04
     0.1503             1.107E-17            6.072E-04
     0.1520             1.105E-17            6.061E-04
     0.1525             1.104E-17            6.057E-04
     0.1540             1.102E-17            6.047E-04
     0.1547             1.101E-17            6.042E-04
     0.1560             1.100E-17            6.033E-04
     0.1569             1.099E-17            6.026E-04
     0.1580             1.097E-17            6.018E-04
     0.1591             1.096E-17            6.011E-04
     0.1600             1.095E-17            6.004E-04
