                 System #       93
     Galactic longitude l     8.24
      Galactic latitude b     0.00
           distance (kpc)     7.36
    orbital period (days)    6.988
    arg. periastron (deg)  522.064
        inclination (deg)  100.053
             eccentricity    0.401
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0000             7.297E-15            4.003E-01
     0.0004             7.391E-15            4.054E-01
     0.0020             7.892E-15            4.329E-01
     0.0024             8.007E-15            4.392E-01
     0.0040             8.528E-15            4.678E-01
     0.0045             8.669E-15            4.755E-01
     0.0060             9.200E-15            5.047E-01
     0.0065             9.372E-15            5.141E-01
     0.0080             9.912E-15            5.437E-01
     0.0086             1.012E-14            5.551E-01
     0.0100             1.066E-14            5.845E-01
     0.0107             1.091E-14            5.982E-01
     0.0120             1.143E-14            6.272E-01
     0.0128             1.173E-14            6.436E-01
     0.0140             1.224E-14            6.714E-01
     0.0149             1.259E-14            6.908E-01
     0.0160             1.308E-14            7.173E-01
     0.0170             1.349E-14            7.399E-01
     0.0180             1.394E-14            7.645E-01
     0.0191             1.442E-14            7.909E-01
     0.0200             1.482E-14            8.129E-01
     0.0213             1.537E-14            8.434E-01
     0.0220             1.573E-14            8.627E-01
     0.0234             1.636E-14            8.975E-01
     0.0240             1.665E-14            9.135E-01
     0.0256             1.738E-14            9.531E-01
     0.0260             1.760E-14            9.653E-01
     0.0277             1.841E-14            1.010E+00
     0.0280             1.856E-14            1.018E+00
     0.0299             1.946E-14            1.068E+00
     0.0300             1.953E-14            1.071E+00
     0.0320             2.051E-14            1.125E+00
     0.0321             2.054E-14            1.127E+00
     0.0340             2.150E-14            1.179E+00
     0.0343             2.162E-14            1.186E+00
     0.0360             2.250E-14            1.234E+00
     0.0365             2.273E-14            1.247E+00
     0.0380             2.350E-14            1.289E+00
     0.0387             2.384E-14            1.308E+00
     0.0400             2.451E-14            1.344E+00
     0.0409             2.496E-14            1.369E+00
     0.0420             2.552E-14            1.400E+00
     0.0432             2.609E-14            1.431E+00
     0.0440             2.653E-14            1.455E+00
     0.0454             2.722E-14            1.493E+00
     0.0460             2.754E-14            1.511E+00
     0.0477             2.836E-14            1.555E+00
     0.0480             2.855E-14            1.566E+00
     0.0499             2.949E-14            1.618E+00
     0.0500             2.955E-14            1.621E+00
     0.0520             3.044E-14            1.670E+00
     0.0522             3.050E-14            1.673E+00
     0.0540             3.131E-14            1.718E+00
     0.0545             3.150E-14            1.728E+00
     0.0560             3.218E-14            1.765E+00
     0.0568             3.249E-14            1.782E+00
     0.0580             3.303E-14            1.812E+00
     0.0591             3.347E-14            1.836E+00
     0.0600             3.388E-14            1.858E+00
     0.0614             3.443E-14            1.889E+00
     0.0620             3.470E-14            1.904E+00
     0.0637             3.538E-14            1.941E+00
     0.0640             3.552E-14            1.948E+00
     0.0660             3.631E-14            1.992E+00
     0.0660             3.632E-14            1.992E+00
     0.0680             3.710E-14            2.035E+00
     0.0684             3.722E-14            2.042E+00
     0.0700             3.787E-14            2.077E+00
     0.0707             3.812E-14            2.091E+00
     0.0720             3.863E-14            2.119E+00
     0.0731             3.901E-14            2.140E+00
     0.0740             3.937E-14            2.159E+00
     0.0754             3.987E-14            2.187E+00
     0.0760             4.009E-14            2.199E+00
     0.0778             4.072E-14            2.234E+00
     0.0780             4.081E-14            2.238E+00
     0.0800             4.150E-14            2.277E+00
     0.0802             4.155E-14            2.279E+00
     0.0820             4.218E-14            2.314E+00
     0.0826             4.236E-14            2.324E+00
     0.0840             4.285E-14            2.351E+00
     0.0850             4.316E-14            2.367E+00
     0.0860             4.350E-14            2.386E+00
     0.0874             4.393E-14            2.410E+00
     0.0880             4.414E-14            2.421E+00
     0.0898             4.469E-14            2.452E+00
     0.0900             4.477E-14            2.456E+00
     0.0920             4.537E-14            2.489E+00
     0.0922             4.543E-14            2.492E+00
     0.0940             4.596E-14            2.521E+00
     0.0947             4.614E-14            2.531E+00
     0.0960             4.655E-14            2.553E+00
     0.0971             4.685E-14            2.570E+00
     0.0980             4.712E-14            2.584E+00
     0.0995             4.753E-14            2.607E+00
     0.1000             4.767E-14            2.615E+00
     0.1020             4.820E-14            2.644E+00
     0.1020             4.821E-14            2.644E+00
     0.1040             4.874E-14            2.673E+00
     0.1045             4.885E-14            2.680E+00
     0.1060             4.925E-14            2.702E+00
     0.1070             4.947E-14            2.714E+00
     0.1080             4.975E-14            2.729E+00
     0.1094             5.009E-14            2.748E+00
     0.1100             5.024E-14            2.756E+00
     0.1119             5.069E-14            2.780E+00
     0.1120             5.072E-14            2.782E+00
     0.1140             5.118E-14            2.807E+00
     0.1144             5.126E-14            2.812E+00
     0.1160             5.163E-14            2.832E+00
     0.1169             5.183E-14            2.843E+00
     0.1180             5.207E-14            2.856E+00
     0.1194             5.238E-14            2.873E+00
     0.1200             5.250E-14            2.880E+00
     0.1220             5.291E-14            2.902E+00
     0.1220             5.292E-14            2.903E+00
     0.1240             5.333E-14            2.925E+00
     0.1245             5.342E-14            2.930E+00
     0.1260             5.372E-14            2.947E+00
     0.1270             5.392E-14            2.958E+00
     0.1280             5.411E-14            2.968E+00
     0.1296             5.440E-14            2.984E+00
     0.1300             5.449E-14            2.989E+00
     0.1320             5.485E-14            3.009E+00
     0.1321             5.487E-14            3.010E+00
     0.1340             5.521E-14            3.029E+00
     0.1347             5.532E-14            3.035E+00
     0.1360             5.556E-14            3.048E+00
     0.1373             5.577E-14            3.059E+00
     0.1380             5.590E-14            3.066E+00
     0.1398             5.619E-14            3.083E+00
     0.1400             5.623E-14            3.084E+00
     0.1420             5.655E-14            3.102E+00
     0.1424             5.660E-14            3.105E+00
     0.1440             5.686E-14            3.119E+00
     0.1450             5.700E-14            3.127E+00
     0.1460             5.716E-14            3.136E+00
     0.1476             5.739E-14            3.148E+00
     0.1480             5.745E-14            3.152E+00
     0.1500             5.774E-14            3.167E+00
     0.1502             5.776E-14            3.168E+00
     0.1520             5.802E-14            3.183E+00
     0.1528             5.812E-14            3.188E+00
     0.1540             5.829E-14            3.197E+00
     0.1554             5.847E-14            3.207E+00
     0.1560             5.855E-14            3.212E+00
     0.1580             5.881E-14            3.226E+00
     0.1580             5.881E-14            3.226E+00
     0.1600             5.905E-14            3.239E+00
     0.1607             5.913E-14            3.244E+00
     0.1620             5.930E-14            3.253E+00
     0.1633             5.944E-14            3.261E+00
     0.1640             5.953E-14            3.265E+00
     0.1659             5.974E-14            3.277E+00
     0.1660             5.975E-14            3.278E+00
     0.1680             5.997E-14            3.290E+00
     0.1686             6.003E-14            3.293E+00
     0.1700             6.019E-14            3.302E+00
     0.1712             6.031E-14            3.308E+00
     0.1720             6.039E-14            3.313E+00
     0.1739             6.058E-14            3.323E+00
     0.1740             6.059E-14            3.324E+00
     0.1760             6.079E-14            3.334E+00
     0.1766             6.083E-14            3.337E+00
     0.1780             6.097E-14            3.345E+00
     0.1792             6.108E-14            3.351E+00
     0.1800             6.116E-14            3.355E+00
     0.1819             6.132E-14            3.364E+00
     0.1820             6.133E-14            3.364E+00
     0.1840             6.150E-14            3.374E+00
     0.1846             6.154E-14            3.376E+00
