                 System #       94
     Galactic longitude l    18.78
      Galactic latitude b     0.00
           distance (kpc)    15.31
    orbital period (days) 1671.261
    arg. periastron (deg)  483.492
        inclination (deg)   53.959
             eccentricity    0.972
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             1.077E-15            5.908E-02
     0.0003             1.078E-15            5.913E-02
     0.0021             1.085E-15            5.953E-02
     0.0030             1.089E-15            5.974E-02
     0.0041             1.094E-15            5.999E-02
     0.0056             1.100E-15            6.037E-02
     0.0061             1.102E-15            6.047E-02
     0.0081             1.111E-15            6.095E-02
     0.0083             1.112E-15            6.101E-02
     0.0101             1.120E-15            6.144E-02
     0.0109             1.124E-15            6.166E-02
     0.0121             1.129E-15            6.195E-02
     0.0135             1.136E-15            6.233E-02
     0.0141             1.139E-15            6.246E-02
     0.0161             1.148E-15            6.300E-02
     0.0161             1.149E-15            6.301E-02
     0.0181             1.158E-15            6.354E-02
     0.0187             1.161E-15            6.371E-02
     0.0201             1.168E-15            6.410E-02
     0.0212             1.175E-15            6.443E-02
     0.0221             1.179E-15            6.467E-02
     0.0237             1.188E-15            6.516E-02
     0.0241             1.190E-15            6.526E-02
     0.0261             1.201E-15            6.586E-02
     0.0262             1.202E-15            6.591E-02
     0.0281             1.212E-15            6.648E-02
     0.0287             1.216E-15            6.668E-02
     0.0301             1.224E-15            6.711E-02
     0.0311             1.230E-15            6.747E-02
     0.0321             1.235E-15            6.777E-02
     0.0336             1.245E-15            6.827E-02
     0.0341             1.248E-15            6.844E-02
     0.0360             1.260E-15            6.910E-02
     0.0361             1.260E-15            6.913E-02
     0.0381             1.273E-15            6.984E-02
     0.0383             1.275E-15            6.994E-02
     0.0401             1.287E-15            7.057E-02
     0.0407             1.291E-15            7.080E-02
     0.0421             1.300E-15            7.133E-02
     0.0430             1.307E-15            7.169E-02
     0.0441             1.314E-15            7.210E-02
     0.0453             1.323E-15            7.260E-02
     0.0461             1.329E-15            7.290E-02
     0.0476             1.340E-15            7.352E-02
     0.0481             1.344E-15            7.372E-02
     0.0498             1.358E-15            7.448E-02
     0.0501             1.359E-15            7.457E-02
     0.0521             1.375E-15            7.545E-02
     0.0521             1.375E-15            7.545E-02
     0.0541             1.392E-15            7.635E-02
     0.0543             1.394E-15            7.645E-02
     0.0561             1.409E-15            7.729E-02
     0.0564             1.412E-15            7.747E-02
     0.0581             1.427E-15            7.826E-02
     0.0586             1.431E-15            7.852E-02
     0.0601             1.445E-15            7.926E-02
     0.0607             1.451E-15            7.960E-02
     0.0621             1.464E-15            8.030E-02
     0.0628             1.471E-15            8.071E-02
     0.0641             1.483E-15            8.137E-02
     0.0649             1.492E-15            8.184E-02
     0.0661             1.504E-15            8.248E-02
     0.0670             1.513E-15            8.301E-02
     0.0681             1.525E-15            8.364E-02
     0.0690             1.535E-15            8.420E-02
     0.0701             1.547E-15            8.484E-02
     0.0710             1.557E-15            8.543E-02
     0.0721             1.569E-15            8.608E-02
     0.0730             1.580E-15            8.669E-02
     0.0741             1.593E-15            8.737E-02
     0.0750             1.604E-15            8.797E-02
     0.0761             1.617E-15            8.872E-02
     0.0769             1.628E-15            8.930E-02
     0.0781             1.643E-15            9.011E-02
     0.0788             1.653E-15            9.065E-02
     0.0801             1.669E-15            9.157E-02
     0.0807             1.678E-15            9.205E-02
     0.0821             1.697E-15            9.310E-02
     0.0825             1.704E-15            9.349E-02
     0.0841             1.726E-15            9.469E-02
     0.0844             1.731E-15            9.496E-02
     0.0861             1.757E-15            9.635E-02
     0.0862             1.759E-15            9.648E-02
     0.0880             1.787E-15            9.804E-02
     0.0881             1.788E-15            9.810E-02
     0.0898             1.816E-15            9.964E-02
     0.0901             1.821E-15            9.992E-02
     0.0915             1.846E-15            1.013E-01
     0.0921             1.856E-15            1.018E-01
     0.0932             1.877E-15            1.030E-01
     0.0941             1.893E-15            1.038E-01
     0.0949             1.909E-15            1.047E-01
     0.0961             1.932E-15            1.060E-01
     0.0966             1.942E-15            1.065E-01
     0.0981             1.972E-15            1.082E-01
     0.0982             1.976E-15            1.084E-01
     0.0998             2.010E-15            1.103E-01
     0.1001             2.015E-15            1.105E-01
     0.1014             2.046E-15            1.122E-01
     0.1021             2.060E-15            1.130E-01
     0.1030             2.083E-15            1.143E-01
     0.1041             2.108E-15            1.156E-01
     0.1046             2.121E-15            1.163E-01
     0.1061             2.159E-15            1.184E-01
     0.1061             2.160E-15            1.185E-01
     0.1076             2.200E-15            1.207E-01
     0.1081             2.213E-15            1.214E-01
     0.1091             2.241E-15            1.230E-01
     0.1101             2.270E-15            1.245E-01
     0.1105             2.284E-15            1.253E-01
     0.1119             2.328E-15            1.277E-01
     0.1121             2.332E-15            1.279E-01
     0.1134             2.374E-15            1.302E-01
     0.1141             2.397E-15            1.315E-01
     0.1147             2.421E-15            1.328E-01
     0.1161             2.467E-15            1.354E-01
     0.1161             2.469E-15            1.354E-01
     0.1174             2.519E-15            1.382E-01
     0.1181             2.543E-15            1.395E-01
     0.1188             2.571E-15            1.410E-01
     0.1200             2.624E-15            1.440E-01
     0.1201             2.625E-15            1.440E-01
     0.1213             2.680E-15            1.470E-01
     0.1221             2.713E-15            1.488E-01
     0.1226             2.737E-15            1.501E-01
     0.1238             2.796E-15            1.534E-01
     0.1241             2.809E-15            1.541E-01
     0.1250             2.857E-15            1.567E-01
     0.1261             2.913E-15            1.598E-01
     0.1262             2.920E-15            1.602E-01
     0.1273             2.985E-15            1.637E-01
     0.1281             3.028E-15            1.661E-01
     0.1285             3.053E-15            1.675E-01
     0.1296             3.123E-15            1.713E-01
     0.1301             3.154E-15            1.730E-01
     0.1307             3.195E-15            1.753E-01
     0.1317             3.271E-15            1.794E-01
     0.1321             3.293E-15            1.806E-01
     0.1328             3.348E-15            1.837E-01
     0.1338             3.429E-15            1.881E-01
     0.1341             3.448E-15            1.891E-01
     0.1348             3.513E-15            1.927E-01
     0.1358             3.600E-15            1.975E-01
     0.1361             3.622E-15            1.987E-01
