                 System #       95
     Galactic longitude l    44.38
      Galactic latitude b     0.00
           distance (kpc)    10.13
    orbital period (days)  200.266
    arg. periastron (deg)  333.061
        inclination (deg)   57.607
             eccentricity    0.555
 neutron star mass (Msol)     1.40
         star mass (Msol)    30.00
       star radius (Rsol)    10.00
     star temperature (K) 33000.00
--------------------------------
orbital phase   flux > 1 TeV (ph cm-2 s-1)   (mCrab)
     0.0001             1.373E-13            7.531E+00
     0.0009             1.373E-13            7.533E+00
     0.0021             1.374E-13            7.537E+00
     0.0032             1.374E-13            7.540E+00
     0.0041             1.375E-13            7.542E+00
     0.0055             1.376E-13            7.546E+00
     0.0061             1.376E-13            7.547E+00
     0.0078             1.377E-13            7.551E+00
     0.0081             1.377E-13            7.552E+00
     0.0101             1.377E-13            7.556E+00
     0.0102             1.378E-13            7.556E+00
     0.0121             1.378E-13            7.560E+00
     0.0125             1.378E-13            7.561E+00
     0.0141             1.379E-13            7.564E+00
     0.0149             1.379E-13            7.566E+00
     0.0161             1.380E-13            7.568E+00
     0.0173             1.380E-13            7.570E+00
     0.0181             1.380E-13            7.571E+00
     0.0196             1.381E-13            7.573E+00
     0.0201             1.381E-13            7.574E+00
     0.0220             1.381E-13            7.577E+00
     0.0221             1.381E-13            7.577E+00
     0.0241             1.382E-13            7.579E+00
     0.0245             1.382E-13            7.579E+00
     0.0261             1.382E-13            7.581E+00
     0.0269             1.382E-13            7.582E+00
     0.0281             1.382E-13            7.583E+00
     0.0293             1.383E-13            7.584E+00
     0.0301             1.383E-13            7.584E+00
     0.0318             1.383E-13            7.585E+00
     0.0321             1.383E-13            7.586E+00
     0.0341             1.383E-13            7.586E+00
     0.0342             1.383E-13            7.587E+00
     0.0361             1.383E-13            7.587E+00
     0.0367             1.383E-13            7.587E+00
     0.0381             1.383E-13            7.587E+00
     0.0392             1.383E-13            7.587E+00
     0.0401             1.383E-13            7.587E+00
     0.0417             1.383E-13            7.587E+00
     0.0421             1.383E-13            7.587E+00
     0.0441             1.383E-13            7.587E+00
     0.0442             1.383E-13            7.587E+00
     0.0461             1.383E-13            7.586E+00
     0.0468             1.383E-13            7.586E+00
     0.0481             1.383E-13            7.585E+00
     0.0493             1.383E-13            7.585E+00
     0.0501             1.383E-13            7.584E+00
     0.0519             1.382E-13            7.583E+00
     0.0521             1.382E-13            7.583E+00
     0.0541             1.382E-13            7.581E+00
     0.0544             1.382E-13            7.581E+00
     0.0561             1.382E-13            7.580E+00
     0.0570             1.382E-13            7.579E+00
     0.0581             1.381E-13            7.578E+00
     0.0596             1.381E-13            7.576E+00
     0.0601             1.381E-13            7.575E+00
     0.0621             1.381E-13            7.573E+00
     0.0622             1.381E-13            7.573E+00
     0.0641             1.380E-13            7.570E+00
     0.0648             1.380E-13            7.569E+00
     0.0661             1.380E-13            7.568E+00
     0.0674             1.379E-13            7.566E+00
     0.0681             1.379E-13            7.565E+00
     0.0701             1.378E-13            7.562E+00
     0.0701             1.378E-13            7.562E+00
     0.0721             1.378E-13            7.558E+00
     0.0727             1.378E-13            7.557E+00
     0.0741             1.377E-13            7.555E+00
     0.0754             1.377E-13            7.553E+00
     0.0761             1.377E-13            7.551E+00
     0.0780             1.376E-13            7.548E+00
     0.0781             1.376E-13            7.548E+00
     0.0801             1.375E-13            7.544E+00
     0.0807             1.375E-13            7.543E+00
     0.0821             1.375E-13            7.540E+00
     0.0834             1.374E-13            7.537E+00
     0.0841             1.374E-13            7.536E+00
     0.0861             1.373E-13            7.532E+00
     0.0861             1.373E-13            7.532E+00
     0.0881             1.372E-13            7.527E+00
     0.0888             1.372E-13            7.526E+00
     0.0901             1.371E-13            7.523E+00
     0.0915             1.371E-13            7.520E+00
     0.0921             1.371E-13            7.519E+00
     0.0941             1.370E-13            7.514E+00
     0.0943             1.370E-13            7.514E+00
     0.0961             1.369E-13            7.509E+00
     0.0970             1.369E-13            7.507E+00
     0.0981             1.368E-13            7.504E+00
     0.0998             1.367E-13            7.500E+00
     0.1001             1.367E-13            7.500E+00
     0.1021             1.366E-13            7.495E+00
     0.1025             1.366E-13            7.493E+00
     0.1041             1.365E-13            7.490E+00
     0.1053             1.365E-13            7.486E+00
     0.1061             1.364E-13            7.484E+00
     0.1081             1.363E-13            7.479E+00
     0.1081             1.363E-13            7.479E+00
     0.1101             1.363E-13            7.474E+00
     0.1109             1.362E-13            7.472E+00
     0.1121             1.362E-13            7.469E+00
     0.1137             1.361E-13            7.465E+00
     0.1141             1.361E-13            7.464E+00
     0.1161             1.360E-13            7.458E+00
     0.1165             1.359E-13            7.457E+00
     0.1181             1.359E-13            7.453E+00
     0.1193             1.358E-13            7.449E+00
     0.1201             1.358E-13            7.447E+00
     0.1221             1.357E-13            7.442E+00
     0.1222             1.357E-13            7.442E+00
     0.1241             1.356E-13            7.436E+00
     0.1250             1.355E-13            7.434E+00
     0.1261             1.355E-13            7.431E+00
     0.1279             1.354E-13            7.426E+00
     0.1281             1.354E-13            7.425E+00
     0.1301             1.353E-13            7.420E+00
     0.1307             1.352E-13            7.418E+00
     0.1321             1.352E-13            7.414E+00
     0.1336             1.351E-13            7.410E+00
     0.1341             1.351E-13            7.409E+00
     0.1361             1.350E-13            7.403E+00
     0.1365             1.349E-13            7.402E+00
     0.1381             1.349E-13            7.397E+00
     0.1393             1.348E-13            7.394E+00
     0.1401             1.347E-13            7.392E+00
     0.1421             1.346E-13            7.386E+00
     0.1422             1.346E-13            7.386E+00
     0.1441             1.345E-13            7.380E+00
     0.1451             1.345E-13            7.377E+00
     0.1461             1.344E-13            7.375E+00
     0.1480             1.343E-13            7.369E+00
     0.1481             1.343E-13            7.369E+00
     0.1501             1.342E-13            7.363E+00
     0.1510             1.342E-13            7.361E+00
     0.1521             1.341E-13            7.358E+00
     0.1539             1.340E-13            7.353E+00
     0.1541             1.340E-13            7.352E+00
     0.1561             1.339E-13            7.346E+00
     0.1568             1.339E-13            7.344E+00
     0.1581             1.338E-13            7.341E+00
     0.1598             1.337E-13            7.336E+00
     0.1601             1.337E-13            7.335E+00
     0.1621             1.336E-13            7.330E+00
     0.1627             1.336E-13            7.328E+00
     0.1641             1.335E-13            7.324E+00
     0.1657             1.334E-13            7.320E+00
     0.1661             1.334E-13            7.319E+00
     0.1681             1.333E-13            7.313E+00
     0.1686             1.333E-13            7.311E+00
     0.1701             1.332E-13            7.307E+00
     0.1716             1.331E-13            7.303E+00
     0.1721             1.331E-13            7.302E+00
     0.1741             1.330E-13            7.297E+00
     0.1746             1.330E-13            7.295E+00
     0.1761             1.329E-13            7.291E+00
     0.1776             1.328E-13            7.287E+00
     0.1781             1.328E-13            7.286E+00
     0.1801             1.327E-13            7.280E+00
     0.1805             1.327E-13            7.279E+00
