# pwn name, snr name, distance (deg),rad pwn (deg), rad snr (deg), flux ratio (pwn/snr)
pwn7, snr_8, 4.695563493819998e-06, 0.005 , 0.009460000000000001, 1.6978026679753877
pwn26, snr_27, 3.661938499278977e-06, 0.03414158200280572 , 0.0717, 12.167310807130493
pwn43, snr_44, 3.483412660051525e-06, 0.08900643396160714 , 0.20593, 1.8997549740061475
pwn44, snr_45, 1.3967513199772355e-06, 0.03453549802241887 , 0.13229, 7.398405014941761
pwn51, snr_52, 2.9776456525588525e-06, 0.02044110920206831 , 0.10528, 1.814306903765292
pwn52, snr_53, 5.6609869283006955e-06, 0.005586291644239068 , 0.03736, 1.7971703400033066
pwn85, snr_86, 5.959668577367168e-06, 0.03218685510925098 , 0.22692, 0.3953446093422655
pwn91, snr_92, 3.644051046794649e-06, 0.022405013088629768 , 0.11488, 2.627086289196726
pwn128, snr_129, 5.198270841331712e-06, 0.020678364543180557 , 0.09414, 2.0878220487816033
pwn167, snr_168, 5.279121595812106e-06, 0.06012321381640216 , 0.20204999999999998, 4.874724249542601
pwn168, snr_169, 4.4119152244634086e-06, 0.1127393089280856 , 0.35746, 0.26910034374245523
pwn194, snr_195, 6.10465243173937e-06, 0.043111453314820615 , 0.21411999999999998, 0.3747336181040288
pwn196, snr_197, 3.865949232736547e-06, 0.022961619287372205 , 0.11839000000000001, 0.11795781531979378
pwn204, snr_205, 4.469551861370757e-06, 0.13586784132331384 , 0.43889999999999996, 2.5726501987609596
pwn208, snr_209, 2.4890308008301754e-06, 0.021199201580716115 , 0.09539, 2.300464509688468
pwn229, snr_230, 5.54385659986533e-06, 0.010851930097338444 , 0.05233, 17.737900248583994
pwn245, snr_246, 3.4862312297075472e-06, 0.03774148093189344 , 0.37045, 0.6031104353795895
pwn265, snr_266, 1.3781365957945513e-06, 0.012401070892698781 , 0.053099999999999994, 0.9995509178645625
pwn296, snr_297, 4.886677423202721e-06, 0.010651448221271632 , 0.047529999999999996, 1.3265009209696657
pwn338, snr_339, 3.4038283978077297e-06, 0.016399009404015785 , 0.04396, 1.8867507980850786
pwn339, snr_340, 5.813872365640535e-06, 0.055646252376601216 , 0.36603, 6.851306049895956
pwn392, snr_393, 1.937933040212044e-06, 0.019695127404770054 , 0.2054, 0.04812016192768133
pwn398, snr_399, 2.1982820359692165e-06, 0.045666907823046846 , 0.27904, 1.2560097144108757
pwn412, snr_413, 1.946130982717817e-06, 0.058100118530229464 , 0.17953, 8.702234663876897
pwn432, snr_433, 4.2971319418705005e-06, 0.011253677011365424 , 0.07106, 2.952834183358042
pwn434, snr_435, 3.797542330574481e-06, 0.005 , 0.030100000000000002, 1.6490053374678797
pwn494, snr_495, 2.5350936805705635e-06, 0.005 , 0.03414, 0.09880172756371869
pwn516, snr_517, 4.757403826831377e-06, 0.005 , 0.00331, 1.1769180446320076
pwn527, snr_528, 4.594402495429412e-06, 0.13332892923570974 , 0.31012, 1.9338470883692587
pwn558, snr_559, 2.270196119172151e-06, 0.03881118412731492 , 0.21678999999999998, 11.09731464641031
pwn576, snr_577, 4.620347732742417e-06, 0.04461189849594904 , 0.18077000000000001, 16.76344309439132
pwn579, snr_580, 2.549097885432041e-06, 0.008404585811327896 , 0.06674000000000001, 0.9660989692917409
pwn650, snr_651, 1.7450820844146648e-06, 0.014838851967440204 , 0.11674999999999999, 3.213391690806587
pwn689, snr_690, 3.5905873556714497e-06, 0.011831991722616734 , 0.027639999999999998, 6.411084997695892
pwn708, snr_709, 2.649830065144955e-06, 0.04326501460878991 , 0.11805, 0.6366261565048044
pwn724, snr_725, 5.102090734241106e-06, 0.02900625451927784 , 0.15703999999999999, 10.639673879036868
pwn725, snr_726, 2.5626608958652977e-06, 0.036191176771514615 , 0.20769, 0.9335875695077367
pwn748, snr_749, 2.9925205742837806e-06, 0.027485844555423522 , 0.1819, 0.9335658753440175
pwn786, snr_787, 4.696836534107087e-06, 0.040227149550049766 , 0.24658, 1.529176385423356
pwn795, snr_796, 4.871809295506818e-06, 0.006135090441177071 , 0.03083, 1.4662729363835318
pwn812, snr_813, 3.2027512771951393e-06, 0.07971495998180846 , 0.31932, 2.858348550822936
pwn813, snr_814, 4.874165828159191e-06, 0.06138108233748102 , 0.40033, 13.775971552200108
pwn824, snr_825, 3.6139010186600296e-06, 0.014987104019547413 , 0.28831, 0.8543337734463322
pwn830, snr_831, 1.9724087986655094e-06, 0.013495068548741279 , 0.10953, 3.9816278231836124
pwn831, snr_832, 1.6616073168625474e-06, 0.07092843964694114 , 0.26285, 8.091206126656887
pwn838, snr_839, 1.7595563432680673e-06, 0.06974037411360631 , 0.36199, 4.203078686673477
pwn903, snr_904, 1.6433886150739537e-06, 0.015420072317288242 , 0.08756, 3.3061029183403927
pwn907, snr_908, 1.6594461948160843e-06, 0.020591440121989914 , 0.10294, 2.5445768114570475
pwn912, snr_913, 5.233609047624974e-06, 0.034753468196138296 , 0.23441, 1.4929615434157755
pwn914, snr_915, 5.842485654097003e-06, 0.03392591946509816 , 0.11711, 2.404958559387334
pwn945, snr_946, 4.054410164276665e-06, 0.02356236196979147 , 0.11805, 2.254205375524032
pwn947, snr_948, 3.6169906200210967e-06, 0.0693003974847261 , 0.25565, 0.771849909048563
pwn994, snr_995, 3.925943723604344e-06, 0.04261464437382936 , 0.16437000000000002, 6.046646413617058
pwn1024, snr_1025, 4.802289790395865e-06, 0.04838486652638321 , 0.25436, 6.162703878978781
pwn1056, snr_1057, 4.795029124635951e-06, 0.0206888275340593 , 0.08829, 6.422697779341661
pwn1080, snr_1081, 3.893705304564e-06, 0.005068728181908447 , 0.02354, 1.7940128324874334
pwn1085, snr_1086, 4.715489778404445e-06, 0.03857858569949637 , 0.13104, 40.02543203658654
pwn1090, snr_1091, 4.064929985036747e-06, 0.005 , 0.01619, 2.2431831578472563
pwn1117, snr_1118, 3.7242095945135626e-06, 0.09263811368782789 , 0.49173, 10.556465390315452
pwn1135, snr_1136, 3.892410137233419e-06, 0.009743435278483458 , 0.37751, 0.07071832777140782
pwn1154, snr_1155, 3.154000244962921e-06, 0.09163775001635423 , 0.33606, 0.5889706242670435
pwn1161, snr_1162, 2.5812211121274114e-06, 0.005 , 0.00873, 0.1324895686968059
pwn1188, snr_1189, 3.7403196063855382e-06, 0.03222198952036842 , 0.24749, 1.915854464638338
pwn1210, snr_1211, 4.776740167202168e-06, 0.025458015502127673 , 0.12525, 1.474125933952954
pwn1246, snr_1247, 4.256846592569778e-06, 0.03312746804474929 , 0.13146, 3.907342143479033
pwn1247, snr_1248, 4.710835001176321e-06, 0.1825310704588169 , 0.41087999999999997, 6.882619529917144
pwn1255, snr_1256, 4.940235999828063e-06, 0.005967679980872541 , 0.07727, 0.07190318805671617
pwn1368, snr_1369, 5.106365465886335e-07, 0.05198526980684377 , 0.32889, 0.907406637639751
pwn1369, snr_1370, 3.851863279613027e-06, 0.026270440638633576 , 0.13787, 0.3396708602195257
pwn1424, snr_1425, 4.0559439815705595e-06, 0.005 , 0.01584, 1.022459723880236
pwn1434, snr_1435, 6.401936426047806e-06, 0.1141173925723735 , 0.32443, 3.152492040696457
pwn1493, snr_1494, 2.5948117632643807e-06, 0.0504923576681042 , 0.14406, 3.883209531947188
pwn1508, snr_1509, 4.535027082253371e-06, 0.1560885163101064 , 0.66138, 0.5107970518363416
pwn2234, snr_1522, 0.027256049431585782, 0.04247219889968704 , 0.0529, 3.891264423771844
pwn1592, snr_1593, 2.4530164436348886e-06, 0.02095296850374917 , 0.06895000000000001, 3.3120572745276284
pwn1596, snr_1597, 4.418287640909078e-06, 0.04296690533735874 , 0.15738, 7.151702145197435
pwn1635, snr_1636, 4.842803051879197e-06, 0.02432504991167942 , 0.16885, 0.8086849207509125
pwn1636, snr_1637, 4.241653360224907e-06, 0.041679991091561265 , 0.19807, 0.2616335598018494
pwn1641, snr_1642, 5.4502554627091704e-06, 0.04739115192351562 , 0.15664, 1.7716720871343221
pwn1687, snr_1688, 4.7746246285585115e-06, 0.10889015417872751 , 0.37371, 88.85028081526696
pwn1700, snr_1701, 1.5182358626490985e-06, 0.005 , 0.12437999999999999, 0.09141842020480921
pwn1772, snr_1773, 6.159462531355174e-06, 0.03620984870065805 , 0.11231999999999999, 92.00631022803749
pwn1788, snr_1789, 5.498112164390995e-06, 0.010859961496799 , 0.09325, 0.04040029489409019
pwn1828, snr_1829, 5.90910465764432e-06, 0.050047553581291156 , 0.17178, 9.591446914376068
pwn1856, snr_1857, 1.2356275326039732e-06, 0.06890631360565319 , 0.29364999999999997, 0.7459509535499356
pwn1865, snr_1866, 5.5243824630145355e-06, 0.005 , 0.02776, 0.34176992081217095
pwn871, snr_1923, 0.34349770394139617, 0.011050773175746289 , 0.38436, 0.1080399132897995
pwn1931, snr_1932, 1.0455592744076137e-06, 0.07672892199293992 , 0.9750099999999999, 2.44559425345756
pwn1988, snr_1989, 4.804605525915034e-06, 0.060327992191879815 , 0.21047, 3.107786513231528
pwn1993, snr_1994, 1.8342706964457631e-06, 0.07882411432176924 , 0.30154, 0.8777284888911346
pwn2001, snr_2002, 2.493707330305008e-06, 0.07407574747870915 , 0.19924, 4.362243200567479
pwn2008, snr_2009, 2.906041654632009e-06, 0.00985862087650073 , 0.04494, 0.08382011579702062
pwn2061, snr_2062, 2.8473883210585574e-06, 0.047621420495533556 , 0.15944000000000003, 10.78679653428533
pwn2130, snr_2131, 4.481222468739464e-07, 0.029979787942074617 , 0.28101, 0.10591159890568613
pwn2136, snr_2137, 5.434753222469852e-06, 0.03199772933321979 , 0.26413, 0.2961544137711609
pwn2151, snr_2152, 6.5739566577757465e-06, 0.0770215932800306 , 0.49401, 0.8365486672112049
pwn2187, snr_2188, 5.299654111001824e-06, 0.030310176595947844 , 0.16229, 0.3926178113516172
pwn2210, snr_2211, 4.2692538359341065e-06, 0.045802495969793806 , 0.14092, 72.08406827917933
pwn2214, snr_2215, 3.945191060843415e-06, 0.036288649848802715 , 0.13881000000000002, 3.9153014012516762
pwn2219, snr_2220, 5.13717549840321e-06, 0.007036062713857318 , 0.06355, 0.7773635030747856
pwn2243, snr_2244, 3.768357390804967e-06, 0.07330158879746344 , 0.2091, 9.728927674287597
pwn2254, snr_2255, 6.339221196993583e-06, 0.03137374395896941 , 0.08569, 6.700418779259219
pwn2262, snr_2263, 5.152295558008059e-06, 0.22555389862218603 , 0.39115, 5.764789562560142
pwn2269, snr_2270, 4.974296803521772e-06, 0.019303105581874216 , 0.12767, 6.247661522457874
pwn2271, snr_2272, 2.2453885004644603e-06, 0.08267917995130321 , 0.19643, 34.88536713182067
pwn2366, snr_2367, 3.7022091918013612e-06, 0.11589684360557981 , 0.50489, 5.526325750373879
pwn2414, snr_2415, 2.3776285292265753e-06, 0.04615488903155054 , 0.20207999999999998, 7.34116007692608
pwn2455, snr_2456, 5.161583255177686e-06, 0.06661692617717728 , 0.22867, 14.860009539249313
pwn2476, snr_2477, 5.572302788685639e-06, 0.07338056607097751 , 0.24213, 0.48055888950967857
pwn2490, snr_2491, 3.3919163570700043e-06, 0.021102198148206058 , 0.09870999999999999, 6.922086664905851
pwn2505, snr_2506, 4.823944780884911e-06, 0.03295797822109513 , 0.16813999999999998, 0.5891070856790607
pwn2528, snr_2529, 5.970991407035215e-06, 0.16845684742817651 , 0.34815999999999997, 22.10992803065396
pwn2572, snr_2573, 3.5355930122370525e-06, 0.015141138306322454 , 0.09570999999999999, 1.7611616886816344
pwn2634, snr_2635, 2.938729844276522e-06, 0.029031574474153166 , 0.08378999999999999, 13.087154899073678
pwn2637, snr_2638, 5.3193609504393054e-06, 0.011260624727908754 , 0.063, 4.0797943690619975
pwn2639, snr_2640, 4.73745004123923e-06, 0.06424529194295664 , 0.27808, 2.772831225268201
pwn2662, snr_2663, 4.450536343056521e-06, 0.02038560127344213 , 0.11361, 12.92347826726081
pwn2668, snr_2669, 4.7293502877051886e-06, 0.011397476655840998 , 0.07012, 3.271308108404658
pwn2719, snr_2720, 3.714151142641092e-06, 0.005 , 0.13473000000000002, 5.438193155827289
