N	filename	GLON	GLAT	R_pwn	R_pwn_deg	distance	cr_fl_01	cr_fl_1	nh	age	X	Y	Z	v_X	v_Y	v_Z	v_3d	E_sn	M_ej	l0	t0	eta	eps	ebreak	alpha1	alpha2	Tfir	Ufir	Tnir	Unir
4	./spectra/ph_sed_pwn_4.txt	7.8190390667759315	-0.48550461552289637	9.178202349190396	0.19784589233217437	5.315957403224486	1.2838776450947769e-05	5.901379658971115e-05	1.6817502713182777	88549.43006509	3.233655784833917	0.7231823174005603	-0.04504504504504514	448.2962172580449	-71.29913958283964	61.70361900919124	458.1052306096896	1e+51	2.196266341151882e+34	4.3919113991925605e+41	6.526722167535089	0.0907579426622891	0.17452878217608214	0.4835739372437343	1.6932796102854986	2.462822508857203	45.66832735199314	3.472203243019237e-12	2864.674812609817	1.185920480340898e-11
7	./spectra/ph_sed_pwn_7.txt	11.650917169983186	-0.33857625309179296	0.11556693229336325	0.00100227854357937	13.212888799078822	0.00010015746199791254	0.00024263133765205686	1.5200016608294735	230.40822356288345	-4.440426750618898	2.6682746752186275	-0.0780780780780781	213.4489383545004	-68.32284692696155	-16.481921124684714	224.7223051253005	1e+51	1.5338152441350741e+34	2.0971451059078682e+37	3356.090096586277	0.10747977369588856	0.4638373191555793	0.2991997644194285	1.3819072784266004	2.526372948505848	39.10821599077956	6.4625396955508704e-12	3700.377032406037	6.4492670251395e-12
8	./spectra/ph_sed_pwn_8.txt	41.61792687562522	-3.1041593925294038	3.727260036830805	0.03738765041466573	11.423891931078849	0.0061100171707588625	0.0015967821119023788	0.18001437222844596	21155.059340211283	-0.027860096433536697	7.576161299320607	-0.6186186186186187	-263.4550235522324	-326.0469787471136	675.0769392108828	794.6345421886481	1e+51	3.468928850929112e+34	2.953768392774258e+38	213.0213569800483	0.11291086795396366	0.19249963448956287	0.5858502870247836	1.2787731452025763	2.1088013775541152	25.89754314234721	9.364360709359457e-13	3199.11039865817	2.7415372319038627e-12
9	./spectra/ph_sed_pwn_9.txt	-16.865602725608394	-5.111027616004894	1.231597338125429	0.010680436384262535	13.213941112138539	0.0007156798597728083	0.000310247679787146	0.1339244424905441	94445.30770321768	-4.0953025739501205	-3.818487485804259	-1.1771771771771773	-523.072044121461	-21.961221526160607	-7.410976298486402	523.5853141198877	1e+51	1.5640421303535994e+34	1.530462128107768e+38	755.7971394113072	0.14649844554521008	0.2993046089816929	0.686091425981766	1.6006810779487783	2.5059814566858414	22.415040783083548	1.5052751666598114e-12	3256.096959012455	3.672662801275392e-12
11	./spectra/ph_sed_pwn_11.txt	-6.302078383343415	2.2369957364663793	8.503896260031086	0.051280225705844416	19.00292864593768	0.0004131896349894782	0.00010422716574401925	0.04660410630534842	53788.54824874409	-10.37369924271309	-2.0843687789755334	0.7417417417417418	-83.36225947424893	32.971075858158066	32.43375907810645	95.332611816907	1e+51	2.290851613374888e+34	3.0349730714967706e+37	3089.0612168344123	0.12874454561790682	0.4398566706529412	0.43952427395165417	1.4742813725114856	2.0161697440239448	20.107135805816114	4.11551752272106e-13	3066.733616648976	1.2026046281652704e-12
14	./spectra/ph_sed_pwn_14.txt	24.11462041023019	-9.170917811511922	0.9815386485718852	0.031418450454667575	3.5799357092089314	4.897179436502916e-05	0.001326661285206574	0.29686074034292376	82112.99445809113	5.2742531413055485	1.4439342470108902	-0.5705705705705706	82.02399434356586	488.14597502965483	35.51607666336169	496.2618464956615	1e+51	3.976950830676288e+34	2.6563362075965654e+36	26704.341351644347	0.07128121826374366	0.15673865593311634	0.3071403147267101	1.4406213711591265	2.4959387412471057	37.43473831650589	1.603493232244782e-12	3263.3469784936065	9.275906338482763e-12
16	./spectra/ph_sed_pwn_16.txt	52.850915997858365	0.028399914285469844	1.3851595119205522	0.013099690234947116	12.116896076040671	7.778655468153391e-06	5.038913149171898e-06	0.967709830212132	57390.91831539657	1.1827159443809017	9.657975382803805	0.006006006006005982	83.9669872957432	-147.0025102596411	239.69039073401729	293.4479108604886	1e+51	3.976950830676288e+34	7.786226779018388e+36	11451.816486948072	0.09935847241369672	0.1492583525622891	0.34352846568868384	1.2399011878945063	2.272857550143104	32.56947243889147	9.892503954060922e-13	3776.895662626074	1.3542496870090738e-12
18	./spectra/ph_sed_pwn_18.txt	49.61215737085579	-0.30257644881751566	0.5225854754065336	0.011700977694114994	5.1178529764120455	5.537068757162794e-09	2.344519995504193e-07	2.9461251325127	93826.98040038336	5.18389093412824	3.8980904672958574	-0.027027027027027084	-386.2407317827036	435.42582873911095	-20.720519543481323	582.4147106240807	1e+51	1.86151030908216e+34	6.880235781574143e+38	92.0201875002761	0.11126708060187547	0.5940872437311968	0.4353571822601904	1.2976741759039312	2.653125535335539	25.6477369280517	2.06300224675968e-12	2562.6315706515275	3.0618424094450047e-12
22	./spectra/ph_sed_pwn_22.txt	-103.68185058651407	0.25961882519640933	7.093033258030085	0.24528345906932375	3.313703977168187	0.004023973751401974	0.0012443494430709901	0.9093631684063131	42287.70270890239	9.28378361284441	-3.219641571023229	0.01501501501501501	249.9420467879913	-75.27130688526125	-45.313046758209886	264.93408349870225	1e+51	3.085470232893891e+34	1.2884227300247344e+40	99.05428806087065	0.1286252743951337	0.2314544504852427	0.22612874141707354	1.2379739856421357	2.144400138338656	29.218513724527288	5.959262371106474e-13	2933.9599033629097	1.1199874922414158e-12
23	./spectra/ph_sed_pwn_23.txt	75.77278885323055	1.7806976228175821	3.150508525472925	0.02558717065733222	14.109479492438854	0.0007063616565741821	0.0030059801686157252	0.04071270492915776	65757.37375531897	5.034019253529482	13.67011926606158	0.4384384384384384	-188.4934544721934	-11.69616635593699	323.66565016225763	374.7346204732671	1e+51	3.976950830676288e+34	2.5635385207420306e+38	1013.0368220569583	0.11964710667636386	0.6192858169678541	0.3302976897407231	1.1772156199350532	2.307218653617816	28.521527107495213	1.907361628409522e-13	2391.1005143532793	3.2462870314702157e-13
